InventoryID,ProductID,WarehouseID,CurrentStock,ReservedStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,1,57,5,7,10,64,2026-04-29,122.8,Active,system,2025-07-11
2,1521,2,64,0,7,10,64,2026-04-29,122.8,Active,system,2025-07-11
3,1531,1,115,9,33,42,185,2026-04-28,91.09,Active,system,2025-07-25
4,1531,2,262,0,33,42,185,2026-04-28,91.09,Active,system,2025-07-25
5,1541,1,45,9,36,67,140,2026-04-28,132.59,Active,system,2025-07-26
6,1541,2,103,0,36,67,140,2026-04-28,132.59,Active,system,2025-07-26
7,1551,1,82,1,31,49,130,2026-04-29,67.04,LowStock,system,2025-09-20
8,1551,2,5,0,31,49,130,2026-04-29,67.04,Active,system,2025-09-20
9,1561,1,41,3,16,29,140,2026-04-28,82.06,Active,system,2025-10-26
10,1561,2,110,0,16,29,140,2026-04-28,82.06,Active,system,2025-10-26
11,1571,1,270,67,26,50,193,2026-04-29,109.65,Excess,system,2025-08-06
12,1511,2,178,34,27,44,144,2026-04-29,321.96,Active,system,2026-01-28
13,1522,1,171,44,27,33,169,2026-04-29,163.1,Active,system,2025-07-31
14,1522,2,17,0,27,33,169,2026-04-29,163.1,Active,system,2025-07-31
15,1532,1,173,10,11,13,96,2026-04-28,67.64,Active,system,2026-02-08
16,1542,1,41,33,20,28,197,2026-04-28,90.83,Active,system,2026-01-22
17,1552,2,374,31,36,59,261,2026-04-29,58.45,Active,system,2025-12-13
18,1562,1,125,0,24,37,132,2026-04-28,121.04,LowStock,system,2025-10-17
19,1572,3,200,49,27,51,219,2026-04-28,222.59,Active,system,2026-03-03
20,1512,1,58,3,17,21,94,2026-04-28,219.21,Active,system,2026-02-17
21,1523,2,138,17,27,51,235,2026-04-29,54.46,Active,system,2026-03-31
22,1533,1,34,5,16,19,69,2026-04-29,107.2,Active,system,2025-09-23
23,1543,1,270,7,12,18,75,2026-04-28,65.36,Active,system,2025-07-21
24,1553,1,233,30,34,48,235,2026-04-29,91.38,Active,system,2026-01-21
25,1553,2,5,0,34,48,235,2026-04-29,91.38,Active,system,2026-01-21
26,1563,1,101,4,4,6,32,2026-04-28,70.33,Active,system,2025-10-06
