PurchaseOrderItemID,PurchaseOrderID,ProductID,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,1581,2,1.0,48.56,97.12,Backordered,2026-03-29,2026-03-31,Supplier SKU: CON-1581,system,2026-03-19
2,2,3011,25,,910.08,22752.0,Shipped,2026-05-08,,Supplier SKU: FAB-3011,system,2026-04-21
3,2,3053,106,,211.38,22406.28,Shipped,2026-05-08,,Supplier SKU: FAB-3053,system,2026-04-21
4,2,3062,29,,94.79,2748.91,Shipped,2026-05-08,,Supplier SKU: FAB-3062,system,2026-04-21
5,2,3072,236,,11.41,2692.76,Shipped,2026-05-08,,Supplier SKU: FAB-3072,system,2026-04-21
6,3,3053,31,31.0,174.26,5402.06,Received,2026-04-14,2026-04-14,Supplier SKU: WOR-3053,system,2026-03-23
7,3,3101,122,122.0,132.32,16143.04,Received,2026-04-14,2026-04-14,Supplier SKU: WOR-3101,system,2026-03-23
8,3,2011,98,98.0,130.73,12811.54,Received,2026-04-14,2026-04-14,Supplier SKU: WOR-2011,system,2026-03-23
9,4,3091,13,,456.94,5940.22,Pending,2026-05-08,,Supplier SKU: ALP-3091,system,2026-04-22
10,4,3012,142,,597.44,84836.48,Pending,2026-05-08,,Supplier SKU: ALP-3012,system,2026-04-22
11,5,2011,25,22.0,118.56,2964.0,Backordered,2026-02-09,2026-02-09,Supplier SKU: PRO-2011,system,2026-01-30
12,5,2121,5,5.0,30.0,150.0,Received,2026-02-09,2026-02-09,Supplier SKU: PRO-2121,system,2026-01-30
13,5,2111,3,3.0,123.0,369.0,Received,2026-02-09,2026-02-09,Supplier SKU: PRO-2111,system,2026-01-30
14,5,2012,27,27.0,312.61,8440.47,Received,2026-02-09,2026-02-09,Supplier SKU: PRO-2012,system,2026-01-30
15,6,2111,89,89.0,162.2,14435.8,Received,2026-04-02,2026-04-04,Supplier SKU: WOR-2111,system,2026-03-12
16,6,3053,38,38.0,174.26,6621.88,Received,2026-04-02,2026-04-04,Supplier SKU: WOR-3053,system,2026-03-12
