InvoiceID,InvoiceNumber,CustomerID,OrderID,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
02835307-088e-4727-9f9e-7a426b551188,IN-F100000,CID-001,08b0dc18-c9c1-41da-9709-f99c119d0806,2025-01-29,2025-01-29,544.96,47.69,592.65,Issued,SampleGen
61e0e8f5-5408-4400-a647-79d37350b198,IN-F100001,CID-001,92d9b5c3-b16f-4782-a240-8de12d675ec4,2025-02-20,2025-02-20,539.97,47.25,587.22,Issued,SampleGen
c1daf4e3-c34e-4797-ba7d-a090013c8f58,IN-F100002,CID-001,5fd4bac1-85b6-49c2-b583-0132d315e451,2025-03-28,2025-03-28,549.94,48.11,598.05,Issued,SampleGen
26b11cb8-f646-4a16-a368-16b749637456,IN-F100003,CID-001,21628514-7154-483b-84be-3b1e80aeb674,2025-04-16,2025-04-16,1489.89,130.36,1620.25,Issued,SampleGen
c72ff477-58db-4b06-a81e-cd146ebe9480,IN-F100004,CID-001,a526eba5-15df-4a47-8a5d-011b65928307,2025-05-13,2025-05-13,239.97,21.0,260.97,Issued,SampleGen
82a74cd6-df4f-405f-9b8d-15b6f246ca21,IN-F100005,CID-001,f52ef6de-fb6d-4115-a832-1022ceb26f76,2025-06-24,2025-06-24,989.97,86.62,1076.59,Issued,SampleGen
1ccccc1e-a02b-4af1-af71-34d7386635b3,IN-F100006,CID-001,34244830-1924-4037-a692-d3e2247198c7,2025-07-13,2025-07-13,2159.91,188.99,2348.9,Issued,SampleGen
20176a56-121e-43ea-9ec9-950442de0d50,IN-F100007,CID-001,d0b6dc7b-b981-4e5e-b40c-89984d9a5e0f,2025-08-24,2025-08-24,639.95,55.99,695.94,Issued,SampleGen
e374841e-13b5-462c-a68b-b77b6575150d,IN-F100008,CID-001,0af31410-e773-492d-bad1-c4d139f033fa,2025-09-05,2025-09-05,1189.93,104.11,1294.04,Issued,SampleGen
ba577e55-a539-43dd-a1f8-b703f08d615d,IN-F100009,CID-001,5fe7fb89-e077-4e42-914e-26d5270406dd,2025-10-09,2025-10-09,1189.93,104.12,1294.05,Issued,SampleGen
1153af01-1d30-48c1-9533-368ae0a996e2,IN-F100010,CID-001,7b3a7b5b-26e8-4c61-9fea-27f52723f75a,2025-11-27,2025-11-27,264.98,23.18,288.16,Issued,SampleGen
46bc3ab1-9fa0-4d0e-b6d1-0a56a4f3d6d2,IN-F100011,CID-001,ee3aadfe-57b4-4fff-ad7f-aeb6ede2e1bd,2025-12-23,2025-12-23,1799.94,157.49,1957.43,Issued,SampleGen
256e7aa7-5aa0-42fa-acc2-e140c13d93aa,IN-F100012,CID-001,4ce48ef9-cb28-4cfb-ba8b-e264ba04812b,2026-01-24,2026-01-24,939.92,82.24,1022.16,Issued,SampleGen
5bd7f04d-dab0-4fd8-9851-b5e1e0d5cc2d,IN-F100013,CID-001,ec9d4ee9-ea02-41fc-88a3-bea4a2627415,2026-02-13,2026-02-13,1119.97,98.0,1217.97,Issued,SampleGen
94f1d1f6-dce6-4c3f-907a-01dee0dad5fb,IN-F100014,CID-001,32b127d0-586c-40a3-9a78-3c14708416f3,2026-03-17,2026-03-17,989.97,86.62,1076.59,Issued,SampleGen
91fd7f8e-78e6-4fc0-82c7-075802b7f571,IN-F100015,CID-001,11ceac9f-6484-4747-8a4d-bd0657b0b303,2026-04-11,2026-04-11,2369.91,207.36,2577.27,Issued,SampleGen
3fb3f7c8-cad7-4998-999d-87a4b77aa612,IN-F100016,CID-001,dddcdd5d-526c-4b8b-baf2-a4167123ab97,2026-04-28,2026-04-28,449.97,39.37,489.34,Issued,SampleGen
f05380af-3807-409a-ba83-bd5319b3359a,IN-F100017,CID-002,adbda5e6-82ef-44c1-9fca-375371549efe,2025-01-08,2025-01-08,1259.94,110.24,1370.18,Issued,SampleGen
74d43daf-680d-481b-9409-7f831e5cb1f6,IN-F100018,CID-002,efc33b91-1856-4961-9321-a7fe958b6813,2025-02-23,2025-02-23,1509.92,132.12,1642.04,Issued,SampleGen
eab35053-d142-49c1-a509-6e1dbed82be5,IN-F100019,CID-002,c677537f-dd6c-4997-8ffa-48de69b565fa,2025-03-06,2025-03-06,739.95,64.75,804.7,Issued,SampleGen
e8faaa2d-ea51-44f3-b4ba-818f284fdf32,IN-F100020,CID-002,72e82859-3cae-4c09-97c6-09425e3345d9,2025-04-09,2025-04-09,1469.9,128.62,1598.52,Issued,SampleGen
38c67261-2088-4e34-80ff-7c9bc078e574,IN-F100021,CID-002,bfe942f5-4b9f-4001-b0c3-18677c7e214e,2025-05-17,2025-05-17,659.97,57.75,717.72,Issued,SampleGen
b9d2aa57-34e6-4b74-87ec-a44d3d0a1da9,IN-F100022,CID-002,42f63f2b-67b0-45a9-b4e7-f33438520569,2025-06-26,2025-06-26,239.97,21.0,260.97,Issued,SampleGen
32a68ebe-5b89-41c9-a557-41d6191ff978,IN-F100023,CID-002,f2ba5b67-2e47-45aa-bf27-c662fe7bcd78,2025-07-04,2025-07-04,619.96,54.24,674.2,Issued,SampleGen
473157ec-d65a-4284-b686-60f38423a575,IN-F100024,CID-002,e52d9c96-dc97-482a-a33d-d7bfd78a221e,2025-08-11,2025-08-11,159.98,14.0,173.98,Issued,SampleGen
e48712a8-40b4-4872-8ead-b3e7af5b8bd2,IN-F100025,CID-002,2a6882ea-c5ad-485b-a7cd-4ad5d83ea60a,2025-09-21,2025-09-21,439.98,38.5,478.48,Issued,SampleGen
a869ca90-565b-4d5b-844c-123aec5cf3b6,IN-F100026,CID-002,9ebaebc3-945f-4354-92a3-8f6a3a706ec5,2025-10-08,2025-10-08,514.97,45.06,560.03,Issued,SampleGen
0daea7b6-975c-4851-85e2-057ae473ee11,IN-F100027,CID-002,5fcc233e-d9fa-41a8-8996-bdefd281a141,2025-11-28,2025-11-28,1079.95,94.5,1174.45,Issued,SampleGen
592c6f01-5fed-437a-978c-f6ad98a4dbd1,IN-F100028,CID-002,96df9cc8-09ca-4df5-9151-85e9155ac35d,2025-12-13,2025-12-13,169.99,14.87,184.86,Issued,SampleGen
41313c09-a7be-407e-a720-e2ac303fbe95,IN-F100029,CID-002,664a25ba-2c17-45fa-ad0b-5d08ffcd315e,2026-01-24,2026-01-24,899.94,78.75,978.69,Issued,SampleGen
fc1dcf84-8921-4480-af5c-ed258dd73438,IN-F100030,CID-002,09d6461a-09db-47b8-b2f7-48aeaa7f5de0,2026-02-23,2026-02-23,784.95,68.68,853.63,Issued,SampleGen
43acda43-a96a-473c-80e7-b64abb9bc69f,IN-F100031,CID-002,22c4291c-96ef-4f44-9b05-80562b63ac28,2026-03-03,2026-03-03,659.96,57.75,717.71,Issued,SampleGen
ca56c08b-6f77-4a63-bc12-64007b7f2d17,IN-F100032,CID-002,50975239-2240-466d-a4cf-670229034e3f,2026-04-02,2026-04-02,689.96,60.37,750.33,Issued,SampleGen
1023794d-a0f8-41db-be73-e91bcc6eb61a,IN-F100033,CID-003,682a1949-5868-496c-b9d4-3035629b7540,2025-01-07,2025-01-07,1629.95,142.61,1772.56,Issued,SampleGen
6ae81c32-5d2b-4f9a-bc7e-d5e19eb7ecb8,IN-F100034,CID-003,6661b7dc-a6fb-4644-b1be-7a829dc4e119,2025-02-06,2025-02-06,1069.93,93.61,1163.54,Issued,SampleGen
2ca8a8f1-15e1-49e1-bebc-8de2b6d5013a,IN-F100035,CID-003,f986a6d0-6029-45e9-81df-cbc476067ade,2025-03-06,2025-03-06,989.97,86.62,1076.59,Issued,SampleGen
fe5bb1aa-dab5-431d-ad80-f2989be43fda,IN-F100036,CID-003,843436d4-56f5-44cd-86a0-0b3bb759070b,2025-05-01,2025-05-01,1939.91,169.75,2109.66,Issued,SampleGen
8c99d946-511b-482d-a769-e785ff1bbdbe,IN-F100037,CID-003,107ace3b-119c-4ef5-8733-cd892ece3941,2025-05-13,2025-05-13,269.97,23.62,293.59,Issued,SampleGen
e38c6c90-0f5e-4ae8-896e-aa68d14af8f2,IN-F100038,CID-003,da0ffde1-322f-41dd-a1cf-5a7e599a526f,2025-06-19,2025-06-19,914.92,80.05,994.97,Issued,SampleGen
c2277311-d7dc-444d-a35f-fcdad89e9a76,IN-F100039,CID-003,4e9d7b4a-3d97-49a3-9843-3a923a88c9ef,2025-07-30,2025-07-30,529.97,46.37,576.34,Issued,SampleGen
1c2ee656-c4a7-44c7-83c3-36f9a247dbe6,IN-F100040,CID-003,ce61a06b-24d0-419a-b046-2f891a76cd73,2025-08-30,2025-08-30,664.93,58.17,723.1,Issued,SampleGen
61de437a-8cfa-4d1d-a7c3-cd57abec93a0,IN-F100041,CID-003,e45c0085-df40-493f-9364-668aa18a5c3e,2025-09-09,2025-09-09,1279.92,111.99,1391.91,Issued,SampleGen
4ad17442-7544-466a-b8d5-9c12864d30e4,IN-F100042,CID-003,63421e6c-5a53-44f1-a4e1-28c6824ce4a5,2025-10-15,2025-10-15,1349.92,118.12,1468.04,Issued,SampleGen
c4eea2c7-bde8-4f03-a6fa-7da52ea596cf,IN-F100043,CID-003,aa860240-8583-4e49-bfe0-1fecbee46f80,2025-11-16,2025-11-16,579.96,50.74,630.7,Issued,SampleGen
