PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,3,Alpine Ski House,2026-04-09,2026-04-22,2026-04-24,Delivered,7168.43,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-04-09 00:00:00
2,PO-2026-0002,4,Worldwide Importers,2026-02-14,2026-03-09,2026-03-11,Delivered,95741.17,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-02-14 00:00:00
3,PO-2026-0003,1,Contoso Ltd,2026-04-15,2026-04-24,2026-04-26,Delivered,12338.26,Main Warehouse,buyer1,Medium,Order for Camping products,system,2026-04-15 00:00:00
4,PO-2026-0004,4,Worldwide Importers,2026-03-02,2026-03-21,2026-03-24,Delivered,114.02,Regional DC,buyer1,Low,Multi-category order,system,2026-03-02 00:00:00
5,PO-2026-0005,1,Contoso Ltd,2026-03-01,2026-03-14,2026-03-17,Delivered,22169.97,Backup Warehouse,buyer1,Medium,Order for Camping products,system,2026-03-01 00:00:00
6,PO-2026-0006,2,Proseware Inc,2026-04-26,2026-05-07,,Sent,8057.21,Main Warehouse,buyer1,Low,Order for Kitchen products,system,2026-04-26 00:00:00
7,PO-2026-0007,5,Fabrikam,2026-02-11,2026-02-28,2026-03-01,Delivered,3490.5,Backup Warehouse,buyer1,Low,Order for Ski products,system,2026-02-11 00:00:00
8,PO-2026-0008,5,Fabrikam,2026-02-24,2026-03-10,2026-03-12,Delivered,50786.99,Regional DC,buyer2,Low,Order for Ski products,system,2026-02-24 00:00:00
9,PO-2026-0009,2,Proseware Inc,2026-02-16,2026-03-03,2026-03-06,Delivered,4299.38,Main Warehouse,buyer2,Low,Order for Kitchen products,system,2026-02-16 00:00:00
10,PO-2026-0010,1,Contoso Ltd,2026-04-04,2026-04-16,2026-04-16,Delivered,3737.8,Regional DC,buyer1,Low,Order for Camping products,system,2026-04-04 00:00:00
11,PO-2026-0011,1,Contoso Ltd,2026-03-24,2026-04-02,2026-04-03,Delivered,38936.04,Main Warehouse,buyer1,Medium,Order for Camping products,system,2026-03-24 00:00:00
12,PO-2026-0012,5,Fabrikam,2026-03-14,2026-03-28,2026-03-31,Delivered,53893.78,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-03-14 00:00:00
13,PO-2026-0013,1,Contoso Ltd,2026-03-09,2026-03-18,2026-03-20,Delivered,22902.56,Backup Warehouse,supply_manager,Low,Order for Camping products,system,2026-03-09 00:00:00
14,PO-2026-0014,4,Worldwide Importers,2026-03-25,2026-04-16,2026-04-18,Delivered,3057.92,Regional DC,buyer1,Low,Multi-category order,system,2026-03-25 00:00:00
15,PO-2026-0015,1,Contoso Ltd,2026-02-22,2026-03-05,2026-03-05,Delivered,12047.96,Regional DC,buyer1,Low,Order for Camping products,system,2026-02-22 00:00:00
16,PO-2026-0016,1,Contoso Ltd,2026-04-12,2026-04-22,2026-04-23,Delivered,13628.15,Main Warehouse,buyer2,High,Order for Camping products,system,2026-04-12 00:00:00
17,PO-2026-0017,3,Alpine Ski House,2026-02-23,2026-03-07,2026-03-10,Delivered,38880.94,Main Warehouse,buyer2,Low,Order for Ski products,system,2026-02-23 00:00:00
18,PO-2026-0018,2,Proseware Inc,2026-04-25,2026-05-05,,InTransit,27716.57,Main Warehouse,buyer2,High,Order for Kitchen products,system,2026-04-25 00:00:00
19,PO-2026-0019,5,Fabrikam,2026-03-01,2026-03-15,2026-03-17,Delivered,49444.57,Main Warehouse,buyer2,Medium,Order for Ski products,system,2026-03-01 00:00:00
20,PO-2026-0020,3,Alpine Ski House,2026-02-09,2026-02-24,2026-02-24,Delivered,111431.25,Backup Warehouse,buyer2,Medium,Order for Ski products,system,2026-02-09 00:00:00
21,PO-2026-0021,4,Worldwide Importers,2026-03-03,2026-03-23,2026-03-23,Delivered,86405.16,Main Warehouse,supply_manager,Emergency,Multi-category order,system,2026-03-03 00:00:00
22,PO-2026-0022,2,Proseware Inc,2026-03-04,2026-03-13,2026-03-13,Delivered,10210.42,Regional DC,buyer1,Low,Order for Kitchen products,system,2026-03-04 00:00:00
23,PO-2026-0023,4,Worldwide Importers,2026-03-31,2026-04-19,2026-04-21,Delivered,29474.08,Main Warehouse,buyer2,Low,Multi-category order,system,2026-03-31 00:00:00
24,PO-2026-0024,3,Alpine Ski House,2026-02-25,2026-03-11,2026-03-12,Delivered,24226.01,Regional DC,buyer1,Low,Order for Ski products,system,2026-02-25 00:00:00
25,PO-2026-0025,2,Proseware Inc,2026-04-23,2026-05-06,,Confirmed,7639.0,Regional DC,buyer2,High,Order for Kitchen products,system,2026-04-23 00:00:00
26,PO-2026-0026,4,Worldwide Importers,2026-03-22,2026-04-17,2026-04-20,Delivered,8195.14,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-03-22 00:00:00
27,PO-2026-0027,1,Contoso Ltd,2026-02-24,2026-03-11,2026-03-14,Delivered,11840.08,Regional DC,supply_manager,Medium,Order for Camping products,system,2026-02-24 00:00:00
28,PO-2026-0028,4,Worldwide Importers,2026-03-25,2026-04-15,2026-04-15,Delivered,68633.6,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-03-25 00:00:00
29,PO-2026-0029,5,Fabrikam,2026-03-29,2026-04-13,2026-04-16,Delivered,61728.81,Regional DC,supply_manager,Low,Order for Ski products,system,2026-03-29 00:00:00
30,PO-2026-0030,2,Proseware Inc,2026-04-01,2026-04-12,2026-04-12,Delivered,13729.5,Backup Warehouse,supply_manager,Medium,Order for Kitchen products,system,2026-04-01 00:00:00
31,PO-2026-0031,1,Contoso Ltd,2026-03-02,2026-03-11,2026-03-15,Delivered,5275.2,Backup Warehouse,buyer1,Low,Order for Camping products,system,2026-03-02 00:00:00
32,PO-2026-0032,5,Fabrikam,2026-04-01,2026-04-17,2026-04-20,Delivered,15975.75,Regional DC,supply_manager,Low,Order for Ski products,system,2026-04-01 00:00:00
33,PO-2026-0033,5,Fabrikam,2026-03-05,2026-03-22,2026-03-25,Delivered,60541.5,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-03-05 00:00:00
34,PO-2026-0034,5,Fabrikam,2026-03-18,2026-04-03,2026-04-06,Delivered,43676.43,Regional DC,supply_manager,Medium,Order for Ski products,system,2026-03-18 00:00:00
35,PO-2026-0035,1,Contoso Ltd,2026-04-20,2026-05-04,,Confirmed,43794.24,Backup Warehouse,supply_manager,Low,Order for Camping products,system,2026-04-20 00:00:00
36,PO-2026-0036,2,Proseware Inc,2026-04-18,2026-04-27,2026-04-30,Delivered,2256.09,Backup Warehouse,buyer1,Low,Order for Kitchen products,system,2026-04-18 00:00:00
37,PO-2026-0037,2,Proseware Inc,2026-03-08,2026-03-20,2026-03-22,Delivered,7703.1,Backup Warehouse,buyer1,High,Order for Kitchen products,system,2026-03-08 00:00:00
38,PO-2026-0038,3,Alpine Ski House,2026-04-27,2026-05-08,,InTransit,9496.64,Main Warehouse,buyer2,Low,Order for Ski products,system,2026-04-27 00:00:00
39,PO-2026-0039,2,Proseware Inc,2026-04-22,2026-05-05,,InTransit,11860.23,Regional DC,buyer2,Medium,Order for Kitchen products,system,2026-04-22 00:00:00
40,PO-2026-0040,2,Proseware Inc,2026-03-03,2026-03-15,2026-03-17,Delivered,7049.18,Backup Warehouse,buyer1,Medium,Order for Kitchen products,system,2026-03-03 00:00:00
41,PO-2026-0041,1,Contoso Ltd,2026-04-10,2026-04-18,2026-04-19,Delivered,8405.14,Backup Warehouse,buyer1,Low,Order for Camping products,system,2026-04-10 00:00:00
42,PO-2026-0042,3,Alpine Ski House,2026-01-31,2026-02-14,2026-02-18,Delivered,17635.14,Backup Warehouse,buyer1,Low,Order for Ski products,system,2026-01-31 00:00:00
43,PO-2026-0043,2,Proseware Inc,2026-03-30,2026-04-14,2026-04-16,Delivered,1504.03,Backup Warehouse,buyer2,Medium,Order for Kitchen products,system,2026-03-30 00:00:00
44,PO-2026-0044,3,Alpine Ski House,2026-03-29,2026-04-08,2026-04-08,Delivered,38232.88,Regional DC,supply_manager,Emergency,Order for Ski products,system,2026-03-29 00:00:00
45,PO-2026-0045,3,Alpine Ski House,2026-02-13,2026-02-26,2026-02-26,Delivered,63146.82,Backup Warehouse,buyer1,High,Order for Ski products,system,2026-02-13 00:00:00
46,PO-2026-0046,3,Alpine Ski House,2026-04-16,2026-04-30,,InTransit,27748.46,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-04-16 00:00:00
47,PO-2026-0047,1,Contoso Ltd,2026-02-15,2026-02-25,2026-02-27,Delivered,5672.59,Main Warehouse,buyer1,Low,Order for Camping products,system,2026-02-15 00:00:00
48,PO-2026-0048,3,Alpine Ski House,2026-02-26,2026-03-15,2026-03-18,Delivered,152.44,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-02-26 00:00:00
49,PO-2026-0049,4,Worldwide Importers,2026-03-15,2026-04-10,2026-04-13,Delivered,25692.44,Regional DC,buyer1,Medium,Multi-category order,system,2026-03-15 00:00:00
50,PO-2026-0050,5,Fabrikam,2026-02-08,2026-02-22,2026-02-23,Delivered,65540.61,Backup Warehouse,buyer2,Medium,Order for Ski products,system,2026-02-08 00:00:00
51,PO-2026-0051,5,Fabrikam,2026-03-30,2026-04-15,2026-04-17,Delivered,41109.84,Main Warehouse,buyer2,High,Order for Ski products,system,2026-03-30 00:00:00
52,PO-2026-0052,3,Alpine Ski House,2026-03-05,2026-03-15,2026-03-17,Delivered,12006.16,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-03-05 00:00:00
53,PO-2026-0053,1,Contoso Ltd,2026-04-19,2026-04-28,2026-04-28,Delivered,4641.43,Main Warehouse,buyer2,Medium,Order for Camping products,system,2026-04-19 00:00:00
54,PO-2026-0054,5,Fabrikam,2026-02-12,2026-02-28,2026-03-03,Delivered,61793.59,Main Warehouse,buyer1,Low,Order for Ski products,system,2026-02-12 00:00:00
55,PO-2026-0055,1,Contoso Ltd,2026-02-01,2026-02-09,2026-02-14,Delivered,17280.65,Main Warehouse,buyer1,Low,Order for Camping products,system,2026-02-01 00:00:00
56,PO-2026-0056,4,Worldwide Importers,2026-04-18,2026-05-12,,Confirmed,70277.05,Regional DC,buyer2,Low,Multi-category order,system,2026-04-18 00:00:00
57,PO-2026-0057,2,Proseware Inc,2026-03-17,2026-03-30,2026-04-09,Delivered,23819.84,Regional DC,buyer2,Emergency,Order for Kitchen products,system,2026-03-17 00:00:00
58,PO-2026-0058,1,Contoso Ltd,2026-02-05,2026-02-19,2026-02-22,Delivered,114105.44,Main Warehouse,supply_manager,High,Order for Camping products,system,2026-02-05 00:00:00
