InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
87c9eddb-c57a-4f33-9270-6575fdc5f8c9,IN-F100000,CID-001,1e83bcfc-8de2-4f64-9ff0-c8896e08b737,2025-01-08,2025-01-08,1159.93,101.49,1261.42,Issued,SampleGen
3198866a-7bc5-4cb4-99f4-8a2ec6d61181,IN-F100001,CID-001,3cdc03f2-245a-444d-b1e1-824652dcc402,2025-02-21,2025-02-21,129.99,11.37,141.36,Issued,SampleGen
9310bf2f-aae9-440d-9c70-d0bd5f7bc87c,IN-F100002,CID-001,99d99543-e25a-4278-b73b-7d741192eb34,2025-03-05,2025-03-05,569.97,49.87,619.84,Issued,SampleGen
d50b3247-b32b-46be-99ac-5983d2472784,IN-F100003,CID-001,e405f867-423f-48a7-9593-886d01281399,2025-04-28,2025-04-28,1409.95,123.37,1533.32,Issued,SampleGen
cce2ed91-2d80-4f61-a62e-b8a8cf41d39d,IN-F100004,CID-001,1d517fb3-eec6-4f8b-9775-6ed20c703a6b,2025-05-08,2025-05-08,739.96,64.75,804.71,Issued,SampleGen
6b518713-1b35-4735-b5e1-7b8a5717cd75,IN-F100005,CID-001,0f56b176-7f7b-4b77-ba3d-71df07d225be,2025-06-19,2025-06-19,959.95,84.0,1043.95,Issued,SampleGen
e3e5f0ad-245a-4975-a56d-66a7bf4c3378,IN-F100006,CID-001,d2a326f7-8689-4b76-baf3-c0b7bd9f1949,2025-07-15,2025-07-15,749.97,65.62,815.59,Issued,SampleGen
af48e525-ad25-40ba-a7f9-35af366795fd,IN-F100007,CID-001,94738b08-2cc0-427b-b2c9-ff79394751f8,2025-08-30,2025-08-30,2009.93,175.86,2185.79,Issued,SampleGen
2be40ae3-821b-4886-a879-bda1f6f42430,IN-F100008,CID-001,bddd5acf-0f29-4eac-84e7-c851ccc9e08a,2025-09-29,2025-09-29,1919.91,167.98,2087.89,Issued,SampleGen
b7519323-fd41-4ebd-b4ac-332841b0f64f,IN-F100009,CID-001,4af44620-9983-484f-9233-86ef161da475,2025-10-26,2025-10-26,224.97,19.68,244.65,Issued,SampleGen
91b0c743-f135-4eac-a863-9f5118b5864f,IN-F100010,CID-001,afb85bb7-7e19-4f96-97f8-f87fce8649b8,2025-11-03,2025-11-03,1479.93,129.49,1609.42,Issued,SampleGen
16e55089-75f9-4a2c-b0cb-d9a2df538261,IN-F100011,CID-001,c3ae8a2d-cd36-4b8c-89f5-aebe7bd11f1c,2025-12-20,2025-12-20,579.98,50.75,630.73,Issued,SampleGen
e7341489-40cb-4e60-a860-02cca8cc5ea0,IN-F100012,CID-001,d191280b-78a6-466b-aa4c-80a11e0721c5,2026-01-07,2026-01-07,1259.88,110.23,1370.11,Issued,SampleGen
de96a81d-6145-4ed4-a7bd-bfe5c9339483,IN-F100013,CID-001,577e7201-51a6-4dbc-a6a0-f899eec2eb5b,2026-02-02,2026-02-02,389.95,34.12,424.07,Issued,SampleGen
0ed685a8-f795-44ab-8587-5a7941193e34,IN-F100014,CID-001,ef61af0a-18ab-492b-b466-50f7736e3379,2026-03-19,2026-03-19,1514.9,132.54,1647.44,Issued,SampleGen
087e94d0-15fe-4eed-b93c-4afa18f7b048,IN-F100015,CID-001,d5b19f49-d822-4dbd-b85c-29d412fca0ab,2026-04-13,2026-04-13,1479.96,129.49,1609.45,Issued,SampleGen
65826192-5441-45c8-9145-2353843956a4,IN-F100016,CID-001,cdc5e127-0634-4327-bfd7-d4cbfe450871,2026-05-01,2026-05-01,2689.93,235.37,2925.3,Issued,SampleGen
1908e480-efd6-447f-9eb4-6271d7bdd238,IN-F100017,CID-002,b798eb6b-fdc3-4010-bd2f-60475d8e2b8c,2025-01-08,2025-01-08,449.99,39.37,489.36,Issued,SampleGen
48bd1223-7328-4556-8500-a3a4110b3ca1,IN-F100018,CID-002,0598f89f-b035-499f-8734-18f7c285c926,2025-02-26,2025-02-26,359.98,31.49,391.47,Issued,SampleGen
3527e421-ae09-436d-87bf-ff4798ce5ef7,IN-F100019,CID-002,252e47fe-db13-4910-8ff9-2b4c9b8b4687,2025-03-05,2025-03-05,1114.91,97.55,1212.46,Issued,SampleGen
c19361ca-4fab-41b7-a350-279713061b75,IN-F100020,CID-002,d546ed48-efff-4ff6-b0c7-145bf53012ed,2025-04-08,2025-04-08,959.96,83.99,1043.95,Issued,SampleGen
d8279b7b-6ea5-4d82-9e22-ad30e542cd35,IN-F100021,CID-002,6473d5af-e991-4c83-8632-97f5e8e8e229,2025-05-13,2025-05-13,269.97,23.62,293.59,Issued,SampleGen
