InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-c392288d-2830-41cf-a330-abd7c8a6371d,IS300000,CID-001,c392288d-2830-41cf-a330-abd7c8a6371d,2026-02-20,2026-03-22,2599.95,227.5,2827.45,Paid,SampleGen
INV-0af38669-5192-468b-81d0-357d30ad3730,IS300001,CID-001,0af38669-5192-468b-81d0-357d30ad3730,2025-10-15,2025-11-14,649.98,56.87,706.85,Paid,SampleGen
INV-188830e4-46f1-4ee9-b27b-685d7612fae4,IS300002,CID-001,188830e4-46f1-4ee9-b27b-685d7612fae4,2025-03-07,2025-04-06,3899.96,341.25,4241.21,Paid,SampleGen
INV-5f72cf16-8393-4eba-ac0e-725cd4d43ab8,IS300003,CID-001,5f72cf16-8393-4eba-ac0e-725cd4d43ab8,2025-12-26,2026-01-25,1749.98,153.12,1903.1,Paid,SampleGen
INV-4a9a8f81-769d-4c3c-b97f-65190e67fc32,IS300004,CID-001,4a9a8f81-769d-4c3c-b97f-65190e67fc32,2025-05-26,2025-06-25,759.96,66.49,826.45,Paid,SampleGen
INV-8b7b72f9-3d1d-49d6-ac1d-529d78b5e3ff,IS300005,CID-001,8b7b72f9-3d1d-49d6-ac1d-529d78b5e3ff,2026-02-19,2026-03-21,2864.96,250.68,3115.64,Paid,SampleGen
INV-7da4df28-75b2-4105-8ef0-8d0fcc09d6a6,IS300006,CID-001,7da4df28-75b2-4105-8ef0-8d0fcc09d6a6,2025-06-29,2025-07-29,379.98,33.24,413.22,Paid,SampleGen
INV-ffaae981-b445-4fde-926f-e2e6dfd6e0ab,IS300007,CID-002,ffaae981-b445-4fde-926f-e2e6dfd6e0ab,2025-01-04,2025-02-03,3679.96,322.0,4001.96,Paid,SampleGen
INV-58463afe-b778-405e-878a-3cfd96c27dfc,IS300008,CID-003,58463afe-b778-405e-878a-3cfd96c27dfc,2026-04-10,2026-05-10,499.98,43.75,543.73,Paid,SampleGen
INV-38485729-3b12-4219-ab83-aed6e37fb6ac,IS300009,CID-003,38485729-3b12-4219-ab83-aed6e37fb6ac,2025-04-29,2025-05-29,549.95,48.12,598.07,Paid,SampleGen
INV-25d88b88-8fae-4b78-9b5b-2e7378098e4e,IS300010,CID-004,25d88b88-8fae-4b78-9b5b-2e7378098e4e,2025-11-20,2025-12-20,1849.94,161.87,2011.81,Paid,SampleGen
INV-e50941ba-64be-496a-b50c-1b65410341f4,IS300011,CID-005,e50941ba-64be-496a-b50c-1b65410341f4,2025-08-24,2025-09-23,189.99,16.62,206.61,Paid,SampleGen
INV-10cfc14a-5779-4a85-a53a-8cd82dd300b8,IS300012,CID-005,10cfc14a-5779-4a85-a53a-8cd82dd300b8,2025-12-30,2026-01-29,2159.94,189.0,2348.94,Paid,SampleGen
INV-ed7b3d22-d1d1-452d-8592-82cf57540fcc,IS300013,CID-005,ed7b3d22-d1d1-452d-8592-82cf57540fcc,2025-12-29,2026-01-28,1959.96,171.5,2131.46,Paid,SampleGen
INV-56e1f156-354d-40b3-a27a-01ec5d7941f1,IS300014,CID-005,56e1f156-354d-40b3-a27a-01ec5d7941f1,2025-05-30,2025-06-29,3249.94,284.37,3534.31,Paid,SampleGen
INV-e0a5a401-41ff-450c-ad46-1e404674ceec,IS300015,CID-006,e0a5a401-41ff-450c-ad46-1e404674ceec,2026-01-17,2026-02-16,3949.94,345.62,4295.56,Paid,SampleGen
INV-47b3dd38-b38f-47f1-b08f-4ce20027ea2c,IS300016,CID-006,47b3dd38-b38f-47f1-b08f-4ce20027ea2c,2025-06-22,2025-07-22,449.99,39.37,489.36,Paid,SampleGen
INV-7c6bd941-dc8d-434c-8dbd-241c4790b5dc,IS300017,CID-006,7c6bd941-dc8d-434c-8dbd-241c4790b5dc,2026-04-28,2026-05-28,909.94,79.62,989.56,Paid,SampleGen
INV-1229cb4f-5566-444e-9c5b-072492184589,IS300018,CID-006,1229cb4f-5566-444e-9c5b-072492184589,2026-02-04,2026-03-06,269.97,23.62,293.59,Paid,SampleGen
INV-c00354c5-17e9-49f0-8b9c-1d66ed7288a3,IS300019,CID-006,c00354c5-17e9-49f0-8b9c-1d66ed7288a3,2025-02-04,2025-03-06,1499.95,131.25,1631.2,Paid,SampleGen
INV-34e0273c-5f8f-4d6b-9d27-200873fbb4f5,IS300020,CID-007,34e0273c-5f8f-4d6b-9d27-200873fbb4f5,2025-11-17,2025-12-17,239.98,21.0,260.98,Paid,SampleGen
INV-b5595995-87e7-4266-96c2-b7c3ca3f7a42,IS300021,CID-007,b5595995-87e7-4266-96c2-b7c3ca3f7a42,2026-03-12,2026-04-11,1269.97,111.12,1381.09,Paid,SampleGen
INV-e4f0e88f-d5ab-42bc-af63-ede33f59b045,IS300022,CID-008,e4f0e88f-d5ab-42bc-af63-ede33f59b045,2025-07-13,2025-08-12,1299.98,113.75,1413.73,Paid,SampleGen
