ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,2026-05-01,Monthly,98,78.45,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-28 00:00:00
2,1521,Adventurer Pro Backpack,Camping,2026-05-01,Weekly,22,81.78,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-25 00:00:00
3,1521,Adventurer Pro Backpack,Camping,2026-05-08,Weekly,22,75.17,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21 00:00:00
4,1521,Adventurer Pro Backpack,Camping,2026-05-15,Weekly,22,75.06,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-23 00:00:00
5,1521,Adventurer Pro Backpack,Camping,2026-05-22,Weekly,22,73.95,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-20 00:00:00
6,1521,Adventurer Pro Backpack,Camping,2026-06-01,Monthly,106,78.45,1.0,Growing,91,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-29 00:00:00
7,1521,Adventurer Pro Backpack,Camping,2026-07-01,Monthly,114,78.45,1.0,Growing,91,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-05 00:00:00
8,1531,Summit Breeze Jacket,Camping,2026-05-01,Monthly,126,67.9,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-09 00:00:00
9,1531,Summit Breeze Jacket,Camping,2026-05-01,Weekly,29,71.94,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-10 00:00:00
10,1531,Summit Breeze Jacket,Camping,2026-05-08,Weekly,29,65.69,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09 00:00:00
11,1531,Summit Breeze Jacket,Camping,2026-05-15,Weekly,29,70.11,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-24 00:00:00
12,1531,Summit Breeze Jacket,Camping,2026-05-22,Weekly,29,69.52,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05 00:00:00
13,1531,Summit Breeze Jacket,Camping,2026-06-01,Monthly,136,67.9,1.0,Growing,117,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-21 00:00:00
14,1531,Summit Breeze Jacket,Camping,2026-07-01,Monthly,147,67.9,1.0,Growing,117,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-01 00:00:00
15,1541,TrekReady Hiking Boots,Camping,2026-05-01,Monthly,126,64.66,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-13 00:00:00
16,1541,TrekReady Hiking Boots,Camping,2026-05-01,Weekly,29,63.79,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-31 00:00:00
17,1541,TrekReady Hiking Boots,Camping,2026-05-08,Weekly,29,62.22,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-06 00:00:00
18,1541,TrekReady Hiking Boots,Camping,2026-05-15,Weekly,29,60.34,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21 00:00:00
19,1541,TrekReady Hiking Boots,Camping,2026-05-22,Weekly,29,62.12,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-10 00:00:00
20,1541,TrekReady Hiking Boots,Camping,2026-06-01,Monthly,136,64.66,1.0,Growing,117,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-10 00:00:00
21,1541,TrekReady Hiking Boots,Camping,2026-07-01,Monthly,147,64.66,1.0,Growing,117,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-16 00:00:00
22,1551,BaseCamp Folding Table,Camping,2026-05-01,Monthly,127,74.32,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-14 00:00:00
23,1551,BaseCamp Folding Table,Camping,2026-05-01,Weekly,29,74.49,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-04 00:00:00
24,1551,BaseCamp Folding Table,Camping,2026-05-08,Weekly,29,71.83,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-16 00:00:00
25,1551,BaseCamp Folding Table,Camping,2026-05-15,Weekly,29,78.32,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-15 00:00:00
26,1551,BaseCamp Folding Table,Camping,2026-05-22,Weekly,29,74.46,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03 00:00:00
27,1551,BaseCamp Folding Table,Camping,2026-06-01,Monthly,137,74.32,1.0,Growing,118,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-15 00:00:00
28,1551,BaseCamp Folding Table,Camping,2026-07-01,Monthly,148,74.32,1.0,Growing,118,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-09 00:00:00
29,1561,EcoFire Camping Stove,Camping,2026-05-01,Monthly,129,68.98,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-26 00:00:00
30,1561,EcoFire Camping Stove,Camping,2026-05-01,Weekly,30,73.21,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-02 00:00:00
31,1561,EcoFire Camping Stove,Camping,2026-05-08,Weekly,30,72.91,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-24 00:00:00
32,1561,EcoFire Camping Stove,Camping,2026-05-15,Weekly,30,65.73,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-14 00:00:00
33,1561,EcoFire Camping Stove,Camping,2026-05-22,Weekly,30,67.09,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-31 00:00:00
34,1561,EcoFire Camping Stove,Camping,2026-06-01,Monthly,139,68.98,1.0,Growing,120,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-12 00:00:00
35,1561,EcoFire Camping Stove,Camping,2026-07-01,Monthly,151,68.98,1.0,Growing,120,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-01 00:00:00
36,1571,CozyNights Sleeping Bag,Camping,2026-05-01,Monthly,126,78.81,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17 00:00:00
37,1571,CozyNights Sleeping Bag,Camping,2026-05-01,Weekly,29,78.6,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-17 00:00:00
38,1571,CozyNights Sleeping Bag,Camping,2026-05-08,Weekly,29,81.04,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-06 00:00:00
39,1571,CozyNights Sleeping Bag,Camping,2026-05-15,Weekly,29,77.42,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-16 00:00:00
40,1571,CozyNights Sleeping Bag,Camping,2026-05-22,Weekly,29,76.97,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-01 00:00:00
41,1571,CozyNights Sleeping Bag,Camping,2026-06-01,Monthly,136,78.81,1.0,Growing,117,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-27 00:00:00
42,1571,CozyNights Sleeping Bag,Camping,2026-07-01,Monthly,147,78.81,1.0,Growing,117,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-03-31 00:00:00
43,1511,Alpine Explorer Tent,Camping,2026-05-01,Monthly,86,76.14,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-10 00:00:00
44,1511,Alpine Explorer Tent,Camping,2026-05-01,Weekly,20,76.67,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05 00:00:00
45,1511,Alpine Explorer Tent,Camping,2026-05-08,Weekly,20,78.27,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-11 00:00:00
46,1511,Alpine Explorer Tent,Camping,2026-05-15,Weekly,20,76.14,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21 00:00:00
47,1511,Alpine Explorer Tent,Camping,2026-05-22,Weekly,20,72.65,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-15 00:00:00
48,1511,Alpine Explorer Tent,Camping,2026-06-01,Monthly,93,76.14,1.0,Growing,80,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-19 00:00:00
49,1511,Alpine Explorer Tent,Camping,2026-07-01,Monthly,100,76.14,1.0,Growing,80,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-10 00:00:00
50,1522,SummitClimber Backpack,Camping,2026-05-01,Monthly,127,76.56,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-15 00:00:00
51,1522,SummitClimber Backpack,Camping,2026-05-01,Weekly,29,73.56,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21 00:00:00
52,1522,SummitClimber Backpack,Camping,2026-05-08,Weekly,29,74.57,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-07 00:00:00
53,1522,SummitClimber Backpack,Camping,2026-05-15,Weekly,29,80.21,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-22 00:00:00
54,1522,SummitClimber Backpack,Camping,2026-05-22,Weekly,29,74.83,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-24 00:00:00
55,1522,SummitClimber Backpack,Camping,2026-06-01,Monthly,137,76.56,1.0,Growing,118,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-09 00:00:00
56,1522,SummitClimber Backpack,Camping,2026-07-01,Monthly,148,76.56,1.0,Growing,118,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-03 00:00:00
57,1532,TrailBlaze Hiking Pants,Camping,2026-05-01,Monthly,66,72.47,1.0,Growing,62,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-20 00:00:00
58,1532,TrailBlaze Hiking Pants,Camping,2026-05-01,Weekly,15,71.05,1.0,Growing,62,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-14 00:00:00
59,1532,TrailBlaze Hiking Pants,Camping,2026-05-08,Weekly,15,72.98,1.0,Growing,62,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-29 00:00:00
60,1532,TrailBlaze Hiking Pants,Camping,2026-05-15,Weekly,15,73.92,1.0,Growing,62,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-28 00:00:00
61,1532,TrailBlaze Hiking Pants,Camping,2026-05-22,Weekly,15,73.53,1.0,Growing,62,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-01 00:00:00
62,1532,TrailBlaze Hiking Pants,Camping,2026-06-01,Monthly,72,72.47,1.0,Growing,62,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-04 00:00:00
63,1532,TrailBlaze Hiking Pants,Camping,2026-07-01,Monthly,78,72.47,1.0,Growing,62,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-26 00:00:00
64,1542,TrailWalker Hiking Shoes,Camping,2026-05-01,Monthly,98,74.73,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-03-31 00:00:00
65,1542,TrailWalker Hiking Shoes,Camping,2026-05-01,Weekly,22,76.51,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03 00:00:00
66,1542,TrailWalker Hiking Shoes,Camping,2026-05-08,Weekly,22,72.87,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-11 00:00:00
67,1542,TrailWalker Hiking Shoes,Camping,2026-05-15,Weekly,22,73.71,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21 00:00:00
68,1542,TrailWalker Hiking Shoes,Camping,2026-05-22,Weekly,22,76.04,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-10 00:00:00
69,1542,TrailWalker Hiking Shoes,Camping,2026-06-01,Monthly,106,74.73,1.0,Growing,91,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-05 00:00:00
70,1542,TrailWalker Hiking Shoes,Camping,2026-07-01,Monthly,114,74.73,1.0,Growing,91,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-05 00:00:00
71,1552,TrekMaster Camping Chair,Camping,2026-05-01,Monthly,109,67.85,1.0,Growing,101,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-08 00:00:00
72,1552,TrekMaster Camping Chair,Camping,2026-05-01,Weekly,25,68.29,1.0,Growing,101,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-12 00:00:00
73,1552,TrekMaster Camping Chair,Camping,2026-05-08,Weekly,25,71.59,1.0,Growing,101,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21 00:00:00
74,1552,TrekMaster Camping Chair,Camping,2026-05-15,Weekly,25,65.4,1.0,Growing,101,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-12 00:00:00
75,1552,TrekMaster Camping Chair,Camping,2026-05-22,Weekly,25,70.6,1.0,Growing,101,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-04 00:00:00
76,1552,TrekMaster Camping Chair,Camping,2026-06-01,Monthly,117,67.85,1.0,Growing,101,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-28 00:00:00
77,1552,TrekMaster Camping Chair,Camping,2026-07-01,Monthly,127,67.85,1.0,Growing,101,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-26 00:00:00
78,1562,PowerBurner Camping Stove,Camping,2026-05-01,Monthly,78,63.58,1.0,Growing,73,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-05 00:00:00
79,1562,PowerBurner Camping Stove,Camping,2026-05-01,Weekly,18,65.2,1.0,Growing,73,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-18 00:00:00
80,1562,PowerBurner Camping Stove,Camping,2026-05-08,Weekly,18,66.53,1.0,Growing,73,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-08 00:00:00
81,1562,PowerBurner Camping Stove,Camping,2026-05-15,Weekly,18,58.58,1.0,Growing,73,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-02 00:00:00
