PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
36766462-280c-4fe4-8b03-23b3b531e574,7073e844-d2fc-487e-856d-996573bac525,CID-001,2023-02-01,424.09,Discover,Completed,SampleGen
d51bba65-8956-4ef3-b981-6029e9232a00,0e123ea9-b22b-4dfc-a85a-d1482ed71b6e,CID-001,2023-02-11,772.07,VISA,Completed,SampleGen
ab874807-5526-4193-8319-ce44732a4101,10b6a9b8-5008-4e9d-8662-8d70148a2399,CID-001,2023-03-11,946.02,MC,Completed,SampleGen
48a3e9a4-4a48-4a71-a3a7-abef3f4dd894,330d1591-e709-4b98-bb51-fc3f54fc87e6,CID-001,2023-04-09,685.07,VISA,Completed,SampleGen
6f024d6f-2538-4003-a1b7-2de490c0f09e,f742dfa4-328f-47ed-8b0c-f59b0bfc28ba,CID-001,2023-05-08,293.59,PayPal,Completed,SampleGen
f5ad8a30-6432-4780-8d32-7378afdec3f3,0d069a9c-a7f4-42e7-a480-138322ca6136,CID-001,2023-06-27,250.09,Discover,Completed,SampleGen
3dbf03ed-80fe-4b26-a67d-dd5e9c9325dc,46850ddf-7119-4e62-be1d-10f01f33a450,CID-001,2023-07-17,880.81,PayPal,Completed,SampleGen
b9ef4ec4-710b-4d66-817e-1e0b6f5d1cae,b1acd288-4578-4136-8eab-8abe41cc2317,CID-001,2023-08-14,1196.17,VISA,Completed,SampleGen
970f7510-4cd6-4c87-b20c-c11e34794151,a1104b2a-ad29-4f0f-a608-daf84bf1eb08,CID-001,2023-09-04,2066.16,Discover,Completed,SampleGen
485277cb-bd6f-42f3-80a8-b28a57762a7b,0540a272-f845-4c70-b2ed-cdbfa9be47d1,CID-001,2023-10-31,826.43,PayPal,Completed,SampleGen
6156abbc-2376-42bf-bf27-3c42ce9a5a12,2396fd87-1eed-4da5-abca-f5bccc9eaeab,CID-001,2023-11-05,163.11,VISA,Completed,SampleGen
66358c3c-d99d-420e-a548-94fb3a480d6f,e5ea0e9d-c034-4845-a1e2-dc4f0c2e42d1,CID-001,2023-12-29,1022.2,MC,Completed,SampleGen
807b8408-9bff-42b3-8f80-89e9db9f33d5,6d32cd96-4f1b-47a6-abc1-d5b56fb4f4cf,CID-001,2024-01-29,967.78,VISA,Completed,SampleGen
31bab5c7-7e75-4ae3-a426-2ef53d4b529d,4833aa08-764f-4e87-849a-fbab0b376e59,CID-001,2024-02-17,2077.03,VISA,Completed,SampleGen
e8a3c8c4-f198-47ef-8bde-82ac9da47482,35f42fec-84e9-4804-a259-794932ea9455,CID-001,2024-03-10,674.2,VISA,Completed,SampleGen
dc11bbbd-a88b-48d2-8046-03d2ccce299c,3297d5a5-bfb0-4e35-880a-7e3ad2508954,CID-001,2024-04-26,97.86,VISA,Completed,SampleGen
0b5c2fe3-d4a4-4c5f-aec8-f37807323803,adc9795c-f9b1-4f9f-8e53-6173a99f4a9d,CID-001,2024-05-13,1076.59,MC,Completed,SampleGen
e63b2fdb-bdb5-42ba-8269-528c9777513f,e2f3f89c-de68-4e3c-bc03-166158c3a069,CID-001,2024-06-12,821.0,PayPal,Completed,SampleGen
48819a34-c2f9-4afc-a4ef-f033e035e72b,820bd6c6-929f-4311-950b-59dbede091e6,CID-001,2024-07-25,717.73,PayPal,Completed,SampleGen
