PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
ff82c85b-4b66-40f3-b401-067624c1a980,INV-92824aef-0dcd-4b52-8f9e-c3c32a64b413,CID-001,2023-02-09,1780.64,VISA,Completed,SampleGen
c8a4384f-fffa-4243-a619-37bc7139cdd8,INV-5c1c6a26-df92-4773-a8ad-86e3f134c7db,CID-001,2023-03-13,5015.74,MC,Completed,SampleGen
b8d37d9b-934e-4ff6-ad99-e76ac1a4992a,INV-1565d978-b409-4a8f-aa76-d1547e5702d9,CID-001,2023-04-18,322.14,VISA,Completed,SampleGen
73389623-0200-48d4-9a61-5a1b73d6cd77,INV-34dbc78c-a711-4439-99ea-20e01b502315,CID-001,2023-07-05,3603.8,MC,Completed,SampleGen
dbef25ef-2e7b-4541-b510-f47d8edb84c8,INV-9a4f7aaf-dc2e-4761-b3bf-5c30efd90d01,CID-001,2023-08-21,264.9,MC,Completed,SampleGen
abc54e1b-984e-42cf-abdd-d8c62c9f115c,INV-7769c6ed-c219-412b-93b0-49183f87847a,CID-001,2023-09-09,1680.96,VISA,Completed,SampleGen
da68dd3c-70bb-439e-a1c5-fd73161592ac,INV-02e7cdca-ef61-44f8-8847-d0b8364919b8,CID-001,2023-11-22,345.46,VISA,Completed,SampleGen
3ba737bb-0126-4a44-a1db-4a546f14a965,INV-2cc30429-1fe7-4ab6-bc29-dd376cf95522,CID-001,2023-12-20,646.44,MC,Completed,SampleGen
73429cc2-33ff-428f-ac2b-8b73f0c4c7de,INV-31145ca1-c48e-48b4-8c71-dc8b02af8e3a,CID-001,2024-01-31,4460.36,MC,Completed,SampleGen
851cd3ea-122c-4644-b7ea-17d933501dc5,INV-168511b3-2ef1-41b6-aa9d-5841b63aa906,CID-001,2024-02-17,1627.98,Discover,Completed,SampleGen
985ee657-34f2-40b5-a631-a4b3d772750d,INV-85270dcb-8469-4120-95ab-b85c1312a070,CID-001,2024-03-17,1505.02,VISA,Completed,SampleGen
ac72926a-6fea-4e66-8410-fc655a6abca8,INV-2a248d8d-ba42-4114-9577-2082f74b2472,CID-001,2024-04-04,1015.22,Discover,Completed,SampleGen
a60ac272-cb3a-4ecf-8f48-63e1313024b7,INV-cafce5a4-eaef-40ad-9424-f8393e4b0d1e,CID-001,2024-05-29,3807.36,MC,Completed,SampleGen
4d4bbcad-80a6-4316-8391-490276886734,INV-9957741d-8c16-41a2-841c-22108f56ec12,CID-001,2024-06-14,699.4,VISA,Completed,SampleGen
