PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-1451898f-8661-4e0c-bcf0-c13884772c40,INV-1451898f-8661-4e0c-bcf0-c13884772c40,CID-001,2025-04-20,1826.96,PayPal,Completed,SampleGen
PAY-0359f467-7e61-4a29-9935-5be3a70b45e4,INV-0359f467-7e61-4a29-9935-5be3a70b45e4,CID-001,2024-09-18,1913.96,PayPal,Completed,SampleGen
PAY-632e3107-1770-4c37-b3f3-d5ef995b10fc,INV-632e3107-1770-4c37-b3f3-d5ef995b10fc,CID-001,2023-09-17,1913.95,PayPal,Completed,SampleGen
PAY-20fd980e-ac93-4031-86ec-c123a726601c,INV-20fd980e-ac93-4031-86ec-c123a726601c,CID-002,2025-02-26,4040.01,VISA,Completed,SampleGen
PAY-681f0eb2-4096-4520-a4e6-fffe0f813831,INV-681f0eb2-4096-4520-a4e6-fffe0f813831,CID-002,2024-06-24,271.86,MC,Completed,SampleGen
PAY-7d87ac08-0af0-4775-a151-9e8d58058d51,INV-7d87ac08-0af0-4775-a151-9e8d58058d51,CID-003,2024-09-21,2392.46,VISA,Completed,SampleGen
PAY-5667e171-7907-4533-81da-0d616f01e255,INV-5667e171-7907-4533-81da-0d616f01e255,CID-003,2025-09-12,4078.07,AmEx,Completed,SampleGen
PAY-4a25bdfe-2203-4119-8ef3-86bcc031dade,INV-4a25bdfe-2203-4119-8ef3-86bcc031dade,CID-003,2026-04-15,1663.8,AmEx,Completed,SampleGen
PAY-f3fc5c82-5d33-4ee4-ae48-a044eb93c09a,INV-f3fc5c82-5d33-4ee4-ae48-a044eb93c09a,CID-003,2025-12-22,1935.71,AmEx,Completed,SampleGen
PAY-16526e08-4756-4285-ba52-7b61e7899271,INV-16526e08-4756-4285-ba52-7b61e7899271,CID-004,2023-01-15,5056.8,AmEx,Completed,SampleGen
PAY-3cb5c245-02b0-4b90-885a-738d61ceb43a,INV-3cb5c245-02b0-4b90-885a-738d61ceb43a,CID-005,2025-06-18,880.84,VISA,Completed,SampleGen
PAY-74f7c2a0-1e28-4938-8d67-dcb85c73a658,INV-74f7c2a0-1e28-4938-8d67-dcb85c73a658,CID-005,2025-12-25,1174.47,Discover,Completed,SampleGen
PAY-ec375087-42d6-43fd-9840-c4ad93c32fff,INV-ec375087-42d6-43fd-9840-c4ad93c32fff,CID-005,2023-01-16,141.36,VISA,Completed,SampleGen
PAY-405e98d7-ee05-404a-a8da-17bd29270e69,INV-405e98d7-ee05-404a-a8da-17bd29270e69,CID-006,2023-02-10,2446.83,Discover,Completed,SampleGen
PAY-7acba995-92ff-48e9-95cd-97a8952306e6,INV-7acba995-92ff-48e9-95cd-97a8952306e6,CID-006,2023-10-07,880.84,MC,Completed,SampleGen
PAY-3dad393b-67fd-44f0-956e-2bcebb08ec09,INV-3dad393b-67fd-44f0-956e-2bcebb08ec09,CID-006,2023-04-01,978.72,Discover,Completed,SampleGen
PAY-e6e5f2ec-cf68-4c18-b666-02659342685e,INV-e6e5f2ec-cf68-4c18-b666-02659342685e,CID-006,2023-07-18,1304.93,AmEx,Completed,SampleGen
PAY-a53642ce-d287-4d2d-879d-1a14d15c8f7a,INV-a53642ce-d287-4d2d-879d-1a14d15c8f7a,CID-006,2024-01-25,2827.47,VISA,Completed,SampleGen
