OrderId,SalesChannelId,OrderNumber,CustomerId,CustomerAccountId,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
9efc4079-2a1c-4f41-b462-9377e8fe51e2,Camping,F100000,CID-001,CA-0001,2023-01-31,Completed,389.97,34.12,424.09,Discover,USD,SampleGen
9d7c1d1d-e708-4bd7-9903-9a682f815e9f,Camping,F100001,CID-001,CA-0001,2023-02-10,Shipped,709.95,62.12,772.07,VISA,USD,SampleGen
31f3efeb-68a5-41d2-b555-84466e4db3a3,Camping,F100002,CID-001,CA-0001,2023-03-10,Completed,869.91,76.11,946.02,MC,USD,SampleGen
55eb4fa8-b9d4-452d-a154-08dbd710e07d,Camping,F100003,CID-001,CA-0001,2023-04-08,Completed,629.95,55.12,685.07,VISA,USD,SampleGen
14a5069f-5194-43da-8783-6bf04cf8da95,Camping,F100004,CID-001,CA-0001,2023-05-07,Completed,269.97,23.62,293.59,PayPal,USD,SampleGen
8a9003a1-e479-4a8b-9601-cbae5933f353,Camping,F100005,CID-001,CA-0001,2023-06-26,Shipped,229.97,20.12,250.09,Discover,USD,SampleGen
f5e18bdb-9198-443f-8393-41223095689d,Camping,F100006,CID-001,CA-0001,2023-07-16,Completed,809.94,70.87,880.81,PayPal,USD,SampleGen
999f24ae-2de3-428b-bbe9-8f65370b8388,Camping,F100007,CID-001,CA-0001,2023-08-13,Completed,1099.93,96.24,1196.17,VISA,USD,SampleGen
5aa93a21-774b-4d57-ac86-7e5f7f0ac803,Camping,F100008,CID-001,CA-0001,2023-09-03,Completed,1899.92,166.24,2066.16,Discover,USD,SampleGen
c783e0a2-cc98-4786-903b-1eef29ae6075,Camping,F100009,CID-001,CA-0001,2023-10-30,Pending,759.94,66.49,826.43,PayPal,USD,SampleGen
6d00fced-6a43-4f6b-a69b-6335748f8ac0,Camping,F100010,CID-001,CA-0001,2023-11-04,Completed,149.99,13.12,163.11,VISA,USD,SampleGen
66f27af1-9c56-48ad-a120-01e04ff245a2,Camping,F100011,CID-001,CA-0001,2023-12-28,Completed,939.96,82.24,1022.2,MC,USD,SampleGen
e992a561-c089-4d45-93ad-b6047c9cf052,Camping,F100012,CID-001,CA-0001,2024-01-28,Completed,889.91,77.87,967.78,VISA,USD,SampleGen
b4f9b2c3-f6bb-410c-a6c1-566d15a2e0fa,Camping,F100013,CID-001,CA-0001,2024-02-16,Completed,1909.91,167.12,2077.03,VISA,USD,SampleGen
551f0ef8-554a-4e68-9109-475dee0a362d,Camping,F100014,CID-001,CA-0001,2024-03-09,Completed,619.96,54.24,674.2,VISA,USD,SampleGen
79df21e3-c561-4722-aa53-1af5d7b1a6e7,Camping,F100015,CID-001,CA-0001,2024-04-25,Shipped,89.99,7.87,97.86,VISA,USD,SampleGen
840a361c-4864-49f8-823d-9f88966c7635,Camping,F100016,CID-001,CA-0001,2024-05-12,Completed,989.97,86.62,1076.59,MC,USD,SampleGen
f638f82b-a586-44ec-870d-93f21e5a3435,Camping,F100017,CID-001,CA-0001,2024-06-11,Completed,754.94,66.06,821.0,PayPal,USD,SampleGen
cd168e4d-711b-495b-9c34-3e95ec5d7a3c,Camping,F100018,CID-001,CA-0001,2024-07-24,Completed,659.98,57.75,717.73,PayPal,USD,SampleGen
eae32977-9719-4599-9c07-85c2cb456cfe,Camping,F100019,CID-001,CA-0001,2024-08-29,Completed,1449.9,126.87,1576.77,VISA,USD,SampleGen
0bd8b4bd-2c5e-4c42-b701-2c859a7ff753,Camping,F100020,CID-001,CA-0001,2024-09-02,Pending,809.94,70.87,880.81,VISA,USD,SampleGen
e0394796-8bd3-47b6-971c-46e132359bed,Camping,F100021,CID-001,CA-0001,2024-10-19,Completed,449.99,39.37,489.36,MC,USD,SampleGen
c560051c-7d72-417c-ab84-e2d772da59e4,Camping,F100022,CID-001,CA-0001,2024-11-10,Completed,129.99,11.37,141.36,PayPal,USD,SampleGen
