InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-140404fb-e634-48df-9237-e6ed25915ae4,ID200000,CID-001,140404fb-e634-48df-9237-e6ed25915ae4,2021-06-15,2021-07-15,2243.9,134.64,2378.54,Issued,SampleGen
INV-f69c2979-339d-49cf-809a-58203867430c,ID200001,CID-001,f69c2979-339d-49cf-809a-58203867430c,2022-02-22,2022-03-24,1751.84,105.12,1856.96,Issued,SampleGen
INV-8dd76b05-7c61-43c5-95af-deeb8b72200e,ID200002,CID-001,8dd76b05-7c61-43c5-95af-deeb8b72200e,2022-03-26,2022-04-25,423.84,25.44,449.28,Issued,SampleGen
INV-866c5191-7bcc-43a9-a402-5a7780c0e8ae,ID200003,CID-001,866c5191-7bcc-43a9-a402-5a7780c0e8ae,2022-07-14,2022-08-13,1151.76,69.12,1220.88,Issued,SampleGen
INV-15841376-b1c2-46e7-877f-36a64489da12,ID200004,CID-001,15841376-b1c2-46e7-877f-36a64489da12,2022-08-19,2022-09-18,765.78,45.96,811.74,Issued,SampleGen
INV-408a91d1-4344-4fbe-8639-179d174f9420,ID200005,CID-001,408a91d1-4344-4fbe-8639-179d174f9420,2023-02-26,2023-03-28,4239.8,254.4,4494.2,Issued,SampleGen
INV-9ce910a2-fa54-4d1d-8e3d-e8d2dc1c4741,ID200006,CID-001,9ce910a2-fa54-4d1d-8e3d-e8d2dc1c4741,2023-04-29,2023-05-29,2243.9,134.64,2378.54,Issued,SampleGen
INV-07395466-e8ca-4445-862b-32708f443750,ID200007,CID-001,07395466-e8ca-4445-862b-32708f443750,2023-05-23,2023-06-22,5063.76,303.84,5367.6,Issued,SampleGen
INV-815629ab-a8aa-4bb3-8f75-b6c766181efd,ID200008,CID-001,815629ab-a8aa-4bb3-8f75-b6c766181efd,2023-07-15,2023-08-14,2247.88,134.88,2382.76,Issued,SampleGen
INV-b115369c-97ec-40d5-8814-f7ed2b6fbef3,ID200009,CID-001,b115369c-97ec-40d5-8814-f7ed2b6fbef3,2023-09-29,2023-10-29,1297.76,77.88,1375.64,Issued,SampleGen
INV-e9567b9b-2617-4bfa-81de-9f3f43ee9f06,ID200010,CID-001,e9567b9b-2617-4bfa-81de-9f3f43ee9f06,2023-10-28,2023-11-27,823.84,49.44,873.28,Issued,SampleGen
INV-ffdcb5de-73c5-4417-be8a-f05d7c3a6f83,ID200011,CID-001,ffdcb5de-73c5-4417-be8a-f05d7c3a6f83,2023-12-16,2024-01-15,6195.78,371.76,6567.54,Issued,SampleGen
INV-e2036730-73df-4e73-b7be-6dbbc17872e5,ID200012,CID-001,e2036730-73df-4e73-b7be-6dbbc17872e5,2024-02-22,2024-03-23,1887.92,113.28,2001.2,Issued,SampleGen
INV-3950a70b-15a8-4943-b28a-06c6c800dd9b,ID200013,CID-001,3950a70b-15a8-4943-b28a-06c6c800dd9b,2024-03-07,2024-04-06,753.86,45.24,799.1,Issued,SampleGen
INV-954b23ce-8298-4f30-81e2-b8b5e8601e3a,ID200014,CID-001,954b23ce-8298-4f30-81e2-b8b5e8601e3a,2024-04-04,2024-05-04,3199.8,192.0,3391.8,Issued,SampleGen
INV-10116ef4-a39c-446c-b433-3c69d12e4230,ID200015,CID-001,10116ef4-a39c-446c-b433-3c69d12e4230,2024-07-15,2024-08-14,1083.8,65.04,1148.84,Issued,SampleGen
INV-f6cd3a1e-8682-4b18-bc4b-d2c1f234b574,ID200016,CID-001,f6cd3a1e-8682-4b18-bc4b-d2c1f234b574,2024-09-15,2024-10-15,565.78,33.96,599.74,Issued,SampleGen
INV-9885c696-d384-4dce-9680-0d37d1024606,ID200017,CID-001,9885c696-d384-4dce-9680-0d37d1024606,2025-01-01,2025-01-31,717.86,43.08,760.94,Issued,SampleGen
INV-11a01384-0700-4a8d-8818-4f65ef9cc370,ID200018,CID-001,11a01384-0700-4a8d-8818-4f65ef9cc370,2025-03-02,2025-04-01,4795.78,287.76,5083.54,Issued,SampleGen
INV-c99ba02a-b37a-41ab-b81c-334788eb43ba,ID200019,CID-001,c99ba02a-b37a-41ab-b81c-334788eb43ba,2025-04-22,2025-05-22,1939.76,116.4,2056.16,Issued,SampleGen
INV-cf98e54c-bdd2-4e00-902f-2e60e46164da,ID200020,CID-001,cf98e54c-bdd2-4e00-902f-2e60e46164da,2025-05-15,2025-06-14,2319.78,139.2,2458.98,Issued,SampleGen
INV-7398da6e-99b8-42b5-a3c7-7f64267d5143,ID200021,CID-001,7398da6e-99b8-42b5-a3c7-7f64267d5143,2025-09-23,2025-10-23,3723.74,223.44,3947.18,Issued,SampleGen
INV-98f4b334-d991-4192-a7f0-d3c7403bf83a,ID200022,CID-001,98f4b334-d991-4192-a7f0-d3c7403bf83a,2025-10-27,2025-11-26,1995.76,119.76,2115.52,Issued,SampleGen
INV-89697602-d699-4d1f-aabb-a96835cee759,ID200023,CID-001,89697602-d699-4d1f-aabb-a96835cee759,2025-12-05,2026-01-04,2775.82,166.56,2942.38,Issued,SampleGen
INV-7edd08d7-da97-4463-b2ae-d67935e5cce8,ID200024,CID-001,7edd08d7-da97-4463-b2ae-d67935e5cce8,2026-01-18,2026-02-17,3407.68,204.48,3612.16,Issued,SampleGen
INV-975577e5-fca1-4bc8-a6e0-e9c15b41e7f6,ID200025,CID-001,975577e5-fca1-4bc8-a6e0-e9c15b41e7f6,2026-02-28,2026-03-30,3775.84,226.56,4002.4,Issued,SampleGen
INV-d6af96a6-9990-4a13-97cc-7f2af31a12c5,ID200026,CID-001,d6af96a6-9990-4a13-97cc-7f2af31a12c5,2026-03-30,2026-04-29,1279.9,76.8,1356.7,Issued,SampleGen
INV-e9b09c85-a965-4e65-9270-63dfd51794bf,ID200027,CID-001,e9b09c85-a965-4e65-9270-63dfd51794bf,2026-04-15,2026-05-15,2419.74,145.2,2564.94,Issued,SampleGen
INV-b365d045-b5ff-41df-924f-580877de5fed,ID200028,CID-002,b365d045-b5ff-41df-924f-580877de5fed,2026-01-02,2026-02-01,3581.86,214.92,3796.78,Issued,SampleGen
INV-5be9870a-38b5-4965-85df-72bf7be1177e,ID200029,CID-003,5be9870a-38b5-4965-85df-72bf7be1177e,2021-11-21,2021-12-21,3177.8,190.68,3368.48,Issued,SampleGen
INV-7901cab2-0025-420e-bc25-be47fa1652e8,ID200030,CID-003,7901cab2-0025-420e-bc25-be47fa1652e8,2022-08-07,2022-09-06,4491.78,269.52,4761.3,Issued,SampleGen
INV-de4aad05-6e95-49ee-9e81-72bf24a95dcd,ID200031,CID-003,de4aad05-6e95-49ee-9e81-72bf24a95dcd,2022-12-16,2023-01-15,4603.7,276.24,4879.94,Issued,SampleGen
INV-9335d209-8591-48eb-85c2-cf67c1c3c6a7,ID200032,CID-003,9335d209-8591-48eb-85c2-cf67c1c3c6a7,2023-10-19,2023-11-18,1215.74,72.96,1288.7,Issued,SampleGen
INV-8f778a68-c75a-4149-b02c-d64fa75d5780,ID200033,CID-003,8f778a68-c75a-4149-b02c-d64fa75d5780,2023-11-08,2023-12-08,1323.78,79.44,1403.22,Issued,SampleGen
INV-42733782-c7e0-4ca8-be10-81aed82d46ec,ID200034,CID-003,42733782-c7e0-4ca8-be10-81aed82d46ec,2023-12-21,2024-01-20,3355.84,201.36,3557.2,Issued,SampleGen
INV-8f6471e9-8416-4df2-95fb-44a98a08f2d0,ID200035,CID-003,8f6471e9-8416-4df2-95fb-44a98a08f2d0,2024-04-03,2024-05-03,1955.74,117.36,2073.1,Issued,SampleGen
INV-1aac8e39-e83c-41f9-9ada-576a3cc69eba,ID200036,CID-003,1aac8e39-e83c-41f9-9ada-576a3cc69eba,2024-05-17,2024-06-16,2269.82,136.2,2406.02,Issued,SampleGen
INV-362b6879-2ccd-4501-9af0-c3fed4ae394d,ID200037,CID-003,362b6879-2ccd-4501-9af0-c3fed4ae394d,2024-09-17,2024-10-17,1399.8,84.0,1483.8,Issued,SampleGen
INV-74dbe68d-4870-4b17-ad0e-49e40ca8e19f,ID200038,CID-003,74dbe68d-4870-4b17-ad0e-49e40ca8e19f,2024-10-25,2024-11-24,1493.7,89.64,1583.34,Issued,SampleGen
