PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-159f3b01-5537-4595-9837-123a5817c3fa,INV-159f3b01-5537-4595-9837-123a5817c3fa,CID-001,2024-12-07,706.86,AmEx,Completed,SampleGen
PAY-9f470d73-1a98-41c7-977d-56bdc23e9462,INV-9f470d73-1a98-41c7-977d-56bdc23e9462,CID-001,2024-12-10,1631.21,VISA,Completed,SampleGen
PAY-ee7f74cc-8fe2-44f4-b826-42a8ec4f8d1e,INV-ee7f74cc-8fe2-44f4-b826-42a8ec4f8d1e,CID-001,2023-10-26,1413.73,VISA,Completed,SampleGen
PAY-33730f56-58f2-4e3c-9eb2-d9374716e783,INV-33730f56-58f2-4e3c-9eb2-d9374716e783,CID-001,2022-06-16,706.86,AmEx,Completed,SampleGen
PAY-052a57a7-b9bf-4f51-8c1e-d9250510dd52,INV-052a57a7-b9bf-4f51-8c1e-d9250510dd52,CID-001,2023-05-28,2033.57,AmEx,Completed,SampleGen
PAY-3066d3fd-83e5-4e45-a18b-ad21ddfade5b,INV-3066d3fd-83e5-4e45-a18b-ad21ddfade5b,CID-001,2024-06-15,619.84,AmEx,Completed,SampleGen
PAY-2063fbd2-53c1-4590-883f-b5031ca8d3fe,INV-2063fbd2-53c1-4590-883f-b5031ca8d3fe,CID-001,2025-07-25,1152.7,PayPal,Completed,SampleGen
PAY-a99cba18-de9b-4c66-983e-cafca4c6f24f,INV-a99cba18-de9b-4c66-983e-cafca4c6f24f,CID-002,2023-06-02,1707.33,AmEx,Completed,SampleGen
PAY-c6241194-3d10-48d0-91ac-edd8c7837e21,INV-c6241194-3d10-48d0-91ac-edd8c7837e21,CID-002,2021-03-23,4088.96,VISA,Completed,SampleGen
PAY-cf38b2c4-e838-4247-b316-b4644619d08c,INV-cf38b2c4-e838-4247-b316-b4644619d08c,CID-003,2022-04-27,761.23,PayPal,Completed,SampleGen
PAY-8134167c-0cba-4b70-a678-f5d00337a4b2,INV-8134167c-0cba-4b70-a678-f5d00337a4b2,CID-003,2025-11-23,2370.7,AmEx,Completed,SampleGen
PAY-f116a06f-9a81-4f29-9d62-370e928edcff,INV-f116a06f-9a81-4f29-9d62-370e928edcff,CID-003,2024-09-16,1435.43,MC,Completed,SampleGen
PAY-acb08ec2-0e27-4251-8a0f-db7b8322f304,INV-acb08ec2-0e27-4251-8a0f-db7b8322f304,CID-004,2021-05-19,2827.48,MC,Completed,SampleGen
PAY-d349919f-7e38-4a3c-8671-9aa1e30b0e8d,INV-d349919f-7e38-4a3c-8671-9aa1e30b0e8d,CID-004,2021-12-04,5491.8,AmEx,Completed,SampleGen
PAY-621734ba-4acb-415e-b740-c6d9b4558e19,INV-621734ba-4acb-415e-b740-c6d9b4558e19,CID-005,2024-05-28,630.71,PayPal,Completed,SampleGen
PAY-a19cedf0-5e16-4a55-a2d6-71074a763ece,INV-a19cedf0-5e16-4a55-a2d6-71074a763ece,CID-005,2021-05-21,2098.82,MC,Completed,SampleGen
PAY-288b2cb4-cc40-4f67-9714-93c914cb82b2,INV-288b2cb4-cc40-4f67-9714-93c914cb82b2,CID-006,2022-02-06,3838.83,AmEx,Completed,SampleGen
PAY-69e60509-f4fc-4cfc-abf7-83754df0acf5,INV-69e60509-f4fc-4cfc-abf7-83754df0acf5,CID-006,2026-04-05,913.47,MC,Completed,SampleGen
PAY-65343af2-3f2b-4c9a-b9ad-c62bb5dd6efd,INV-65343af2-3f2b-4c9a-b9ad-c62bb5dd6efd,CID-006,2025-07-01,260.97,MC,Completed,SampleGen
PAY-ce2dc35a-8c7e-4282-a37d-6f3187ff10fb,INV-ce2dc35a-8c7e-4282-a37d-6f3187ff10fb,CID-006,2022-08-08,652.48,VISA,Completed,SampleGen
PAY-9c0a726f-072a-4aa1-923e-1f73e5397aa7,INV-9c0a726f-072a-4aa1-923e-1f73e5397aa7,CID-006,2021-12-29,1359.34,PayPal,Completed,SampleGen
PAY-5045189e-5f0e-41de-93f3-88052d2f1830,INV-5045189e-5f0e-41de-93f3-88052d2f1830,CID-007,2025-06-17,413.23,AmEx,Completed,SampleGen
PAY-afeb9851-8f8d-4255-9cc7-da78f454cd44,INV-afeb9851-8f8d-4255-9cc7-da78f454cd44,CID-008,2022-06-02,1130.94,VISA,Completed,SampleGen
PAY-845cfd24-e913-417f-af21-52fca7557b85,INV-845cfd24-e913-417f-af21-52fca7557b85,CID-008,2021-02-05,1870.44,PayPal,Completed,SampleGen
PAY-44d5719b-2027-4680-8599-9ee570b95d85,INV-44d5719b-2027-4680-8599-9ee570b95d85,CID-008,2025-11-11,1087.46,MC,Completed,SampleGen
PAY-4f25a404-16a5-45fe-8ce1-505b5621ebbf,INV-4f25a404-16a5-45fe-8ce1-505b5621ebbf,CID-008,2022-06-16,1750.82,AmEx,Completed,SampleGen
PAY-cb91d702-29a6-47fc-bb7f-aaa4b687e907,INV-cb91d702-29a6-47fc-bb7f-aaa4b687e907,CID-009,2021-02-21,4893.7,VISA,Completed,SampleGen
PAY-8bfb1c52-c111-46b4-b364-0f8132ec13b6,INV-8bfb1c52-c111-46b4-b364-0f8132ec13b6,CID-010,2022-05-13,2066.19,VISA,Completed,SampleGen
PAY-c86fea9b-64c0-4eac-847a-ee7e763f5016,INV-c86fea9b-64c0-4eac-847a-ee7e763f5016,CID-010,2022-03-24,434.98,PayPal,Completed,SampleGen
PAY-58e5741b-0a09-4a97-a14a-33318502044e,INV-58e5741b-0a09-4a97-a14a-33318502044e,CID-010,2023-03-25,1109.2,PayPal,Completed,SampleGen
PAY-884c2741-390b-4cab-b4fe-3b676763bc51,INV-884c2741-390b-4cab-b4fe-3b676763bc51,CID-010,2025-07-19,130.49,VISA,Completed,SampleGen
PAY-fc588542-da32-482c-b453-e8299320169c,INV-fc588542-da32-482c-b453-e8299320169c,CID-010,2023-11-05,1391.96,Discover,Completed,SampleGen
PAY-c0bfa4ef-e2a5-4e12-9178-474c29daf07d,INV-c0bfa4ef-e2a5-4e12-9178-474c29daf07d,CID-010,2022-06-01,1718.19,Discover,Completed,SampleGen
PAY-4ea55d17-d1a2-43dc-b3cb-883a7b4d7523,INV-4ea55d17-d1a2-43dc-b3cb-883a7b4d7523,CID-010,2025-06-27,1413.69,VISA,Completed,SampleGen
PAY-08fc4129-14a3-431b-b3e2-0a704c9c49f5,INV-08fc4129-14a3-431b-b3e2-0a704c9c49f5,CID-011,2024-06-12,2327.19,Discover,Completed,SampleGen
PAY-0bcbeeaf-0b1f-4b60-84b3-ec282bd87a38,INV-0bcbeeaf-0b1f-4b60-84b3-ec282bd87a38,CID-011,2025-07-12,1718.18,PayPal,Completed,SampleGen
