ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,2026-05-01,Monthly,83,71.3,1.0,Growing,77,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-23 00:00:00
2,1521,Adventurer Pro Backpack,Camping,2026-05-01,Weekly,19,75.76,1.0,Growing,77,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-29 00:00:00
3,1521,Adventurer Pro Backpack,Camping,2026-05-08,Weekly,19,69.8,1.0,Growing,77,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05 00:00:00
4,1521,Adventurer Pro Backpack,Camping,2026-05-15,Weekly,19,67.06,1.0,Growing,77,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-02 00:00:00
5,1521,Adventurer Pro Backpack,Camping,2026-05-22,Weekly,19,70.32,1.0,Growing,77,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03 00:00:00
6,1521,Adventurer Pro Backpack,Camping,2026-06-01,Monthly,89,71.3,1.0,Growing,77,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-22 00:00:00
7,1521,Adventurer Pro Backpack,Camping,2026-07-01,Monthly,96,71.3,1.0,Growing,77,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-21 00:00:00
8,1531,Summit Breeze Jacket,Camping,2026-05-01,Monthly,105,73.39,1.0,Growing,98,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-11 00:00:00
9,1531,Summit Breeze Jacket,Camping,2026-05-01,Weekly,24,70.64,1.0,Growing,98,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-13 00:00:00
10,1531,Summit Breeze Jacket,Camping,2026-05-08,Weekly,24,71.58,1.0,Growing,98,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-13 00:00:00
11,1531,Summit Breeze Jacket,Camping,2026-05-15,Weekly,24,70.21,1.0,Growing,98,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03 00:00:00
12,1531,Summit Breeze Jacket,Camping,2026-05-22,Weekly,24,77.03,1.0,Growing,98,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-16 00:00:00
13,1531,Summit Breeze Jacket,Camping,2026-06-01,Monthly,114,73.39,1.0,Growing,98,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-02 00:00:00
14,1531,Summit Breeze Jacket,Camping,2026-07-01,Monthly,123,73.39,1.0,Growing,98,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-10 00:00:00
15,1541,TrekReady Hiking Boots,Camping,2026-05-01,Monthly,128,70.07,1.0,Growing,119,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-20 00:00:00
16,1541,TrekReady Hiking Boots,Camping,2026-05-01,Weekly,29,68.19,1.0,Growing,119,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-13 00:00:00
17,1541,TrekReady Hiking Boots,Camping,2026-05-08,Weekly,29,68.48,1.0,Growing,119,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21 00:00:00
18,1541,TrekReady Hiking Boots,Camping,2026-05-15,Weekly,29,65.21,1.0,Growing,119,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-07 00:00:00
19,1541,TrekReady Hiking Boots,Camping,2026-05-22,Weekly,29,69.88,1.0,Growing,119,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-22 00:00:00
20,1541,TrekReady Hiking Boots,Camping,2026-06-01,Monthly,138,70.07,1.0,Growing,119,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-03-31 00:00:00
21,1541,TrekReady Hiking Boots,Camping,2026-07-01,Monthly,149,70.07,1.0,Growing,119,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-18 00:00:00
22,1551,BaseCamp Folding Table,Camping,2026-05-01,Monthly,100,69.5,1.0,Growing,93,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-09 00:00:00
23,1551,BaseCamp Folding Table,Camping,2026-05-01,Weekly,23,73.94,1.0,Growing,93,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-31 00:00:00
24,1551,BaseCamp Folding Table,Camping,2026-05-08,Weekly,23,70.64,1.0,Growing,93,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-16 00:00:00
25,1551,BaseCamp Folding Table,Camping,2026-05-15,Weekly,23,71.41,1.0,Growing,93,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-02 00:00:00
26,1551,BaseCamp Folding Table,Camping,2026-05-22,Weekly,23,66.31,1.0,Growing,93,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-07 00:00:00
27,1551,BaseCamp Folding Table,Camping,2026-06-01,Monthly,108,69.5,1.0,Growing,93,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-12 00:00:00
28,1551,BaseCamp Folding Table,Camping,2026-07-01,Monthly,117,69.5,1.0,Growing,93,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17 00:00:00
29,1561,EcoFire Camping Stove,Camping,2026-05-01,Monthly,73,61.96,1.0,Growing,68,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-24 00:00:00
30,1561,EcoFire Camping Stove,Camping,2026-05-01,Weekly,16,64.52,1.0,Growing,68,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-24 00:00:00
31,1561,EcoFire Camping Stove,Camping,2026-05-08,Weekly,16,59.29,1.0,Growing,68,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-20 00:00:00
32,1561,EcoFire Camping Stove,Camping,2026-05-15,Weekly,16,57.8,1.0,Growing,68,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-16 00:00:00
33,1561,EcoFire Camping Stove,Camping,2026-05-22,Weekly,16,63.21,1.0,Growing,68,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-20 00:00:00
34,1561,EcoFire Camping Stove,Camping,2026-06-01,Monthly,79,61.96,1.0,Growing,68,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-13 00:00:00
35,1561,EcoFire Camping Stove,Camping,2026-07-01,Monthly,85,61.96,1.0,Growing,68,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-26 00:00:00
36,1571,CozyNights Sleeping Bag,Camping,2026-05-01,Monthly,109,68.84,1.0,Growing,101,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-22 00:00:00
37,1571,CozyNights Sleeping Bag,Camping,2026-05-01,Weekly,25,65.82,1.0,Growing,101,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03 00:00:00
38,1571,CozyNights Sleeping Bag,Camping,2026-05-08,Weekly,25,71.22,1.0,Growing,101,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-02 00:00:00
39,1571,CozyNights Sleeping Bag,Camping,2026-05-15,Weekly,25,66.71,1.0,Growing,101,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-31 00:00:00
