InvoiceID,InvoiceNumber,CustomerID,OrderID,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-139d7f23-e404-4eaf-bb31-8f02abe0954c,ID200000,CID-001,139d7f23-e404-4eaf-bb31-8f02abe0954c,2025-01-19,2025-02-18,1139.82,68.4,1208.22,Issued,SampleGen
INV-39741483-3f4a-4567-8a69-1ea5c591e0d6,ID200001,CID-001,39741483-3f4a-4567-8a69-1ea5c591e0d6,2025-02-23,2025-03-25,1483.84,89.04,1572.88,Issued,SampleGen
INV-1d64e18a-c4f2-4081-8b84-16c8440751c4,ID200002,CID-001,1d64e18a-c4f2-4081-8b84-16c8440751c4,2025-04-01,2025-05-01,671.86,40.32,712.18,Issued,SampleGen
INV-311e19dd-0fb6-452a-a621-35c1dc50907d,ID200003,CID-001,311e19dd-0fb6-452a-a621-35c1dc50907d,2025-04-13,2025-05-13,1153.74,69.24,1222.98,Issued,SampleGen
INV-605c4b3d-f735-4580-ad77-01fcbb5f0ab7,ID200004,CID-001,605c4b3d-f735-4580-ad77-01fcbb5f0ab7,2025-04-22,2025-05-22,2539.76,152.4,2692.16,Issued,SampleGen
INV-f9e7e1b5-156e-4b45-a5c5-8c2b4cc38d07,ID200005,CID-001,f9e7e1b5-156e-4b45-a5c5-8c2b4cc38d07,2025-05-19,2025-06-18,1879.8,112.8,1992.6,Issued,SampleGen
INV-2d7d0675-27ec-4fd7-81a1-14170d0725a8,ID200006,CID-001,2d7d0675-27ec-4fd7-81a1-14170d0725a8,2025-06-29,2025-07-29,535.88,32.16,568.04,Issued,SampleGen
INV-75707b40-f9ff-4b87-853d-a5d5befcf89f,ID200007,CID-001,75707b40-f9ff-4b87-853d-a5d5befcf89f,2025-07-27,2025-08-26,1887.84,113.28,2001.12,Issued,SampleGen
INV-7149894c-a312-4929-b40c-15eefc7188f6,ID200008,CID-001,7149894c-a312-4929-b40c-15eefc7188f6,2025-08-31,2025-09-30,1653.76,99.24,1753.0,Issued,SampleGen
INV-fe10858c-ff7d-459a-b804-ea85bb563423,ID200009,CID-001,fe10858c-ff7d-459a-b804-ea85bb563423,2025-08-08,2025-09-07,521.76,31.32,553.08,Issued,SampleGen
INV-532df211-830b-41bb-9ba3-6eb1b9ea075b,ID200010,CID-001,532df211-830b-41bb-9ba3-6eb1b9ea075b,2025-09-06,2025-10-06,621.86,37.32,659.18,Issued,SampleGen
INV-41350e0c-543f-425e-b720-b2e2f5d17480,ID200011,CID-001,41350e0c-543f-425e-b720-b2e2f5d17480,2025-10-19,2025-11-18,1951.88,117.12,2069.0,Issued,SampleGen
INV-a3d1c26b-82b2-483a-88dd-9d084f9bba46,ID200012,CID-001,a3d1c26b-82b2-483a-88dd-9d084f9bba46,2025-10-08,2025-11-07,323.92,19.44,343.36,Issued,SampleGen
INV-f517a4f7-15e8-44e3-bd53-691ca170fe6f,ID200013,CID-001,f517a4f7-15e8-44e3-bd53-691ca170fe6f,2025-11-03,2025-12-03,2935.78,176.16,3111.94,Issued,SampleGen
INV-dae29311-0a01-4a30-8156-02539876152e,ID200014,CID-001,dae29311-0a01-4a30-8156-02539876152e,2025-11-09,2025-12-09,2623.8,157.44,2781.24,Issued,SampleGen
