ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,2026-05-01,Monthly,122,77.52,1.0,Growing,113,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-25
2,1521,Adventurer Pro Backpack,Camping,2026-05-01,Weekly,28,82.03,1.0,Growing,113,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-25
3,1521,Adventurer Pro Backpack,Camping,2026-05-08,Weekly,28,80.92,1.0,Growing,113,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-24
4,1521,Adventurer Pro Backpack,Camping,2026-05-15,Weekly,28,82.13,1.0,Growing,113,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-12
5,1521,Adventurer Pro Backpack,Camping,2026-05-22,Weekly,28,78.56,1.0,Growing,113,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-14
6,1521,Adventurer Pro Backpack,Camping,2026-06-01,Monthly,131,77.52,1.0,Growing,113,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-05
7,1521,Adventurer Pro Backpack,Camping,2026-07-01,Monthly,142,77.52,1.0,Growing,113,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-21
8,1531,Summit Breeze Jacket,Camping,2026-05-01,Monthly,103,67.18,1.0,Growing,96,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-29
9,1531,Summit Breeze Jacket,Camping,2026-05-01,Weekly,23,69.14,1.0,Growing,96,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-02
10,1531,Summit Breeze Jacket,Camping,2026-05-08,Weekly,23,65.3,1.0,Growing,96,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-19
11,1531,Summit Breeze Jacket,Camping,2026-05-15,Weekly,23,70.65,1.0,Growing,96,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03
12,1531,Summit Breeze Jacket,Camping,2026-05-22,Weekly,23,69.36,1.0,Growing,96,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-15
13,1531,Summit Breeze Jacket,Camping,2026-06-01,Monthly,111,67.18,1.0,Growing,96,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-09
14,1531,Summit Breeze Jacket,Camping,2026-07-01,Monthly,120,67.18,1.0,Growing,96,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-09
