OrderID,OrderLineNumber,ProductID,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
139d7f23-e404-4eaf-bb31-8f02abe0954c,1,2022,Fork Set,3,91.98,275.94,0.0,16.56
139d7f23-e404-4eaf-bb31-8f02abe0954c,2,2011,Coffee Maker,2,379.98,759.96,0.0,45.6
139d7f23-e404-4eaf-bb31-8f02abe0954c,3,2091,Spatula,4,25.98,103.92,0.0,6.24
39741483-3f4a-4567-8a69-1ea5c591e0d6,1,2121,Bamboo Cutting Board Set,3,91.98,275.94,0.0,16.56
39741483-3f4a-4567-8a69-1ea5c591e0d6,2,2111,High-Speed Blender,2,399.98,799.96,0.0,48.0
39741483-3f4a-4567-8a69-1ea5c591e0d6,3,2041,Serving Platter,3,135.98,407.94,0.0,24.48
1d64e18a-c4f2-4081-8b84-16c8440751c4,1,2031,Coffee Mug,4,65.98,263.92,0.0,15.84
1d64e18a-c4f2-4081-8b84-16c8440751c4,2,2041,Serving Platter,3,135.98,407.94,0.0,24.48
311e19dd-0fb6-452a-a621-35c1dc50907d,1,2091,Spatula,2,25.98,51.96,0.0,3.12
311e19dd-0fb6-452a-a621-35c1dc50907d,2,2051,Ice Cream Bowl,3,49.98,149.94,0.0,9.0
311e19dd-0fb6-452a-a621-35c1dc50907d,3,2071,Baking Pan,4,57.98,231.92,0.0,13.92
311e19dd-0fb6-452a-a621-35c1dc50907d,4,2112,4-Slice Toaster,4,179.98,719.92,0.0,43.2
605c4b3d-f735-4580-ad77-01fcbb5f0ab7,1,2041,Serving Platter,4,135.98,543.92,0.0,32.64
605c4b3d-f735-4580-ad77-01fcbb5f0ab7,2,2071,Baking Pan,2,57.98,115.96,0.0,6.96
605c4b3d-f735-4580-ad77-01fcbb5f0ab7,3,2011,Coffee Maker,4,379.98,1519.92,0.0,91.2
605c4b3d-f735-4580-ad77-01fcbb5f0ab7,4,2021,Chef Knife,2,179.98,359.96,0.0,21.6
f9e7e1b5-156e-4b45-a5c5-8c2b4cc38d07,1,2021,Chef Knife,3,179.98,539.94,0.0,32.4
f9e7e1b5-156e-4b45-a5c5-8c2b4cc38d07,2,2051,Ice Cream Bowl,4,49.98,199.92,0.0,12.0
f9e7e1b5-156e-4b45-a5c5-8c2b4cc38d07,3,2011,Coffee Maker,3,379.98,1139.94,0.0,68.4
2d7d0675-27ec-4fd7-81a1-14170d0725a8,1,2031,Coffee Mug,2,65.98,131.96,0.0,7.92
2d7d0675-27ec-4fd7-81a1-14170d0725a8,2,2041,Serving Platter,2,135.98,271.96,0.0,16.32
2d7d0675-27ec-4fd7-81a1-14170d0725a8,3,2031,Coffee Mug,2,65.98,131.96,0.0,7.92
75707b40-f9ff-4b87-853d-a5d5befcf89f,1,2121,Bamboo Cutting Board Set,4,91.98,367.92,0.0,22.08
75707b40-f9ff-4b87-853d-a5d5befcf89f,2,2011,Coffee Maker,4,379.98,1519.92,0.0,91.2
7149894c-a312-4929-b40c-15eefc7188f6,1,2051,Ice Cream Bowl,2,49.98,99.96,0.0,6.0
7149894c-a312-4929-b40c-15eefc7188f6,2,2051,Ice Cream Bowl,3,49.98,149.94,0.0,9.0
7149894c-a312-4929-b40c-15eefc7188f6,3,2011,Coffee Maker,3,379.98,1139.94,0.0,68.4
7149894c-a312-4929-b40c-15eefc7188f6,4,2031,Coffee Mug,4,65.98,263.92,0.0,15.84
fe10858c-ff7d-459a-b804-ea85bb563423,1,2101,Measuring Cup Set,3,39.98,119.94,0.0,7.2
fe10858c-ff7d-459a-b804-ea85bb563423,2,2091,Spatula,2,25.98,51.96,0.0,3.12
fe10858c-ff7d-459a-b804-ea85bb563423,3,2051,Ice Cream Bowl,3,49.98,149.94,0.0,9.0
fe10858c-ff7d-459a-b804-ea85bb563423,4,2051,Ice Cream Bowl,4,49.98,199.92,0.0,12.0
532df211-830b-41bb-9ba3-6eb1b9ea075b,1,2041,Serving Platter,4,135.98,543.92,0.0,32.64
532df211-830b-41bb-9ba3-6eb1b9ea075b,2,2091,Spatula,3,25.98,77.94,0.0,4.68
41350e0c-543f-425e-b720-b2e2f5d17480,1,2012,Espresso Machine,2,851.98,1703.96,0.0,102.24
41350e0c-543f-425e-b720-b2e2f5d17480,2,2071,Baking Pan,2,57.98,115.96,0.0,6.96
41350e0c-543f-425e-b720-b2e2f5d17480,3,2031,Coffee Mug,2,65.98,131.96,0.0,7.92
a3d1c26b-82b2-483a-88dd-9d084f9bba46,1,2091,Spatula,2,25.98,51.96,0.0,3.12
a3d1c26b-82b2-483a-88dd-9d084f9bba46,2,2041,Serving Platter,2,135.98,271.96,0.0,16.32
f517a4f7-15e8-44e3-bd53-691ca170fe6f,1,2012,Espresso Machine,2,851.98,1703.96,0.0,102.24
f517a4f7-15e8-44e3-bd53-691ca170fe6f,2,2041,Serving Platter,2,135.98,271.96,0.0,16.32
f517a4f7-15e8-44e3-bd53-691ca170fe6f,3,2021,Chef Knife,4,179.98,719.92,0.0,43.2
f517a4f7-15e8-44e3-bd53-691ca170fe6f,4,2061,Mixing Bowl,3,79.98,239.94,0.0,14.4
dae29311-0a01-4a30-8156-02539876152e,1,2011,Coffee Maker,3,379.98,1139.94,0.0,68.4
dae29311-0a01-4a30-8156-02539876152e,2,2011,Coffee Maker,3,379.98,1139.94,0.0,68.4
dae29311-0a01-4a30-8156-02539876152e,3,2061,Mixing Bowl,2,79.98,159.96,0.0,9.6
dae29311-0a01-4a30-8156-02539876152e,4,2121,Bamboo Cutting Board Set,2,91.98,183.96,0.0,11.04
5b4c9db4-eafa-4b9a-9e80-d32958046c88,1,2012,Espresso Machine,2,851.98,1703.96,0.0,102.24
5b4c9db4-eafa-4b9a-9e80-d32958046c88,2,2011,Coffee Maker,3,379.98,1139.94,0.0,68.4
5b4c9db4-eafa-4b9a-9e80-d32958046c88,3,2031,Coffee Mug,4,65.98,263.92,0.0,15.84
5b4c9db4-eafa-4b9a-9e80-d32958046c88,4,2041,Serving Platter,3,135.98,407.94,0.0,24.48
4e255dab-b718-416c-9d0e-019426fec57a,1,2012,Espresso Machine,2,851.98,1703.96,0.0,102.24
4e255dab-b718-416c-9d0e-019426fec57a,2,2022,Fork Set,3,91.98,275.94,0.0,16.56
15bedfa5-27f4-4c71-ba69-bcb1b39aac0b,1,2051,Ice Cream Bowl,2,49.98,99.96,0.0,6.0
15bedfa5-27f4-4c71-ba69-bcb1b39aac0b,2,2012,Espresso Machine,4,851.98,3407.92,0.0,204.48
71e1108d-bd45-436c-8569-a28923b88650,1,2101,Measuring Cup Set,2,39.98,79.96,0.0,4.8
71e1108d-bd45-436c-8569-a28923b88650,2,2051,Ice Cream Bowl,3,49.98,149.94,0.0,9.0
71e1108d-bd45-436c-8569-a28923b88650,3,2022,Fork Set,4,91.98,367.92,0.0,22.08
31596447-002b-4b15-8606-55fadae89468,1,2031,Coffee Mug,4,65.98,263.92,0.0,15.84
31596447-002b-4b15-8606-55fadae89468,2,2071,Baking Pan,4,57.98,231.92,0.0,13.92
31596447-002b-4b15-8606-55fadae89468,3,2012,Espresso Machine,3,851.98,2555.94,0.0,153.36
31596447-002b-4b15-8606-55fadae89468,4,2012,Espresso Machine,2,851.98,1703.96,0.0,102.24
e1266254-5db2-40bc-9999-a4e5de816862,1,2012,Espresso Machine,4,851.98,3407.92,0.0,204.48
e1266254-5db2-40bc-9999-a4e5de816862,2,2081,Food Storage Set,4,69.98,279.92,0.0,16.8
83eff989-68a7-469f-ae27-e263164dfdf4,1,2011,Coffee Maker,4,379.98,1519.92,0.0,91.2
83eff989-68a7-469f-ae27-e263164dfdf4,2,2041,Serving Platter,4,135.98,543.92,0.0,32.64
83eff989-68a7-469f-ae27-e263164dfdf4,3,2021,Chef Knife,4,179.98,719.92,0.0,43.2
c542176d-fdfc-46eb-992b-227ba8a44608,1,2022,Fork Set,3,91.98,275.94,0.0,16.56
c542176d-fdfc-46eb-992b-227ba8a44608,2,2111,High-Speed Blender,2,399.98,799.96,0.0,48.0
c0aa611e-554b-4dd3-98f6-c3bb5829a71e,1,2041,Serving Platter,3,135.98,407.94,0.0,24.48
c0aa611e-554b-4dd3-98f6-c3bb5829a71e,2,2012,Espresso Machine,3,851.98,2555.94,0.0,153.36
31a4dfab-14cd-4542-b18b-700d50df4762,1,2081,Food Storage Set,2,69.98,139.96,0.0,8.4
31a4dfab-14cd-4542-b18b-700d50df4762,2,2012,Espresso Machine,4,851.98,3407.92,0.0,204.48
31a4dfab-14cd-4542-b18b-700d50df4762,3,2071,Baking Pan,3,57.98,173.94,0.0,10.44
99e40125-925d-4cf4-a2bb-77202804c6d9,1,2071,Baking Pan,3,57.98,173.94,0.0,10.44
99e40125-925d-4cf4-a2bb-77202804c6d9,2,2012,Espresso Machine,3,851.98,2555.94,0.0,153.36
99e40125-925d-4cf4-a2bb-77202804c6d9,3,2051,Ice Cream Bowl,4,49.98,199.92,0.0,12.0
