PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,5,Fabrikam,2026-02-22,2026-03-06,2026-03-08,Delivered,146690.02,Regional DC,buyer1,Low,Order for Ski products,system,2026-02-22
2,PO-2026-0002,1,Contoso Ltd,2026-01-30,2026-02-08,2026-02-11,Delivered,51771.69,Regional DC,supply_manager,Medium,Order for Camping products,system,2026-01-30
3,PO-2026-0003,3,Alpine Ski House,2026-02-21,2026-03-10,2026-03-12,Delivered,30612.1,Regional DC,buyer1,Medium,Order for Ski products,system,2026-02-21
4,PO-2026-0004,4,Worldwide Importers,2026-02-21,2026-03-18,2026-03-19,Delivered,20018.54,Backup Warehouse,buyer2,Medium,Multi-category order,system,2026-02-21
5,PO-2026-0005,3,Alpine Ski House,2026-02-17,2026-03-04,2026-03-05,Delivered,19652.19,Main Warehouse,buyer1,High,Order for Ski products,system,2026-02-17
6,PO-2026-0006,2,Proseware Inc,2026-03-16,2026-03-29,2026-04-01,Delivered,62046.65,Regional DC,buyer2,High,Order for Kitchen products,system,2026-03-16
7,PO-2026-0007,4,Worldwide Importers,2026-04-25,2026-05-14,,Confirmed,852.53,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-04-25
8,PO-2026-0008,5,Fabrikam,2026-02-12,2026-02-25,2026-02-26,Delivered,104801.28,Regional DC,buyer2,Low,Order for Ski products,system,2026-02-12
9,PO-2026-0009,2,Proseware Inc,2026-03-01,2026-03-11,2026-03-11,Delivered,2432.91,Backup Warehouse,supply_manager,Medium,Order for Kitchen products,system,2026-03-01
10,PO-2026-0010,3,Alpine Ski House,2026-02-17,2026-03-02,2026-03-05,Delivered,74907.86,Regional DC,buyer1,Low,Order for Ski products,system,2026-02-17
11,PO-2026-0011,1,Contoso Ltd,2026-01-30,2026-02-14,2026-02-14,Delivered,16572.82,Main Warehouse,buyer2,Low,Order for Camping products,system,2026-01-30
12,PO-2026-0012,3,Alpine Ski House,2026-04-26,2026-05-08,,Sent,41249.2,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-04-26
13,PO-2026-0013,5,Fabrikam,2026-02-02,2026-02-19,2026-02-21,Delivered,85516.08,Regional DC,buyer2,Low,Order for Ski products,system,2026-02-02
14,PO-2026-0014,2,Proseware Inc,2026-02-20,2026-03-06,2026-03-09,Delivered,2596.7,Main Warehouse,buyer2,Low,Order for Kitchen products,system,2026-02-20
15,PO-2026-0015,3,Alpine Ski House,2026-02-21,2026-03-09,2026-03-11,Delivered,37726.82,Main Warehouse,supply_manager,Medium,Order for Ski products,system,2026-02-21
16,PO-2026-0016,5,Fabrikam,2026-02-15,2026-03-02,2026-03-02,Delivered,13961.16,Backup Warehouse,buyer1,Medium,Order for Ski products,system,2026-02-15
17,PO-2026-0017,4,Worldwide Importers,2026-03-16,2026-04-05,2026-04-08,Delivered,513.54,Backup Warehouse,supply_manager,High,Multi-category order,system,2026-03-16
18,PO-2026-0018,1,Contoso Ltd,2026-03-22,2026-03-30,,InTransit,16699.61,Backup Warehouse,buyer1,Low,Order for Camping products,system,2026-03-22
19,PO-2026-0019,4,Worldwide Importers,2026-04-08,2026-04-30,,Sent,26480.94,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-04-08
