OrderID,SalesChannelID,OrderNumber,CustomerID,CustomerAccountID,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
8532bce8-6c50-41a1-ac9e-5a18797939a4,Camping,F100000,CID-001,CA-0001,2025-01-09,Completed,359.96,31.49,391.45,MC,USD,SampleGen
e7d7c6f2-a764-4b39-ab9a-cfce5e127a06,Camping,F100001,CID-001,CA-0001,2025-02-25,Pending,724.95,63.43,788.38,VISA,USD,SampleGen
1a2db013-83b2-4c0c-8d2c-14148943c849,Camping,F100002,CID-001,CA-0001,2025-03-13,Cancelled,999.92,87.49,1087.41,VISA,USD,SampleGen
8b04d7fb-08f8-4185-8b0c-5a86923c3326,Camping,F100003,CID-001,CA-0001,2025-04-25,Shipped,1449.95,126.87,1576.82,MC,USD,SampleGen
c21fcb23-ec9d-404b-8e6f-ca8aa52a7517,Camping,F100004,CID-001,CA-0001,2025-05-03,Completed,574.94,50.3,625.24,AmEx,USD,SampleGen
a5416044-b595-4160-9b20-ade2eb00ad5d,Camping,F100005,CID-001,CA-0001,2025-06-07,Completed,619.95,54.24,674.19,VISA,USD,SampleGen
6ea938ab-bed0-4fbf-a7ad-77da57a8cc83,Camping,F100006,CID-001,CA-0001,2025-07-10,Completed,344.96,30.18,375.14,PayPal,USD,SampleGen
8390fc3a-8515-4019-a4d9-561791403a2c,Camping,F100007,CID-001,CA-0001,2025-08-26,Completed,219.99,19.25,239.24,MC,USD,SampleGen
e810a764-4736-4242-a47f-c033b28c7ee1,Camping,F100008,CID-001,CA-0001,2025-09-04,Completed,669.96,58.62,728.58,MC,USD,SampleGen
47e5c4d7-c7a3-44f1-8b31-51071e2660e5,Camping,F100009,CID-001,CA-0001,2025-10-28,Pending,629.94,55.12,685.06,MC,USD,SampleGen
eef1e2b0-a9f3-4301-a31b-6e921d699d18,Camping,F100010,CID-001,CA-0001,2025-11-30,Completed,614.94,53.8,668.74,AmEx,USD,SampleGen
d1975195-ca93-4c75-bc58-8a2cd7d2aa96,Camping,F100011,CID-001,CA-0001,2025-12-23,Completed,994.92,87.05,1081.97,MC,USD,SampleGen
fa393132-212a-4a7b-a659-e6b424078cfe,Camping,F100012,CID-001,CA-0001,2026-01-11,Completed,2159.93,189.0,2348.93,MC,USD,SampleGen
075c76af-c463-4c0e-bbee-5cf9c63a16a9,Camping,F100013,CID-001,CA-0001,2026-02-11,Completed,169.99,14.87,184.86,VISA,USD,SampleGen
