InvoiceID,InvoiceNumber,CustomerID,OrderID,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
3d85bc15-cb10-4f28-aef3-f2cf50a3b4a3,IN-F100000,CID-001,a244d816-48b0-41d0-9f25-5eb7ef7e09eb,2025-01-26,2025-01-26,729.95,63.87,793.82,Issued,SampleGen
34158a34-d70c-4c05-8c51-97ef26330ec5,IN-F100001,CID-001,6dcc548d-6bf5-4ddc-9b1b-547d05107c6e,2025-02-16,2025-02-16,694.94,60.8,755.74,Issued,SampleGen
76414a7c-ea4c-4074-82e0-a5ca4aa74b1f,IN-F100002,CID-001,b9a54a4a-5af7-440a-a674-d157751da8bd,2025-03-03,2025-03-03,2019.92,176.73,2196.65,Issued,SampleGen
84030734-ad9e-4ca0-9853-f2900665a6fe,IN-F100003,CID-001,01638d93-39e6-4afe-a725-6722a9bde365,2025-04-09,2025-04-09,984.92,86.19,1071.11,Issued,SampleGen
6acdb6c5-f240-4381-a541-a5e0442789dd,IN-F100004,CID-001,e2a3e2a0-07aa-4aad-86de-ec34157ecede,2025-05-31,2025-05-31,1449.95,126.87,1576.82,Issued,SampleGen
a9629e8c-d162-4956-887e-0a622414484f,IN-F100005,CID-001,759f3ea0-e572-4dc5-a4eb-73f86f0dd118,2025-06-03,2025-06-03,1349.97,118.12,1468.09,Issued,SampleGen
ce8cf48c-8334-4f6f-af7b-de3d34902ee9,IN-F100006,CID-001,b272ec99-c950-4570-a309-a27d8bdef448,2025-07-07,2025-07-07,1569.96,137.37,1707.33,Issued,SampleGen
e045ac89-bd85-4adb-9f07-bef12407883d,IN-F100007,CID-001,985697a7-e7e2-42ef-a163-3c03b5bccab4,2025-08-05,2025-08-05,2094.9,183.3,2278.2,Issued,SampleGen
1cb3bd43-a6e6-4023-95b5-c475880df089,IN-F100008,CID-001,f6216987-b21b-42d3-b8c8-f74991e899a8,2025-09-06,2025-09-06,1579.93,138.25,1718.18,Issued,SampleGen
7fbdb9ab-7d24-4c98-9ae6-390b7af60253,IN-F100009,CID-001,aa8c4b05-d5a2-44c9-9592-1576223d7f63,2025-10-09,2025-10-09,1019.92,89.24,1109.16,Issued,SampleGen
526ecbeb-a61c-4e6e-a384-df268dccbd78,IN-F100010,CID-001,cf9cd400-7f58-45d6-9982-608e8c35c2fe,2025-11-24,2025-11-24,619.98,54.24,674.22,Issued,SampleGen
36e44b21-88db-4722-add8-c1c9303d5d91,IN-F100011,CID-001,a14e9a71-ff3e-417d-95b7-c726911457f0,2025-12-06,2025-12-06,599.93,52.49,652.42,Issued,SampleGen
209d55e1-2303-4c99-84dc-d9dede77349f,IN-F100012,CID-001,f98353d3-8b8f-4e61-bdba-591709c71888,2026-01-05,2026-01-05,1139.96,99.74,1239.7,Issued,SampleGen
c529dd2a-295f-4691-8854-439bcaa6a6f0,IN-F100013,CID-001,bead209b-c8fd-4516-8885-a6563f2c3e8e,2026-02-27,2026-02-27,819.94,71.75,891.69,Issued,SampleGen
e29fd3c0-ae8d-4752-b4fa-319d3db8feed,IN-F100014,CID-001,6f53ccda-873f-4c30-861a-2ac84f07b065,2026-03-20,2026-03-20,1379.92,120.74,1500.66,Issued,SampleGen
461e57f7-5f3e-42f7-8510-241aadfff15b,IN-F100015,CID-001,1745261d-8c24-48a6-9644-56c2a056a29c,2026-04-29,2026-04-29,674.94,59.05,733.99,Issued,SampleGen
413db5bb-f76a-4139-87e6-616847f1b68c,IN-F100016,CID-002,75199598-d2de-42ad-acf0-c4e353530965,2025-01-16,2025-01-16,1729.95,151.37,1881.32,Issued,SampleGen
526e3b24-aa64-4b55-9751-543855181545,IN-F100017,CID-002,d54cb935-b831-4821-9b70-a326ca269d8c,2025-02-02,2025-02-02,1569.9,137.37,1707.27,Issued,SampleGen
f669f7ec-5408-4ae0-a870-2071ae13ac52,IN-F100018,CID-002,03fb533d-4a6d-4d0e-976a-ca89a4f90b45,2025-03-11,2025-03-11,1499.93,131.24,1631.17,Issued,SampleGen
613b411e-2fa1-4b37-868a-3e670a1ba8ed,IN-F100019,CID-002,982d4ea3-d84f-44ba-b8a2-2366af81455a,2025-04-13,2025-04-13,1209.95,105.87,1315.82,Issued,SampleGen
b7876aa9-4c4b-4ae5-be53-3ed39b6c34b2,IN-F100020,CID-002,73e73597-deb9-417f-b293-67f594523611,2025-05-15,2025-05-15,1119.94,97.99,1217.93,Issued,SampleGen
04086411-23f0-40a1-94cd-74de377eb593,IN-F100021,CID-002,532de523-f68c-4fe3-8585-7e2584abb011,2025-06-03,2025-06-03,939.94,82.24,1022.18,Issued,SampleGen
1b6f7c41-b52f-4624-894d-5f63887c8b58,IN-F100022,CID-002,744403f4-ae91-4e23-8896-20c86e3e2b3d,2025-07-14,2025-07-14,1139.93,99.75,1239.68,Issued,SampleGen
388bafc5-41e6-4f95-8940-6acf90b8ce2b,IN-F100023,CID-002,771547d4-7cea-493c-a5df-5128bbd065cb,2025-08-08,2025-08-08,899.94,78.74,978.68,Issued,SampleGen
265848de-bde5-47fd-89e1-f9bfedfc7438,IN-F100024,CID-002,494c5974-8364-4ebf-8ab0-a8bd3df1b736,2025-10-01,2025-10-01,459.96,40.24,500.2,Issued,SampleGen
d6136c10-6f4c-4774-8cc6-1719e43d8773,IN-F100025,CID-002,09c65622-827a-455e-9816-6c30b088ee63,2025-10-24,2025-10-24,784.94,68.68,853.62,Issued,SampleGen
652a4ef1-ad42-4193-9a9b-b245408b79d3,IN-F100026,CID-002,79e4c36f-5665-44f0-a5a7-4fcee72723fd,2025-11-26,2025-11-26,1029.97,90.12,1120.09,Issued,SampleGen
f520eb31-8c49-4787-a696-7f2ad3ac0d7e,IN-F100027,CID-002,de3f3458-3c4a-4b55-bc24-ec7c1bde60b1,2026-01-01,2026-01-01,1369.95,119.87,1489.82,Issued,SampleGen
75117446-59d7-4924-afe1-05f423a588fd,IN-F100028,CID-002,46a59831-7673-4e0c-8957-ee621a27000f,2026-01-18,2026-01-18,1119.93,97.99,1217.92,Issued,SampleGen
1443dda7-0553-416e-b285-ca7297b79135,IN-F100029,CID-002,a2d8d552-2888-4616-976a-1e6a45aa2977,2026-02-18,2026-02-18,509.97,44.62,554.59,Issued,SampleGen
2f7c2807-a394-4e1c-b45e-dba65908700d,IN-F100030,CID-002,a2a280ac-e045-4a23-8f79-bd9dd47ec254,2026-03-15,2026-03-15,879.96,77.0,956.96,Issued,SampleGen
b453235e-3865-4c41-ac80-c106fad45bea,IN-F100031,CID-002,da888645-3666-4f09-90da-9896a923722d,2026-04-13,2026-04-13,1264.89,110.67,1375.56,Issued,SampleGen
91186d0a-e409-423f-af3e-19b6bfe35508,IN-F100032,CID-003,86a03da3-b7ab-4c89-9c5a-a73b07b25c00,2025-01-09,2025-01-09,449.97,39.37,489.34,Issued,SampleGen
62a48f62-d6b5-4531-a3b4-6b625d65edce,IN-F100033,CID-003,12584976-0f4c-4d32-8724-ea28492aed64,2025-02-23,2025-02-23,859.96,75.23,935.19,Issued,SampleGen
85107e0e-170e-4fed-bbc3-dd29363210a1,IN-F100034,CID-003,41bab196-d043-463c-9fb5-92315b7e56be,2025-03-10,2025-03-10,704.92,61.68,766.6,Issued,SampleGen
1d50d189-8c57-4a5e-a650-1f46b5f57c03,IN-F100035,CID-003,50e583dc-1c9e-4bb7-9ad1-623d40e0aebc,2025-04-05,2025-04-05,4129.9,361.36,4491.26,Issued,SampleGen
958c0dbd-ef44-4969-a91b-4abf28b5f0fe,IN-F100036,CID-003,4d4a024d-eec0-4f72-87df-807a52e46a38,2025-05-12,2025-05-12,269.97,23.62,293.59,Issued,SampleGen
df414f5c-c581-4378-83fc-830961ff68ad,IN-F100037,CID-003,c1efa572-4ff1-4121-98fa-9881b5a0d04e,2025-06-15,2025-06-15,944.96,82.67,1027.63,Issued,SampleGen
a46b42d8-f4de-453a-8e0c-51ad471951ae,IN-F100038,CID-003,c13d71c9-49fe-4d1c-b477-b386491951ee,2025-07-21,2025-07-21,809.93,70.87,880.8,Issued,SampleGen
5c6cccd8-4562-4728-a075-2468e0b96e04,IN-F100039,CID-003,fd82f5d5-6073-40dc-aaae-3a8c903a47a6,2025-08-14,2025-08-14,539.97,47.25,587.22,Issued,SampleGen
5d461063-af10-4cf6-9162-f5fcea9d5b9e,IN-F100040,CID-003,7d93ad26-a23b-47cd-9d00-c8b13ea1e0a4,2025-09-28,2025-09-28,629.97,55.12,685.09,Issued,SampleGen
475bdb05-3c49-445d-9456-7e4a33fa8892,IN-F100041,CID-003,5128067a-a9db-4b60-8be2-78ee28f79071,2025-10-28,2025-10-28,619.94,54.24,674.18,Issued,SampleGen
1a4540f1-e824-4874-9161-4b8e0afa0dbc,IN-F100042,CID-003,fbf1a7df-a588-4def-a462-fd2e2d287e0f,2025-11-09,2025-11-09,494.95,43.31,538.26,Issued,SampleGen
53f37406-1fbf-4b90-a7df-18242c319bbf,IN-F100043,CID-003,b064e64f-51ec-4356-8676-588e1a322187,2025-12-23,2025-12-23,1259.93,110.25,1370.18,Issued,SampleGen
1c4541a8-3864-414e-b3fc-4be9008c5e37,IN-F100044,CID-003,0dcc688c-af27-4673-a002-c1183d4c7367,2026-01-24,2026-01-24,779.94,68.25,848.19,Issued,SampleGen
336cb3a2-345b-44db-bdaf-2e095428a647,IN-F100045,CID-003,440abb96-f605-4fd1-becf-88d64f8d21f4,2026-02-17,2026-02-17,829.97,72.62,902.59,Issued,SampleGen
e09a89cc-8d4b-4bd4-b197-743bf9e369e7,IN-F100046,CID-003,62d0b250-9294-4f7e-8b3c-7afc941b0818,2026-03-14,2026-03-14,1889.93,165.36,2055.29,Issued,SampleGen
5922f989-59cd-455e-afda-61ded4e638c2,IN-F100047,CID-003,0b9c19b6-437c-410b-a81e-ebafbfdace02,2026-04-16,2026-04-16,284.97,24.93,309.9,Issued,SampleGen
0144e335-00e4-4029-8b17-323578905099,IN-F100048,CID-004,20d64838-16b8-42d8-8407-f9d5ad131d54,2025-01-18,2025-01-18,759.94,66.49,826.43,Issued,SampleGen
34253166-ef56-42de-8daa-3836e9ec74d1,IN-F100049,CID-004,cabb2010-280c-4a31-abc6-4b960aadbc79,2025-02-11,2025-02-11,769.94,67.37,837.31,Issued,SampleGen
