PaymentID,InvoiceID,CustomerID,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
fd2b8b37-dcf3-410c-9c70-4b7a0bc75427,INV-877a2538-f3f7-4886-99dd-e36d0cbcb385,CID-001,2025-01-31,678.28,VISA,Completed,SampleGen
1dc16501-6f87-4117-93bd-114aa23d8c00,INV-007f4b2b-8e41-4979-8fb9-8500aeef5583,CID-001,2025-02-05,782.16,Discover,Completed,SampleGen
c5dca72a-6d62-48de-8124-6e2086329e03,INV-1c8e33f0-8b62-4fc4-bb56-e2cd39a48a7d,CID-001,2025-02-04,517.12,MC,Completed,SampleGen
0c06b761-397a-4954-b505-d1375861477a,INV-61c77950-04dd-43bc-9d41-7a7fcee2929c,CID-001,2025-03-15,1034.36,VISA,Completed,SampleGen
d673f258-3cf1-43e5-b351-7e2d40e486a1,INV-e1bbe7f7-3c2a-4ce3-bdc8-f67c812f4ef5,CID-001,2025-03-27,1890.88,AmEx,Completed,SampleGen
46e31be2-ae5d-4609-b20e-c0109b519b37,INV-511ee157-a1e9-449b-8788-385ba825acc0,CID-001,2025-04-17,1169.96,Discover,Completed,SampleGen
4e4ba0a9-50bc-4355-8b9a-dd3fb679568a,INV-f7362939-7c7f-4bcf-8129-30360712ca68,CID-001,2025-04-15,1822.96,VISA,Completed,SampleGen
b4691a42-8626-49cd-b2bd-73c911654daf,INV-92fcb5cd-2f37-434e-bada-72826ba83954,CID-001,2025-04-01,1984.1,VISA,Completed,SampleGen
f6b0c7bc-0f5c-40bd-8172-501acf2fa027,INV-3daebd4b-e16e-43fe-8e56-aa1764956fec,CID-001,2025-05-23,4197.4,AmEx,Completed,SampleGen
a717e8b6-371b-4590-8f4f-731433cceb5b,INV-e641ae1a-7a1f-4c25-a706-5ec993685eae,CID-001,2025-05-20,3281.52,AmEx,Completed,SampleGen
e898ca32-a58a-4110-aee4-fe4762c9d8d7,INV-38acae16-acc0-4002-99e7-234959e5760f,CID-001,2025-05-03,1483.82,MC,Completed,SampleGen
48ff72bb-a1dc-4226-ba18-5e4e99cea6c2,INV-b75966e3-c159-48ca-bf89-6b5f4a136811,CID-001,2025-06-06,3904.78,VISA,Completed,SampleGen
fecf2c1b-0383-4151-85a2-f94869cdbac7,INV-0b566270-b811-4e50-9822-a98e9d16e2f8,CID-001,2025-06-23,1797.54,VISA,Completed,SampleGen
7dd0cbca-44dd-4b6f-8aa0-9d28783305e8,INV-1faae9d8-e400-4224-b4ab-f1c938bdee89,CID-001,2025-06-07,438.7,PayPal,Completed,SampleGen
9422a2b5-616c-4635-b90a-4ec3ac709cc1,INV-17a3d559-416e-404e-a04d-2cdb984e23b7,CID-001,2025-07-29,2043.54,MC,Completed,SampleGen
