InvoiceID,InvoiceNumber,CustomerID,OrderID,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-1ff0e1c7-9341-4bea-bbc7-2c1614a3579d,IS300000,CID-001,1ff0e1c7-9341-4bea-bbc7-2c1614a3579d,2026-04-19,2026-05-19,1299.97,113.75,1413.72,Paid,SampleGen
INV-d0d49952-19bb-4f3b-b25e-50263ed4fe4a,IS300001,CID-001,d0d49952-19bb-4f3b-b25e-50263ed4fe4a,2026-04-13,2026-05-13,999.98,87.5,1087.48,Paid,SampleGen
INV-9c47bc32-dc62-4a88-9973-eca4f0c52d9a,IS300002,CID-001,9c47bc32-dc62-4a88-9973-eca4f0c52d9a,2025-10-20,2025-11-19,599.98,52.5,652.48,Paid,SampleGen
INV-35dd7d41-f903-4975-855f-b76a4961198f,IS300003,CID-001,35dd7d41-f903-4975-855f-b76a4961198f,2025-05-03,2025-06-02,1539.96,134.75,1674.71,Paid,SampleGen
INV-b81c7480-f922-4631-a5de-e8f038767fea,IS300004,CID-001,b81c7480-f922-4631-a5de-e8f038767fea,2026-02-01,2026-03-03,399.99,35.0,434.99,Paid,SampleGen
INV-632ae17e-ed03-4fe3-a40f-7b146fb669ba,IS300005,CID-001,632ae17e-ed03-4fe3-a40f-7b146fb669ba,2025-03-28,2025-04-27,379.98,33.25,413.23,Paid,SampleGen
INV-b8f8df27-9245-4aec-a590-2401d259c0cc,IS300006,CID-001,b8f8df27-9245-4aec-a590-2401d259c0cc,2026-04-25,2026-05-25,499.97,43.74,543.71,Paid,SampleGen
INV-cf51aeec-f429-423d-9645-e45961621f57,IS300007,CID-002,cf51aeec-f429-423d-9645-e45961621f57,2025-03-22,2025-04-21,319.98,28.0,347.98,Paid,SampleGen
INV-e1451e25-543c-400d-8551-0c4d4037e4fa,IS300008,CID-003,e1451e25-543c-400d-8551-0c4d4037e4fa,2026-04-10,2026-05-10,1539.96,134.75,1674.71,Paid,SampleGen
INV-f18d19d9-eb42-4676-b587-69a26e8619fb,IS300009,CID-003,f18d19d9-eb42-4676-b587-69a26e8619fb,2025-05-29,2025-06-28,379.98,33.25,413.23,Paid,SampleGen
