PaymentID,InvoiceID,CustomerID,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-1ff0e1c7-9341-4bea-bbc7-2c1614a3579d,INV-1ff0e1c7-9341-4bea-bbc7-2c1614a3579d,CID-001,2026-04-19,1413.72,AmEx,Completed,SampleGen
PAY-d0d49952-19bb-4f3b-b25e-50263ed4fe4a,INV-d0d49952-19bb-4f3b-b25e-50263ed4fe4a,CID-001,2026-04-13,1087.48,VISA,Completed,SampleGen
PAY-9c47bc32-dc62-4a88-9973-eca4f0c52d9a,INV-9c47bc32-dc62-4a88-9973-eca4f0c52d9a,CID-001,2025-10-20,652.48,VISA,Completed,SampleGen
PAY-35dd7d41-f903-4975-855f-b76a4961198f,INV-35dd7d41-f903-4975-855f-b76a4961198f,CID-001,2025-05-03,1674.71,VISA,Completed,SampleGen
PAY-b81c7480-f922-4631-a5de-e8f038767fea,INV-b81c7480-f922-4631-a5de-e8f038767fea,CID-001,2026-02-01,434.99,VISA,Completed,SampleGen
PAY-632ae17e-ed03-4fe3-a40f-7b146fb669ba,INV-632ae17e-ed03-4fe3-a40f-7b146fb669ba,CID-001,2025-03-28,413.23,PayPal,Completed,SampleGen
PAY-b8f8df27-9245-4aec-a590-2401d259c0cc,INV-b8f8df27-9245-4aec-a590-2401d259c0cc,CID-001,2026-04-25,543.71,PayPal,Completed,SampleGen
PAY-cf51aeec-f429-423d-9645-e45961621f57,INV-cf51aeec-f429-423d-9645-e45961621f57,CID-002,2025-03-22,347.98,MC,Completed,SampleGen
PAY-e1451e25-543c-400d-8551-0c4d4037e4fa,INV-e1451e25-543c-400d-8551-0c4d4037e4fa,CID-003,2026-04-10,1674.71,VISA,Completed,SampleGen
PAY-f18d19d9-eb42-4676-b587-69a26e8619fb,INV-f18d19d9-eb42-4676-b587-69a26e8619fb,CID-003,2025-05-29,413.23,MC,Completed,SampleGen
PAY-96aa80d4-0f0f-4a51-9aac-7bb72cb15588,INV-96aa80d4-0f0f-4a51-9aac-7bb72cb15588,CID-003,2026-01-10,2022.7,VISA,Completed,SampleGen
PAY-09b282d0-a76c-4644-b923-c4b0c7109082,INV-09b282d0-a76c-4644-b923-c4b0c7109082,CID-004,2025-02-05,1642.09,PayPal,Completed,SampleGen
PAY-71b57c72-43c3-412a-87de-61ca8129c5ea,INV-71b57c72-43c3-412a-87de-61ca8129c5ea,CID-005,2025-05-03,924.34,AmEx,Completed,SampleGen
PAY-e041dbad-4b69-4785-8aec-84f444d49e22,INV-e041dbad-4b69-4785-8aec-84f444d49e22,CID-005,2025-09-01,782.96,PayPal,Completed,SampleGen
PAY-11f370a2-0833-427b-af7f-707f2410d658,INV-11f370a2-0833-427b-af7f-707f2410d658,CID-005,2026-01-07,2251.08,AmEx,Completed,SampleGen
PAY-1b44a401-408f-4c8b-94e4-c5f50473be86,INV-1b44a401-408f-4c8b-94e4-c5f50473be86,CID-005,2025-08-22,2109.69,AmEx,Completed,SampleGen
PAY-bdf1d080-aec8-4015-b441-082bbb385c3c,INV-bdf1d080-aec8-4015-b441-082bbb385c3c,CID-006,2025-07-28,630.74,PayPal,Completed,SampleGen
PAY-6840b586-8f48-4262-a8ff-a689c0ef366b,INV-6840b586-8f48-4262-a8ff-a689c0ef366b,CID-006,2025-07-18,2425.07,VISA,Completed,SampleGen
PAY-82f0ca5b-bb77-4600-b3b4-4b1c026ffcdb,INV-82f0ca5b-bb77-4600-b3b4-4b1c026ffcdb,CID-006,2025-12-06,5654.96,AmEx,Completed,SampleGen
PAY-54aabde2-0bd8-46a3-9f65-7d4fc3849009,INV-54aabde2-0bd8-46a3-9f65-7d4fc3849009,CID-006,2026-03-21,260.98,VISA,Completed,SampleGen
PAY-fba7ecd0-14ed-43ac-88ad-f79969f4e078,INV-fba7ecd0-14ed-43ac-88ad-f79969f4e078,CID-006,2025-06-04,543.72,PayPal,Completed,SampleGen
PAY-a7644792-f700-4a5c-8b78-b1be607f02f9,INV-a7644792-f700-4a5c-8b78-b1be607f02f9,CID-007,2026-03-03,1152.7,MC,Completed,SampleGen
PAY-87a3fec1-7421-4581-b93c-98509835f0cc,INV-87a3fec1-7421-4581-b93c-98509835f0cc,CID-007,2025-03-21,1076.56,VISA,Completed,SampleGen
