PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,2,Proseware Inc,2026-04-06,2026-04-21,2026-04-21,Delivered,929.5,Backup Warehouse,buyer1,Medium,Multi-category order,system,2026-04-06
2,PO-2026-0002,4,Worldwide Importers,2026-03-19,2026-04-14,2026-04-15,Delivered,2792.74,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-03-19
3,PO-2026-0003,4,Worldwide Importers,2026-04-10,2026-05-01,,Sent,414.9,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-04-10
4,PO-2026-0004,3,Alpine Ski House,2026-04-11,2026-04-26,2026-04-28,Delivered,2812.68,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-04-11
5,PO-2026-0005,4,Worldwide Importers,2026-03-25,2026-04-14,2026-04-15,Delivered,4828.71,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-03-25
6,PO-2026-0006,4,Worldwide Importers,2026-02-06,2026-02-25,2026-02-25,Delivered,1915.55,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-02-06
7,PO-2026-0007,5,Fabrikam,2026-02-15,2026-02-27,2026-03-02,Delivered,5281.9,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-02-15
8,PO-2026-0008,2,Proseware Inc,2026-03-26,2026-04-04,2026-04-06,Delivered,1580.4,Backup Warehouse,buyer1,Medium,Multi-category order,system,2026-03-26
9,PO-2026-0009,5,Fabrikam,2026-04-25,2026-05-11,,InTransit,2016.56,Main Warehouse,buyer1,Medium,Multi-category order,system,2026-04-25
10,PO-2026-0010,4,Worldwide Importers,2026-02-02,2026-02-24,2026-02-27,Delivered,822.7,Backup Warehouse,buyer1,Medium,Multi-category order,system,2026-02-02
11,PO-2026-0011,2,Proseware Inc,2026-03-04,2026-03-15,2026-03-16,Delivered,444.6,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-03-04
