OrderID,SalesChannelID,OrderNumber,CustomerID,CustomerAccountID,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
1ff0e1c7-9341-4bea-bbc7-2c1614a3579d,Ski,S300000,CID-001,CA-0926,2026-04-18,Completed,1299.97,113.75,1413.72,AmEx,USD,SampleGen
d0d49952-19bb-4f3b-b25e-50263ed4fe4a,Ski,S300001,CID-001,CA-0926,2026-04-12,Shipped,999.98,87.5,1087.48,VISA,USD,SampleGen
9c47bc32-dc62-4a88-9973-eca4f0c52d9a,Ski,S300002,CID-001,CA-0926,2025-10-19,Completed,599.98,52.5,652.48,VISA,USD,SampleGen
35dd7d41-f903-4975-855f-b76a4961198f,Ski,S300003,CID-001,CA-0926,2025-05-02,Completed,1539.96,134.75,1674.71,VISA,USD,SampleGen
b81c7480-f922-4631-a5de-e8f038767fea,Ski,S300004,CID-001,CA-0926,2026-01-31,Completed,399.99,35.0,434.99,VISA,USD,SampleGen
632ae17e-ed03-4fe3-a40f-7b146fb669ba,Ski,S300005,CID-001,CA-0926,2025-03-27,Cancelled,379.98,33.25,413.23,PayPal,USD,SampleGen
b8f8df27-9245-4aec-a590-2401d259c0cc,Ski,S300006,CID-001,CA-0926,2026-04-24,Pending,499.97,43.74,543.71,PayPal,USD,SampleGen
cf51aeec-f429-423d-9645-e45961621f57,Ski,S300007,CID-002,CA-0927,2025-03-21,Shipped,319.98,28.0,347.98,MC,USD,SampleGen
e1451e25-543c-400d-8551-0c4d4037e4fa,Ski,S300008,CID-003,CA-0928,2026-04-09,Completed,1539.96,134.75,1674.71,VISA,USD,SampleGen
f18d19d9-eb42-4676-b587-69a26e8619fb,Ski,S300009,CID-003,CA-0928,2025-05-28,Shipped,379.98,33.25,413.23,MC,USD,SampleGen
96aa80d4-0f0f-4a51-9aac-7bb72cb15588,Ski,S300010,CID-003,CA-0928,2026-01-09,Completed,1859.95,162.75,2022.7,VISA,USD,SampleGen
09b282d0-a76c-4644-b923-c4b0c7109082,Ski,S300011,CID-004,CA-0929,2025-02-04,Completed,1509.97,132.12,1642.09,PayPal,USD,SampleGen
71b57c72-43c3-412a-87de-61ca8129c5ea,Ski,S300012,CID-005,CA-0930,2025-05-02,Completed,849.97,74.37,924.34,AmEx,USD,SampleGen
e041dbad-4b69-4785-8aec-84f444d49e22,Ski,S300013,CID-005,CA-0930,2025-08-31,Completed,719.97,62.99,782.96,PayPal,USD,SampleGen
