InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-5a2fb4ad-01d9-45c6-8d20-7cde2241cbca,ID200000,CID-001,5a2fb4ad-01d9-45c6-8d20-7cde2241cbca,2021-01-07,2021-02-06,1975.88,118.56,2094.44,Issued,SampleGen
INV-a05bc1d8-4664-4983-aeaa-3b7417aa9b27,ID200001,CID-001,a05bc1d8-4664-4983-aeaa-3b7417aa9b27,2021-06-20,2021-07-20,1859.86,111.6,1971.46,Issued,SampleGen
INV-00d0757b-1f75-40c9-a2cd-5a9a2f4f14cc,ID200002,CID-001,00d0757b-1f75-40c9-a2cd-5a9a2f4f14cc,2021-12-07,2022-01-06,2729.78,163.8,2893.58,Issued,SampleGen
INV-23e9d784-cbad-4b14-91fb-7a44fa92a05a,ID200003,CID-001,23e9d784-cbad-4b14-91fb-7a44fa92a05a,2022-01-12,2022-02-11,973.8,58.44,1032.24,Issued,SampleGen
INV-df32cd38-04d9-47a8-a16b-36fa65ec61f5,ID200004,CID-001,df32cd38-04d9-47a8-a16b-36fa65ec61f5,2022-02-05,2022-03-07,5423.76,325.44,5749.2,Issued,SampleGen
INV-7491a0ee-05bc-4dc1-8034-6742fa1bb11b,ID200005,CID-001,7491a0ee-05bc-4dc1-8034-6742fa1bb11b,2022-06-05,2022-07-05,3663.78,219.84,3883.62,Issued,SampleGen
INV-00392bb8-43da-44cf-af4d-f555a6acbdfa,ID200006,CID-001,00392bb8-43da-44cf-af4d-f555a6acbdfa,2022-07-04,2022-08-03,3315.9,198.96,3514.86,Issued,SampleGen
INV-1b73a5c9-200e-45fd-96b0-b4ece9ec4df0,ID200007,CID-001,1b73a5c9-200e-45fd-96b0-b4ece9ec4df0,2022-08-25,2022-09-24,3727.72,223.68,3951.4,Issued,SampleGen
INV-8b6f3ad3-f5bb-49f1-bc58-4cf6c3bfa777,ID200008,CID-001,8b6f3ad3-f5bb-49f1-bc58-4cf6c3bfa777,2022-11-10,2022-12-10,839.86,50.4,890.26,Issued,SampleGen
INV-cc2e47a3-ee8a-4d7a-a5fa-dd8a3b683b43,ID200009,CID-001,cc2e47a3-ee8a-4d7a-a5fa-dd8a3b683b43,2022-12-07,2023-01-06,1803.8,108.24,1912.04,Issued,SampleGen
INV-1119cc4e-392d-4cdc-a1cb-fc5afbe3df1d,ID200010,CID-001,1119cc4e-392d-4cdc-a1cb-fc5afbe3df1d,2023-01-13,2023-02-12,447.88,26.88,474.76,Issued,SampleGen
INV-fddf210b-a737-47a3-b62c-5c3d33de3db5,ID200011,CID-001,fddf210b-a737-47a3-b62c-5c3d33de3db5,2023-02-02,2023-03-04,1253.82,75.24,1329.06,Issued,SampleGen
INV-65d30564-324d-4b2d-a7cf-26cb7a1eb9a0,ID200012,CID-001,65d30564-324d-4b2d-a7cf-26cb7a1eb9a0,2023-03-03,2023-04-02,1281.8,76.92,1358.72,Issued,SampleGen
INV-7b719398-9a88-4a41-a8e8-e6ea4ac27b5e,ID200013,CID-001,7b719398-9a88-4a41-a8e8-e6ea4ac27b5e,2023-05-01,2023-05-31,3433.82,206.04,3639.86,Issued,SampleGen
INV-ac6c8960-95fb-4cdd-af0f-5c623b36ca4e,ID200014,CID-001,ac6c8960-95fb-4cdd-af0f-5c623b36ca4e,2023-05-06,2023-06-05,4433.76,266.04,4699.8,Issued,SampleGen
INV-7561bf17-512a-4a83-bc82-f2f6482ab58e,ID200015,CID-001,7561bf17-512a-4a83-bc82-f2f6482ab58e,2023-07-05,2023-08-04,631.8,37.92,669.72,Issued,SampleGen
INV-d58aba7f-347d-4dab-8acd-d8297bb2ecda,ID200016,CID-001,d58aba7f-347d-4dab-8acd-d8297bb2ecda,2023-09-16,2023-10-16,3579.78,214.8,3794.58,Issued,SampleGen
INV-ade64c10-68da-4c11-b501-6267b1f47de8,ID200017,CID-001,ade64c10-68da-4c11-b501-6267b1f47de8,2023-10-19,2023-11-18,2727.84,163.68,2891.52,Issued,SampleGen
INV-7bae3aac-6c62-45a6-991f-8f53cd0020f2,ID200018,CID-001,7bae3aac-6c62-45a6-991f-8f53cd0020f2,2023-11-03,2023-12-03,2189.82,131.4,2321.22,Issued,SampleGen
INV-527bbc1e-774e-4914-8d58-826106f5eb4d,ID200019,CID-001,527bbc1e-774e-4914-8d58-826106f5eb4d,2023-12-03,2024-01-02,1171.84,70.32,1242.16,Issued,SampleGen
INV-3e15ecf9-55d2-49ef-8970-9b66f7065d7b,ID200020,CID-001,3e15ecf9-55d2-49ef-8970-9b66f7065d7b,2024-01-02,2024-02-01,973.8,58.44,1032.24,Issued,SampleGen
INV-48ac0045-6822-4c34-9028-7e2491cc025e,ID200021,CID-001,48ac0045-6822-4c34-9028-7e2491cc025e,2024-02-11,2024-03-12,1175.8,70.56,1246.36,Issued,SampleGen
INV-1fa79e94-bc27-4264-bc1a-c6eb18ff9464,ID200022,CID-001,1fa79e94-bc27-4264-bc1a-c6eb18ff9464,2024-03-31,2024-04-30,2299.7,138.0,2437.7,Issued,SampleGen
INV-de7dff4e-432d-411a-b0f1-5e001300894d,ID200023,CID-001,de7dff4e-432d-411a-b0f1-5e001300894d,2024-04-14,2024-05-14,623.82,37.44,661.26,Issued,SampleGen
INV-84423add-85e1-48a1-87cf-82d66a8eb0b7,ID200024,CID-001,84423add-85e1-48a1-87cf-82d66a8eb0b7,2024-05-17,2024-06-16,1797.76,107.88,1905.64,Issued,SampleGen
INV-66065e99-028b-43a8-8781-9d20b7e35cd1,ID200025,CID-001,66065e99-028b-43a8-8781-9d20b7e35cd1,2024-06-04,2024-07-04,565.86,33.96,599.82,Issued,SampleGen
INV-8b9d2fb8-f057-4377-a4f8-eb258e968413,ID200026,CID-001,8b9d2fb8-f057-4377-a4f8-eb258e968413,2024-07-24,2024-08-23,5831.72,349.92,6181.64,Issued,SampleGen
