PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-28b27c75-9558-4270-bfd5-2970ae0305ea,INV-28b27c75-9558-4270-bfd5-2970ae0305ea,CID-001,2022-08-31,86.99,MC,Completed,SampleGen
PAY-6e8ea5bd-9a04-4573-af37-017df01decba,INV-6e8ea5bd-9a04-4573-af37-017df01decba,CID-001,2022-10-25,956.95,AmEx,Completed,SampleGen
PAY-72a97211-4a79-49f2-a255-6032376e0a08,INV-72a97211-4a79-49f2-a255-6032376e0a08,CID-001,2023-06-13,173.98,VISA,Completed,SampleGen
PAY-f6163539-0385-4420-9f9c-e6890be0e586,INV-f6163539-0385-4420-9f9c-e6890be0e586,CID-001,2022-04-26,326.22,AmEx,Completed,SampleGen
PAY-12019153-4b02-4e4a-a9e9-cbf69c34ee55,INV-12019153-4b02-4e4a-a9e9-cbf69c34ee55,CID-001,2021-10-08,2718.68,AmEx,Completed,SampleGen
PAY-2890becc-5713-431e-aa3b-ca9c9c9ec268,INV-2890becc-5713-431e-aa3b-ca9c9c9ec268,CID-002,2024-04-22,130.49,MC,Completed,SampleGen
PAY-b0272a46-e000-4d04-bd80-c62256fe32f7,INV-b0272a46-e000-4d04-bd80-c62256fe32f7,CID-002,2022-05-06,761.23,VISA,Completed,SampleGen
PAY-84ce9f8a-5893-4347-ba79-9f4266bd9c50,INV-84ce9f8a-5893-4347-ba79-9f4266bd9c50,CID-003,2026-03-22,2599.06,PayPal,Completed,SampleGen
PAY-ccb8cd09-e7bf-434b-bf7c-68e523f67332,INV-ccb8cd09-e7bf-434b-bf7c-68e523f67332,CID-003,2023-03-19,619.84,PayPal,Completed,SampleGen
PAY-33a55e00-4467-44e1-a025-682fd71b7194,INV-33a55e00-4467-44e1-a025-682fd71b7194,CID-003,2021-12-19,3262.43,PayPal,Completed,SampleGen
PAY-297609f4-3192-43cc-af49-45f2553f8400,INV-297609f4-3192-43cc-af49-45f2553f8400,CID-003,2022-03-07,1816.07,AmEx,Completed,SampleGen
PAY-b61b2a9b-f0f4-42e3-b016-a12060a17bf6,INV-b61b2a9b-f0f4-42e3-b016-a12060a17bf6,CID-004,2025-07-02,3099.33,AmEx,Completed,SampleGen
PAY-44658681-b70a-4be5-92b2-4972ce77d612,INV-44658681-b70a-4be5-92b2-4972ce77d612,CID-004,2026-01-13,1587.72,VISA,Completed,SampleGen
PAY-f71b4b2a-a232-414f-b969-127799aae6eb,INV-f71b4b2a-a232-414f-b969-127799aae6eb,CID-005,2021-09-07,5600.55,Discover,Completed,SampleGen
PAY-0444c440-21ae-4a55-a794-bab86ac01d2e,INV-0444c440-21ae-4a55-a794-bab86ac01d2e,CID-005,2021-11-08,2392.44,MC,Completed,SampleGen
PAY-bf496d7b-b072-435a-bdc2-4ef7a03b9edf,INV-bf496d7b-b072-435a-bdc2-4ef7a03b9edf,CID-005,2024-05-08,1913.93,AmEx,Completed,SampleGen
PAY-2ee77ae3-a38f-4296-84bd-64cf281cbbde,INV-2ee77ae3-a38f-4296-84bd-64cf281cbbde,CID-005,2021-11-08,2196.68,MC,Completed,SampleGen
PAY-5e81ca2c-5d8c-4e3c-92bc-49dfa49b896c,INV-5e81ca2c-5d8c-4e3c-92bc-49dfa49b896c,CID-006,2021-12-26,434.99,MC,Completed,SampleGen
PAY-8fb4b5a8-e339-45f7-8bac-3fb5f4ebc45c,INV-8fb4b5a8-e339-45f7-8bac-3fb5f4ebc45c,CID-006,2025-07-30,532.83,PayPal,Completed,SampleGen
PAY-6a013409-a7f1-48b0-b697-ff9f94a53d72,INV-6a013409-a7f1-48b0-b697-ff9f94a53d72,CID-006,2022-09-02,206.61,VISA,Completed,SampleGen
PAY-ddc2733f-6ef9-4313-aa11-b0ba4b7a1e88,INV-ddc2733f-6ef9-4313-aa11-b0ba4b7a1e88,CID-006,2023-01-27,869.98,AmEx,Completed,SampleGen
PAY-b7315d55-948f-4c67-8044-10c654e240e3,INV-b7315d55-948f-4c67-8044-10c654e240e3,CID-006,2025-08-14,521.97,AmEx,Completed,SampleGen
PAY-0df92a34-2a10-4892-97af-d8fbc2447b46,INV-0df92a34-2a10-4892-97af-d8fbc2447b46,CID-006,2024-10-16,2827.48,Discover,Completed,SampleGen
PAY-c5ed69bc-f3e0-4777-b271-42ac042cfcd9,INV-c5ed69bc-f3e0-4777-b271-42ac042cfcd9,CID-006,2022-08-11,173.98,PayPal,Completed,SampleGen
PAY-33f1c343-22f9-4905-9ecd-11e165be84ba,INV-33f1c343-22f9-4905-9ecd-11e165be84ba,CID-007,2021-03-18,3458.2,MC,Completed,SampleGen
PAY-22d3e6b2-401a-4f5d-9896-2e1577b108b3,INV-22d3e6b2-401a-4f5d-9896-2e1577b108b3,CID-007,2024-07-22,2501.18,AmEx,Completed,SampleGen
PAY-fa4295eb-1d2e-402d-b2f3-23e75dcadae6,INV-fa4295eb-1d2e-402d-b2f3-23e75dcadae6,CID-008,2021-05-25,1054.81,AmEx,Completed,SampleGen
PAY-11b43e6b-602d-47e9-9465-c850046f8f04,INV-11b43e6b-602d-47e9-9465-c850046f8f04,CID-008,2023-12-19,1391.94,MC,Completed,SampleGen
PAY-1ab479cc-427b-4574-8d3b-2b95f1959511,INV-1ab479cc-427b-4574-8d3b-2b95f1959511,CID-008,2022-06-19,3218.96,PayPal,Completed,SampleGen
PAY-d3df35e5-b709-48e1-b55e-3a17aa07168b,INV-d3df35e5-b709-48e1-b55e-3a17aa07168b,CID-008,2023-05-15,674.2,Discover,Completed,SampleGen
PAY-53eb0eb7-f029-403b-a81d-9c51d263d259,INV-53eb0eb7-f029-403b-a81d-9c51d263d259,CID-008,2026-03-17,1152.7,PayPal,Completed,SampleGen
PAY-6dd4a9c1-ce69-4c65-83c4-e9e5f05147b2,INV-6dd4a9c1-ce69-4c65-83c4-e9e5f05147b2,CID-009,2023-01-28,2174.96,AmEx,Completed,SampleGen
PAY-86a8fd48-5f7c-4e3c-960d-1d05ffb03273,INV-86a8fd48-5f7c-4e3c-960d-1d05ffb03273,CID-010,2023-05-17,326.23,Discover,Completed,SampleGen
PAY-2e59fec2-2171-4cb7-91af-0f4bd7da659f,INV-2e59fec2-2171-4cb7-91af-0f4bd7da659f,CID-010,2021-02-07,3121.06,MC,Completed,SampleGen
PAY-51d4b379-6ac1-47e4-a603-4dc87eee687d,INV-51d4b379-6ac1-47e4-a603-4dc87eee687d,CID-010,2021-08-08,456.72,PayPal,Completed,SampleGen
PAY-b18baf08-bd00-4d0a-a79a-54d84595bade,INV-b18baf08-bd00-4d0a-a79a-54d84595bade,CID-010,2026-04-11,445.84,Discover,Completed,SampleGen
PAY-5acc6098-1110-4766-8039-3d9276f23799,INV-5acc6098-1110-4766-8039-3d9276f23799,CID-010,2021-01-27,869.98,VISA,Completed,SampleGen
PAY-92b87703-cb9d-420b-86e5-bb5091ba6f4b,INV-92b87703-cb9d-420b-86e5-bb5091ba6f4b,CID-010,2022-07-09,1065.68,Discover,Completed,SampleGen
PAY-d30d9a4f-6d5e-4341-8277-20f61ef91613,INV-d30d9a4f-6d5e-4341-8277-20f61ef91613,CID-010,2022-09-06,978.73,Discover,Completed,SampleGen
PAY-c6a5aecd-05c0-436f-9439-bc736dcb70b2,INV-c6a5aecd-05c0-436f-9439-bc736dcb70b2,CID-011,2023-11-22,2827.48,MC,Completed,SampleGen
PAY-c6241055-f4a6-4e62-a52d-fc5673bb609b,INV-c6241055-f4a6-4e62-a52d-fc5673bb609b,CID-011,2025-04-02,978.74,VISA,Completed,SampleGen
PAY-4397e7f3-c690-472b-bc13-b61556ef2062,INV-4397e7f3-c690-472b-bc13-b61556ef2062,CID-012,2024-01-21,5219.94,Discover,Completed,SampleGen
PAY-f4e0ecfb-ab6b-4e30-87e4-a68ae0021abd,INV-f4e0ecfb-ab6b-4e30-87e4-a68ae0021abd,CID-013,2021-04-16,1011.34,PayPal,Completed,SampleGen
PAY-98698243-e22b-4e17-a3aa-fc2171b11809,INV-98698243-e22b-4e17-a3aa-fc2171b11809,CID-013,2024-08-24,260.98,VISA,Completed,SampleGen
PAY-bb115c20-c737-4a4d-b2fe-95e853cbaeb3,INV-bb115c20-c737-4a4d-b2fe-95e853cbaeb3,CID-013,2021-11-25,326.24,MC,Completed,SampleGen
PAY-9a5d992a-6da4-49c8-b458-02f8b72eeea0,INV-9a5d992a-6da4-49c8-b458-02f8b72eeea0,CID-014,2024-10-26,2055.31,PayPal,Completed,SampleGen
PAY-81242b77-a524-4535-ba10-b03e9552bd11,INV-81242b77-a524-4535-ba10-b03e9552bd11,CID-015,2026-02-23,891.71,MC,Completed,SampleGen
PAY-cedb710d-1d0d-45a6-ab99-3a50ca244873,INV-cedb710d-1d0d-45a6-ab99-3a50ca244873,CID-015,2021-04-01,2066.21,MC,Completed,SampleGen
PAY-d17616f4-6bcb-4d08-a96c-900798e1dc46,INV-d17616f4-6bcb-4d08-a96c-900798e1dc46,CID-016,2025-05-29,1739.96,MC,Completed,SampleGen
PAY-94185eaf-70d5-44bd-8488-d4fb07ead7a6,INV-94185eaf-70d5-44bd-8488-d4fb07ead7a6,CID-017,2025-05-10,2066.19,MC,Completed,SampleGen
PAY-933bb47a-d522-4f6c-be72-abc2717bc5f9,INV-933bb47a-d522-4f6c-be72-abc2717bc5f9,CID-017,2025-02-04,163.11,VISA,Completed,SampleGen
PAY-6c5806b8-8c02-40f6-a098-cc8e0b31f3c6,INV-6c5806b8-8c02-40f6-a098-cc8e0b31f3c6,CID-017,2025-11-10,1261.48,PayPal,Completed,SampleGen
PAY-24f11df6-6c93-4160-b645-c63f250cd865,INV-24f11df6-6c93-4160-b645-c63f250cd865,CID-017,2024-02-29,2338.09,Discover,Completed,SampleGen
