ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,2026-05-01,Monthly,105,68.72,1.0,Growing,98,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-03-16 12:45:03
2,1521,Adventurer Pro Backpack,Camping,2026-05-01,Weekly,24,67.8,1.0,Growing,98,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-16 12:45:03
3,1521,Adventurer Pro Backpack,Camping,2026-05-08,Weekly,24,65.64,1.0,Growing,98,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-16 12:45:03
4,1521,Adventurer Pro Backpack,Camping,2026-05-15,Weekly,24,66.36,1.0,Growing,98,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-16 12:45:03
5,1521,Adventurer Pro Backpack,Camping,2026-05-22,Weekly,24,71.54,1.0,Growing,98,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-16 12:45:03
6,1521,Adventurer Pro Backpack,Camping,2026-06-01,Monthly,114,68.72,1.0,Growing,98,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-03-16 12:45:03
7,1521,Adventurer Pro Backpack,Camping,2026-07-01,Monthly,123,68.72,1.0,Growing,98,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-03-16 12:45:03
8,1531,Summit Breeze Jacket,Camping,2026-05-01,Monthly,129,79.12,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-03-16 12:45:03
9,1531,Summit Breeze Jacket,Camping,2026-05-01,Weekly,30,83.2,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-16 12:45:03
10,1531,Summit Breeze Jacket,Camping,2026-05-08,Weekly,30,74.65,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-16 12:45:03
11,1531,Summit Breeze Jacket,Camping,2026-05-15,Weekly,30,76.64,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-16 12:45:03
12,1531,Summit Breeze Jacket,Camping,2026-05-22,Weekly,30,80.88,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-16 12:45:03
13,1531,Summit Breeze Jacket,Camping,2026-06-01,Monthly,139,79.12,1.0,Growing,120,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-03-16 12:45:03
14,1531,Summit Breeze Jacket,Camping,2026-07-01,Monthly,151,79.12,1.0,Growing,120,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-03-16 12:45:03
15,1541,TrekReady Hiking Boots,Camping,2026-05-01,Monthly,64,60.15,1.0,Growing,60,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-03-16 12:45:03
16,1541,TrekReady Hiking Boots,Camping,2026-05-01,Weekly,14,58.11,1.0,Growing,60,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-16 12:45:03
17,1541,TrekReady Hiking Boots,Camping,2026-05-08,Weekly,14,56.3,1.0,Growing,60,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-16 12:45:03
18,1541,TrekReady Hiking Boots,Camping,2026-05-15,Weekly,14,58.99,1.0,Growing,60,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-16 12:45:03
19,1541,TrekReady Hiking Boots,Camping,2026-05-22,Weekly,14,64.13,1.0,Growing,60,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-16 12:45:03
20,1541,TrekReady Hiking Boots,Camping,2026-06-01,Monthly,69,60.15,1.0,Growing,60,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-03-16 12:45:03
21,1541,TrekReady Hiking Boots,Camping,2026-07-01,Monthly,75,60.15,1.0,Growing,60,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-03-16 12:45:03
22,1551,BaseCamp Folding Table,Camping,2026-05-01,Monthly,120,69.42,1.0,Growing,112,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-03-16 12:45:03
