TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,2111,High-Speed Blender,Kitchen,Main,Damage,2026-02-07 00:00:00,-1,147.86,-147.86,DMG-1,Quality Issue,266,265,warehouse1,Transaction processed for Main location,system,2026-02-07 00:00:00
2,1522,SummitClimber Backpack,Camping,Main,Receipt,2026-03-27 00:00:00,126,166.82,21019.13,PO-9458,Purchase Order Receipt,332,458,warehouse1,Transaction processed for Main location,system,2026-03-27 00:00:00
3,3042,Aluminum All-Mountain Poles - 115cm,Ski,Main,Sale,2025-04-05 00:00:00,-18,78.37,-1410.66,SO-33729,Customer Sale,56,38,system,Transaction processed for Main location,system,2025-04-05 00:00:00
4,3051,Insulated Ski Jacket - Men's,Ski,Backup,Return,2025-10-25 00:00:00,5,169.71,848.56,RET-99004,Customer Return,14,19,warehouse2,Transaction processed for Backup location,system,2025-10-25 00:00:00
5,1532,TrailBlaze Hiking Pants,Camping,Main,Return,2025-03-07 00:00:00,4,47.74,190.94,RET-73383,Customer Return,368,372,warehouse2,Transaction processed for Main location,system,2025-03-07 00:00:00
6,3071,Ski Boot Bag - Premium,Ski,Main,Sale,2025-10-19 00:00:00,-29,46.21,-1340.09,SO-70310,Customer Sale,85,56,system,Transaction processed for Main location,system,2025-10-19 00:00:00
7,1571,CozyNights Sleeping Bag,Camping,Main,Sale,2025-08-16 00:00:00,-25,114.66,-2866.5,SO-79736,Customer Sale,106,81,warehouse1,Transaction processed for Main location,system,2025-08-16 00:00:00
8,3032,Comfort Fit Recreational Boots,Ski,Backup,Return,2025-01-29 00:00:00,1,240.6,240.6,RET-64635,Customer Return,46,47,system,Transaction processed for Backup location,system,2025-01-29 00:00:00
9,3092,All-Mountain Snowboard - 158cm,Ski,Main,Sale,2025-02-04 00:00:00,-50,483.34,-24167.0,SO-77877,Customer Sale,61,11,warehouse1,Transaction processed for Main location,system,2025-02-04 00:00:00
10,2051,Ice Cream Bowl,Kitchen,Regional,Receipt,2025-04-30 00:00:00,11,14.86,163.43,PO-8095,Purchase Order Receipt,308,319,system,Transaction processed for Regional location,system,2025-04-30 00:00:00
11,3071,Ski Boot Bag - Premium,Ski,Main,Receipt,2025-03-12 00:00:00,118,47.45,5599.58,PO-7031,Purchase Order Receipt,71,189,warehouse2,Transaction processed for Main location,system,2025-03-12 00:00:00
12,2061,Mixing Bowl,Kitchen,Main,Adjustment,2025-07-05 00:00:00,-7,26.85,-187.95,ADJ-12,System Correction,266,259,warehouse1,Transaction processed for Main location,system,2025-07-05 00:00:00
13,2011,Coffee Maker,Kitchen,Main,Sale,2025-10-13 00:00:00,-5,122.73,-613.65,SO-46886,Customer Sale,442,437,warehouse1,Transaction processed for Main location,system,2025-10-13 00:00:00
14,1521,Adventurer Pro Backpack,Camping,Main,Damage,2025-11-22 00:00:00,-3,122.33,-366.99,DMG-14,Shipping Damage,23,20,warehouse2,Transaction processed for Main location,system,2025-11-22 00:00:00
15,2112,4-Slice Toaster,Kitchen,Main,Sale,2026-01-23 00:00:00,-22,57.95,-1274.9,SO-95543,Customer Sale,190,168,system,Transaction processed for Main location,system,2026-01-23 00:00:00
16,3013,Beginner's Choice Alpine Skis - 160cm,Ski,Backup,Sale,2026-01-01 00:00:00,-20,293.85,-5877.0,SO-39912,Customer Sale,68,48,warehouse2,Transaction processed for Backup location,system,2026-01-01 00:00:00
17,3051,Insulated Ski Jacket - Men's,Ski,Regional,Sale,2025-05-24 00:00:00,-7,212.14,-1484.98,SO-60530,Customer Sale,27,20,warehouse1,Transaction processed for Regional location,system,2025-05-24 00:00:00
18,2061,Mixing Bowl,Kitchen,Main,Sale,2025-06-03 00:00:00,-44,26.85,-1181.4,SO-90936,Customer Sale,153,109,system,Transaction processed for Main location,system,2025-06-03 00:00:00
19,3102,Winter Hiking Boots - Waterproof,Ski,Main,Adjustment,2025-09-17 00:00:00,13,171.6,2230.8,ADJ-19,Physical Count,37,50,warehouse2,Transaction processed for Main location,system,2025-09-17 00:00:00
20,1531,Summit Breeze Jacket,Camping,Backup,Receipt,2025-02-02 00:00:00,51,100.32,5116.24,PO-5777,Purchase Order Receipt,398,449,warehouse2,Transaction processed for Backup location,system,2025-02-02 00:00:00
21,3052,Thermal Base Layer Set - Women's,Ski,Backup,Transfer,2025-06-27 00:00:00,-34,94.05,-3197.7,TRF-3240,Warehouse Transfer,41,7,system,Transaction processed for Backup location,system,2025-06-27 00:00:00
22,3042,Aluminum All-Mountain Poles - 115cm,Ski,Main,Adjustment,2025-10-09 00:00:00,9,78.37,705.33,ADJ-22,System Correction,3,12,warehouse1,Transaction processed for Main location,system,2025-10-09 00:00:00
23,2071,Baking Pan,Kitchen,Main,Sale,2026-03-22 00:00:00,-34,18.28,-621.52,SO-98015,Customer Sale,19,-15,system,Transaction processed for Main location,system,2026-03-22 00:00:00
24,1532,TrailBlaze Hiking Pants,Camping,Main,Sale,2025-12-10 00:00:00,-33,59.67,-1969.11,SO-97494,Customer Sale,338,305,warehouse2,Transaction processed for Main location,system,2025-12-10 00:00:00
25,1532,TrailBlaze Hiking Pants,Camping,Backup,Receipt,2025-09-15 00:00:00,162,59.56,9648.24,PO-3597,Purchase Order Receipt,125,287,warehouse1,Transaction processed for Backup location,system,2025-09-15 00:00:00
26,3022,Backcountry Explorer XC Skis - 190cm,Ski,Main,Receipt,2025-10-05 00:00:00,49,360.49,17663.89,PO-5987,Purchase Order Receipt,78,127,warehouse2,Transaction processed for Main location,system,2025-10-05 00:00:00
27,3062,Anti-Fog Ski Goggles,Ski,Main,Sale,2025-11-01 00:00:00,-1,98.57,-98.57,SO-45600,Customer Sale,64,63,system,Transaction processed for Main location,system,2025-11-01 00:00:00
28,1572,MountainDream Sleeping Bag,Camping,Backup,Sale,2025-03-03 00:00:00,-14,213.27,-2985.78,SO-50537,Customer Sale,197,183,system,Transaction processed for Backup location,system,2025-03-03 00:00:00
29,2031,Coffee Mug,Kitchen,Backup,Receipt,2025-01-04 00:00:00,100,25.6,2560.12,PO-7288,Purchase Order Receipt,240,340,system,Transaction processed for Backup location,system,2025-01-04 00:00:00
30,1541,TrekReady Hiking Boots,Camping,Main,Receipt,2026-01-10 00:00:00,14,124.66,1745.21,PO-7812,Purchase Order Receipt,97,111,system,Transaction processed for Main location,system,2026-01-10 00:00:00
31,2071,Baking Pan,Kitchen,Main,Adjustment,2025-02-11 00:00:00,7,18.28,127.96,ADJ-31,Physical Count,77,84,system,Transaction processed for Main location,system,2025-02-11 00:00:00
