PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,3042,Aluminum All-Mountain Poles - 115cm,Ski,29,,60.15,1744.35,Shipped,2026-01-18,,Supplier SKU: CON-3042,system,2026-01-01 11:29:02
2,1,PO-2026-0001,3051,Insulated Ski Jacket - Men's,Ski,3,,222.34,667.02,Shipped,2026-01-18,,Supplier SKU: CON-3051,system,2026-01-01 11:29:02
3,1,PO-2026-0001,3031,Pro Flex Racing Ski Boots,Ski,178,,516.86,92001.08,Shipped,2026-01-18,,Supplier SKU: CON-3031,system,2026-01-01 11:29:02
4,1,PO-2026-0001,3102,Winter Hiking Boots - Waterproof,Ski,232,,194.2,45054.4,Shipped,2026-01-18,,Supplier SKU: CON-3102,system,2026-01-01 11:29:02
5,2,PO-2026-0002,2022,Fork Set,Kitchen,5,5.0,30.73,153.65,Received,2026-03-06,2026-03-08,Supplier SKU: WOR-2022,system,2026-02-01 11:29:02
6,3,PO-2026-0003,2041,Serving Platter,Kitchen,96,91.0,46.37,4451.52,Backordered,2026-03-03,2026-03-06,Supplier SKU: CON-2041,system,2026-02-23 11:29:02
7,3,PO-2026-0003,2112,4-Slice Toaster,Kitchen,10,10.0,61.07,610.7,Received,2026-03-03,2026-03-06,Supplier SKU: CON-2112,system,2026-02-23 11:29:02
8,3,PO-2026-0003,2121,Bamboo Cutting Board Set,Kitchen,10,10.0,32.32,323.2,Received,2026-03-03,2026-03-06,Supplier SKU: CON-2121,system,2026-02-23 11:29:02
9,4,PO-2026-0004,3032,Comfort Fit Recreational Boots,Ski,16,,279.81,4476.96,Pending,2026-03-19,,Supplier SKU: CON-3032,system,2026-03-02 11:29:02
10,4,PO-2026-0004,3103,Snowboard Bindings - Pro,Ski,13,,234.97,3054.61,Pending,2026-03-19,,Supplier SKU: CON-3103,system,2026-03-02 11:29:02
11,4,PO-2026-0004,3042,Aluminum All-Mountain Poles - 115cm,Ski,40,,60.15,2406.0,Pending,2026-03-19,,Supplier SKU: CON-3042,system,2026-03-02 11:29:02
12,5,PO-2025-0005,3071,Ski Boot Bag - Premium,Ski,88,88.0,47.92,4216.96,Received,2026-01-15,2026-01-16,Supplier SKU: FAB-3071,system,2025-12-22 11:29:02
13,5,PO-2025-0005,3062,Anti-Fog Ski Goggles,Ski,95,95.0,110.07,10456.65,Received,2026-01-15,2026-01-16,Supplier SKU: FAB-3062,system,2025-12-22 11:29:02
14,6,PO-2026-0006,1511,Alpine Explorer Tent,Camping,27,27.0,310.17,8374.59,Received,2026-02-03,2026-02-03,Supplier SKU: CON-1511,system,2026-01-20 11:29:02
15,6,PO-2026-0006,1552,TrekMaster Camping Chair,Camping,49,49.0,52.11,2553.39,Received,2026-02-03,2026-02-03,Supplier SKU: CON-1552,system,2026-01-20 11:29:02
16,6,PO-2026-0006,1541,TrekReady Hiking Boots,Camping,59,59.0,128.51,7582.09,Received,2026-02-03,2026-02-03,Supplier SKU: CON-1541,system,2026-01-20 11:29:02
17,7,PO-2026-0007,1511,Alpine Explorer Tent,Camping,21,21.0,310.17,6513.57,Received,2026-02-17,2026-02-17,Supplier SKU: CON-1511,system,2026-02-04 11:29:02
18,7,PO-2026-0007,1562,PowerBurner Camping Stove,Camping,28,25.0,147.55,4131.4,Backordered,2026-02-17,2026-02-17,Supplier SKU: CON-1562,system,2026-02-04 11:29:02
19,7,PO-2026-0007,1541,TrekReady Hiking Boots,Camping,73,63.0,128.51,9381.23,Backordered,2026-02-17,2026-02-17,Supplier SKU: CON-1541,system,2026-02-04 11:29:02
20,8,PO-2026-0008,1522,SummitClimber Backpack,Camping,32,,149.09,4770.88,Shipped,2026-03-26,,Supplier SKU: WOR-1522,system,2026-02-21 11:29:02
21,8,PO-2026-0008,3061,Professional Ski Helmet,Ski,22,,141.37,3110.14,Shipped,2026-03-26,,Supplier SKU: WOR-3061,system,2026-02-21 11:29:02
22,8,PO-2026-0008,1531,Summit Breeze Jacket,Camping,33,,98.42,3247.86,Shipped,2026-03-26,,Supplier SKU: WOR-1531,system,2026-02-21 11:29:02
23,9,PO-2025-0009,2061,Mixing Bowl,Kitchen,77,77.0,26.18,2015.86,Received,2026-01-11,2026-01-12,Supplier SKU: CON-2061,system,2025-12-27 11:29:02
