PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,5,Fabrikam,2026-01-29,2026-02-22,2026-02-25,Delivered,37720.72,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-01-29 12:18:28
2,PO-2026-0002,1,Contoso Camping Equipment,2026-02-25,2026-03-10,2026-03-11,Delivered,10046.15,Main Warehouse,buyer1,Emergency,Order for Camping products,system,2026-02-25 12:18:28
3,PO-2026-0003,5,Fabrikam,2026-02-10,2026-03-02,2026-03-05,Delivered,76628.28,Regional DC,supply_manager,High,Order for Ski products,system,2026-02-10 12:18:28
4,PO-2026-0004,2,Contoso Kitchen,2026-01-28,2026-02-10,2026-02-12,Delivered,43617.38,Main Warehouse,supply_manager,Low,Order for Kitchen products,system,2026-01-28 12:18:28
5,PO-2026-0005,2,Contoso Kitchen,2026-02-12,2026-02-22,2026-02-24,Delivered,16666.57,Regional DC,supply_manager,Low,Order for Kitchen products,system,2026-02-12 12:18:28
6,PO-2026-0006,1,Contoso Camping Equipment,2026-02-03,2026-02-19,2026-02-19,Delivered,1055.6,Regional DC,buyer2,Low,Order for Camping products,system,2026-02-03 12:18:28
7,PO-2026-0007,5,Fabrikam,2026-01-15,2026-02-05,2026-02-06,Delivered,57115.8,Regional DC,buyer1,Medium,Order for Ski products,system,2026-01-15 12:18:28
8,PO-2026-0008,5,Fabrikam,2026-02-14,2026-03-06,2026-03-06,Delivered,34807.36,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-02-14 12:18:28
9,PO-2026-0009,2,Contoso Kitchen,2026-03-09,2026-03-24,,Confirmed,23604.46,Backup Warehouse,supply_manager,High,Order for Kitchen products,system,2026-03-09 12:18:28
10,PO-2025-0010,3,Contoso Ski Equipment,2025-12-27,2026-01-11,2026-01-13,Delivered,23475.67,Regional DC,buyer1,Low,Order for Ski products,system,2025-12-27 12:18:28
11,PO-2026-0011,5,Fabrikam,2026-03-10,2026-04-05,,Sent,67487.88,Regional DC,buyer2,Medium,Order for Ski products,system,2026-03-10 12:18:28
12,PO-2025-0012,5,Fabrikam,2025-12-29,2026-01-21,2026-01-21,Delivered,23581.04,Backup Warehouse,buyer1,High,Order for Ski products,system,2025-12-29 12:18:28
13,PO-2025-0013,4,Worldwide Importers,2025-12-14,2026-01-11,2026-01-14,Delivered,6439.69,Main Warehouse,buyer1,Low,Multi-category order,system,2025-12-14 12:18:28
14,PO-2026-0014,5,Fabrikam,2026-01-22,2026-02-13,2026-02-16,Delivered,59632.24,Main Warehouse,buyer2,Low,Order for Ski products,system,2026-01-22 12:18:28
15,PO-2025-0015,4,Worldwide Importers,2025-12-26,2026-01-22,2026-01-24,Delivered,49791.48,Backup Warehouse,buyer2,Low,Multi-category order,system,2025-12-26 12:18:28
16,PO-2026-0016,1,Contoso Camping Equipment,2026-02-17,2026-03-05,2026-03-05,Delivered,12886.92,Main Warehouse,buyer2,Low,Order for Camping products,system,2026-02-17 12:18:28
17,PO-2026-0017,3,Contoso Ski Equipment,2026-01-28,2026-02-13,2026-02-15,Delivered,21957.24,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-01-28 12:18:28
18,PO-2025-0018,2,Contoso Kitchen,2025-12-28,2026-01-07,2026-01-09,Delivered,2563.24,Main Warehouse,buyer1,Low,Order for Kitchen products,system,2025-12-28 12:18:28
19,PO-2026-0019,4,Worldwide Importers,2026-01-19,2026-02-14,2026-02-17,Delivered,86875.93,Regional DC,buyer1,Medium,Multi-category order,system,2026-01-19 12:18:28
20,PO-2026-0020,4,Worldwide Importers,2026-01-22,2026-02-17,2026-03-03,Delivered,77608.91,Regional DC,buyer2,Low,Multi-category order,system,2026-01-22 12:18:28
21,PO-2026-0021,4,Worldwide Importers,2026-02-10,2026-03-11,,InTransit,73528.4,Regional DC,supply_manager,Low,Multi-category order,system,2026-02-10 12:18:28
22,PO-2026-0022,4,Worldwide Importers,2026-01-09,2026-02-09,2026-02-10,Delivered,51378.1,Main Warehouse,buyer2,Low,Multi-category order,system,2026-01-09 12:18:28
23,PO-2025-0023,4,Worldwide Importers,2025-12-22,2026-01-19,2026-01-21,Delivered,139703.05,Backup Warehouse,supply_manager,Low,Multi-category order,system,2025-12-22 12:18:28
24,PO-2026-0024,2,Contoso Kitchen,2026-02-16,2026-02-26,2026-02-26,Delivered,1983.79,Main Warehouse,buyer2,Low,Order for Kitchen products,system,2026-02-16 12:18:28
25,PO-2025-0025,5,Fabrikam,2025-12-16,2026-01-04,2026-01-07,Delivered,25953.08,Main Warehouse,supply_manager,Low,Order for Ski products,system,2025-12-16 12:18:28
26,PO-2026-0026,5,Fabrikam,2026-02-28,2026-03-24,,Sent,48846.44,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-02-28 12:18:28
27,PO-2026-0027,1,Contoso Camping Equipment,2026-02-18,2026-03-08,2026-03-11,Delivered,10046.17,Regional DC,buyer1,Emergency,Order for Camping products,system,2026-02-18 12:18:28
28,PO-2025-0028,5,Fabrikam,2025-12-14,2026-01-08,2026-01-10,Delivered,56993.56,Regional DC,buyer1,Low,Order for Ski products,system,2025-12-14 12:18:28
29,PO-2026-0029,5,Fabrikam,2026-01-27,2026-02-21,2026-02-24,Delivered,10438.56,Regional DC,supply_manager,High,Order for Ski products,system,2026-01-27 12:18:28
30,PO-2026-0030,3,Contoso Ski Equipment,2026-03-06,2026-03-20,,Sent,10578.6,Backup Warehouse,supply_manager,Low,Order for Ski products,system,2026-03-06 12:18:28
31,PO-2026-0031,5,Fabrikam,2026-02-17,2026-03-09,2026-03-10,Delivered,56966.04,Backup Warehouse,buyer1,Low,Order for Ski products,system,2026-02-17 12:18:28
32,PO-2025-0032,1,Contoso Camping Equipment,2025-12-28,2026-01-13,2026-01-14,Delivered,20381.91,Backup Warehouse,buyer2,Low,Order for Camping products,system,2025-12-28 12:18:28
33,PO-2026-0033,5,Fabrikam,2026-02-10,2026-03-07,2026-03-12,Delivered,63624.84,Backup Warehouse,buyer1,Low,Order for Ski products,system,2026-02-10 12:18:28
34,PO-2025-0034,1,Contoso Camping Equipment,2025-12-19,2026-01-06,2026-01-08,Delivered,15302.4,Backup Warehouse,supply_manager,Medium,Order for Camping products,system,2025-12-19 12:18:28
35,PO-2026-0035,2,Contoso Kitchen,2026-01-15,2026-01-23,2026-01-26,Delivered,8454.72,Backup Warehouse,buyer1,Low,Order for Kitchen products,system,2026-01-15 12:18:28
36,PO-2026-0036,4,Worldwide Importers,2026-02-19,2026-03-17,,InTransit,64987.47,Main Warehouse,supply_manager,Medium,Multi-category order,system,2026-02-19 12:18:28
37,PO-2026-0037,4,Worldwide Importers,2026-01-21,2026-02-16,2026-02-19,Delivered,100447.18,Main Warehouse,buyer2,Low,Multi-category order,system,2026-01-21 12:18:28
38,PO-2026-0038,5,Fabrikam,2026-01-25,2026-02-17,2026-02-19,Delivered,32521.28,Backup Warehouse,buyer1,Medium,Order for Ski products,system,2026-01-25 12:18:28
39,PO-2026-0039,3,Contoso Ski Equipment,2026-03-10,2026-03-20,,Confirmed,11829.64,Regional DC,buyer1,Low,Order for Ski products,system,2026-03-10 12:18:28
40,PO-2026-0040,2,Contoso Kitchen,2026-02-21,2026-03-06,2026-03-09,Delivered,11539.16,Regional DC,supply_manager,Medium,Order for Kitchen products,system,2026-02-21 12:18:28
41,PO-2026-0041,1,Contoso Camping Equipment,2026-02-13,2026-02-27,2026-03-12,Delivered,23163.4,Regional DC,buyer2,Low,Order for Camping products,system,2026-02-13 12:18:28
42,PO-2026-0042,5,Fabrikam,2026-01-10,2026-01-31,2026-01-31,Delivered,78546.4,Main Warehouse,buyer1,High,Order for Ski products,system,2026-01-10 12:18:28
43,PO-2026-0043,3,Contoso Ski Equipment,2026-02-20,2026-03-03,2026-03-06,Delivered,19016.0,Backup Warehouse,supply_manager,Low,Order for Ski products,system,2026-02-20 12:18:28
44,PO-2025-0044,2,Contoso Kitchen,2025-12-15,2025-12-30,2026-01-01,Delivered,161.1,Backup Warehouse,supply_manager,Low,Order for Kitchen products,system,2025-12-15 12:18:28
45,PO-2026-0045,5,Fabrikam,2026-03-04,2026-03-28,,Sent,68750.48,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-03-04 12:18:28
46,PO-2026-0046,4,Worldwide Importers,2026-02-09,2026-03-12,,Confirmed,78061.67,Backup Warehouse,buyer1,Emergency,Multi-category order,system,2026-02-09 12:18:28
47,PO-2026-0047,2,Contoso Kitchen,2026-02-06,2026-02-15,,InTransit,17966.05,Regional DC,buyer1,Low,Order for Kitchen products,system,2026-02-06 12:18:28
48,PO-2026-0048,1,Contoso Camping Equipment,2026-03-03,2026-03-19,,Confirmed,27395.3,Regional DC,supply_manager,Low,Order for Camping products,system,2026-03-03 12:18:28
49,PO-2026-0049,5,Fabrikam,2026-03-04,2026-03-30,,Sent,42928.4,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-03-04 12:18:28
50,PO-2025-0050,1,Contoso Camping Equipment,2025-12-24,2026-01-10,2026-01-11,Delivered,15743.37,Main Warehouse,supply_manager,Low,Order for Camping products,system,2025-12-24 12:18:28
51,PO-2026-0051,1,Contoso Camping Equipment,2026-01-10,2026-01-24,2026-01-26,Delivered,8464.64,Backup Warehouse,supply_manager,Medium,Order for Camping products,system,2026-01-10 12:18:28
52,PO-2026-0052,2,Contoso Kitchen,2026-03-10,2026-03-23,,Confirmed,3066.42,Backup Warehouse,buyer1,Medium,Order for Kitchen products,system,2026-03-10 12:18:28
53,PO-2026-0053,5,Fabrikam,2026-01-04,2026-01-30,2026-02-01,Delivered,65365.68,Main Warehouse,buyer2,Low,Order for Ski products,system,2026-01-04 12:18:28
54,PO-2026-0054,3,Contoso Ski Equipment,2026-01-14,2026-01-29,2026-01-31,Delivered,10598.45,Regional DC,supply_manager,Low,Order for Ski products,system,2026-01-14 12:18:28
55,PO-2026-0055,1,Contoso Camping Equipment,2026-01-25,2026-02-10,2026-02-13,Delivered,12657.35,Backup Warehouse,buyer1,Low,Order for Camping products,system,2026-01-25 12:18:28
56,PO-2026-0056,3,Contoso Ski Equipment,2026-02-12,2026-02-25,2026-02-25,Delivered,15819.5,Backup Warehouse,buyer2,Emergency,Order for Ski products,system,2026-02-12 12:18:28
57,PO-2026-0057,1,Contoso Camping Equipment,2026-02-16,2026-03-03,2026-03-06,Delivered,350.41,Backup Warehouse,buyer2,Low,Order for Camping products,system,2026-02-16 12:18:28
58,PO-2026-0058,4,Worldwide Importers,2026-03-10,2026-04-05,,Confirmed,133586.81,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-03-10 12:18:28
59,PO-2025-0059,5,Fabrikam,2025-12-24,2026-01-14,2026-01-16,Delivered,42962.52,Regional DC,buyer1,Low,Order for Ski products,system,2025-12-24 12:18:28
60,PO-2026-0060,3,Contoso Ski Equipment,2026-01-09,2026-01-21,2026-01-22,Delivered,3359.11,Regional DC,buyer2,Medium,Order for Ski products,system,2026-01-09 12:18:28
61,PO-2026-0061,3,Contoso Ski Equipment,2026-02-16,2026-03-01,2026-03-02,Delivered,20486.78,Backup Warehouse,buyer1,Medium,Order for Ski products,system,2026-02-16 12:18:28
62,PO-2025-0062,4,Worldwide Importers,2025-12-30,2026-01-31,2026-01-31,Delivered,113864.46,Backup Warehouse,supply_manager,Medium,Multi-category order,system,2025-12-30 12:18:28
63,PO-2025-0063,3,Contoso Ski Equipment,2025-12-30,2026-01-16,2026-01-17,Delivered,4693.14,Backup Warehouse,buyer1,Low,Order for Ski products,system,2025-12-30 12:18:28
64,PO-2026-0064,5,Fabrikam,2026-02-24,2026-03-15,,InTransit,5799.2,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-02-24 12:18:28
65,PO-2025-0065,5,Fabrikam,2025-12-15,2026-01-04,2026-01-04,Delivered,69735.72,Main Warehouse,supply_manager,Medium,Order for Ski products,system,2025-12-15 12:18:28
66,PO-2026-0066,1,Contoso Camping Equipment,2026-01-04,2026-01-19,2026-01-21,Delivered,535.29,Backup Warehouse,supply_manager,Low,Order for Camping products,system,2026-01-04 12:18:28
67,PO-2025-0067,5,Fabrikam,2025-12-12,2026-01-06,2026-01-06,Delivered,36867.92,Main Warehouse,buyer1,Low,Order for Ski products,system,2025-12-12 12:18:28
68,PO-2026-0068,3,Contoso Ski Equipment,2026-02-07,2026-02-21,2026-02-22,Delivered,92106.36,Regional DC,buyer2,Low,Order for Ski products,system,2026-02-07 12:18:28
69,PO-2026-0069,2,Contoso Kitchen,2026-01-09,2026-01-23,2026-01-26,Delivered,11239.86,Backup Warehouse,buyer2,Low,Order for Kitchen products,system,2026-01-09 12:18:28
70,PO-2026-0070,3,Contoso Ski Equipment,2026-02-08,2026-02-18,2026-02-20,Delivered,4493.25,Regional DC,supply_manager,Low,Order for Ski products,system,2026-02-08 12:18:28
71,PO-2025-0071,5,Fabrikam,2025-12-25,2026-01-14,2026-01-14,Delivered,48085.48,Main Warehouse,supply_manager,Medium,Order for Ski products,system,2025-12-25 12:18:28
72,PO-2025-0072,5,Fabrikam,2025-12-16,2026-01-10,2026-01-12,Delivered,63314.6,Backup Warehouse,buyer1,Low,Order for Ski products,system,2025-12-16 12:18:28
73,PO-2026-0073,3,Contoso Ski Equipment,2026-02-17,2026-02-27,2026-02-27,Delivered,6872.8,Regional DC,buyer2,Low,Order for Ski products,system,2026-02-17 12:18:28
74,PO-2026-0074,5,Fabrikam,2026-01-04,2026-01-25,2026-01-27,Delivered,66009.04,Backup Warehouse,buyer1,Low,Order for Ski products,system,2026-01-04 12:18:28
75,PO-2026-0075,1,Contoso Camping Equipment,2026-02-04,2026-02-20,2026-03-06,Delivered,13675.72,Regional DC,supply_manager,Medium,Order for Camping products,system,2026-02-04 12:18:28
76,PO-2026-0076,2,Contoso Kitchen,2026-03-09,2026-03-19,,InTransit,5337.94,Main Warehouse,buyer2,Low,Order for Kitchen products,system,2026-03-09 12:18:28
77,PO-2025-0077,3,Contoso Ski Equipment,2025-12-19,2025-12-30,2025-12-31,Delivered,10291.34,Regional DC,supply_manager,Medium,Order for Ski products,system,2025-12-19 12:18:28
78,PO-2026-0078,5,Fabrikam,2026-03-10,2026-04-04,,Sent,75979.56,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-03-10 12:18:28
79,PO-2026-0079,2,Contoso Kitchen,2026-01-07,2026-01-16,2026-01-19,Delivered,4671.34,Backup Warehouse,supply_manager,Emergency,Order for Kitchen products,system,2026-01-07 12:18:28
80,PO-2026-0080,4,Worldwide Importers,2026-01-20,2026-02-17,2026-02-24,Delivered,100370.87,Main Warehouse,buyer2,High,Multi-category order,system,2026-01-20 12:18:28
81,PO-2026-0081,5,Fabrikam,2026-02-20,2026-03-12,,InTransit,63806.24,Regional DC,buyer2,Medium,Order for Ski products,system,2026-02-20 12:18:28
82,PO-2026-0082,4,Worldwide Importers,2026-02-21,2026-03-23,,InTransit,133501.49,Main Warehouse,buyer2,Medium,Multi-category order,system,2026-02-21 12:18:28
