InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-7cc3710a-ac9e-4067-8d6a-cef33c737ddb,ID200000,CID-001,7cc3710a-ac9e-4067-8d6a-cef33c737ddb,2021-03-20,2021-04-19,2247.88,134.88,2382.76,Issued,SampleGen
INV-ce1f7913-6edd-40c9-967e-960faa6f036e,ID200001,CID-001,ce1f7913-6edd-40c9-967e-960faa6f036e,2021-04-16,2021-05-16,757.78,45.48,803.26,Issued,SampleGen
INV-b806dac3-5a1e-42a2-8163-48991488ecc1,ID200002,CID-001,b806dac3-5a1e-42a2-8163-48991488ecc1,2021-05-22,2021-06-21,451.88,27.12,479.0,Issued,SampleGen
INV-d5ab4e9c-def5-4378-be02-6f0cf7deefe8,ID200003,CID-001,d5ab4e9c-def5-4378-be02-6f0cf7deefe8,2021-07-08,2021-08-07,1659.72,99.6,1759.32,Issued,SampleGen
INV-adf304c0-6644-4b14-9b10-1a1b63f9df20,ID200004,CID-001,adf304c0-6644-4b14-9b10-1a1b63f9df20,2021-08-19,2021-09-18,795.86,47.76,843.62,Issued,SampleGen
INV-ba8d78df-b4cd-45ff-a1ce-f02a17a6ff73,ID200005,CID-001,ba8d78df-b4cd-45ff-a1ce-f02a17a6ff73,2022-01-19,2022-02-18,115.96,6.96,122.92,Issued,SampleGen
INV-fee483a4-4580-4db1-9213-7b90e339a454,ID200006,CID-001,fee483a4-4580-4db1-9213-7b90e339a454,2022-03-04,2022-04-03,4327.74,259.68,4587.42,Issued,SampleGen
INV-7e11663b-5df7-477e-9a93-6043e551b7d6,ID200007,CID-001,7e11663b-5df7-477e-9a93-6043e551b7d6,2022-05-06,2022-06-05,3263.78,195.84,3459.62,Issued,SampleGen
INV-d38fda04-b03c-435b-a155-8cca1d561dab,ID200008,CID-001,d38fda04-b03c-435b-a155-8cca1d561dab,2022-06-21,2022-07-21,1821.72,109.32,1931.04,Issued,SampleGen
INV-3da79077-0a6e-469a-8f36-5f26570ceacd,ID200009,CID-001,3da79077-0a6e-469a-8f36-5f26570ceacd,2022-07-26,2022-08-25,3959.8,237.6,4197.4,Issued,SampleGen
INV-40eca29c-27ec-4081-a87e-690096e5f02e,ID200010,CID-001,40eca29c-27ec-4081-a87e-690096e5f02e,2022-08-11,2022-09-10,2869.84,172.2,3042.04,Issued,SampleGen
INV-86282655-18bf-4602-8deb-f1e204eb36e3,ID200011,CID-001,86282655-18bf-4602-8deb-f1e204eb36e3,2022-10-28,2022-11-27,2463.92,147.84,2611.76,Issued,SampleGen
INV-849ae2a4-59dd-4312-b815-c9a50a894292,ID200012,CID-001,849ae2a4-59dd-4312-b815-c9a50a894292,2022-11-16,2022-12-16,629.8,37.8,667.6,Issued,SampleGen
INV-c048350b-e803-482d-8990-29cda5529f26,ID200013,CID-001,c048350b-e803-482d-8990-29cda5529f26,2023-11-29,2023-12-29,2167.84,130.08,2297.92,Issued,SampleGen
INV-ec9534cf-b3c1-40e0-9a0c-2afe5cd72488,ID200014,CID-001,ec9534cf-b3c1-40e0-9a0c-2afe5cd72488,2023-12-23,2024-01-22,983.84,59.04,1042.88,Issued,SampleGen
INV-90c31e29-5385-48a0-81fe-174381904e2e,ID200015,CID-001,90c31e29-5385-48a0-81fe-174381904e2e,2024-04-27,2024-05-27,5383.84,323.04,5706.88,Issued,SampleGen
INV-e7e8c69d-529f-4a95-90b6-ccf11183039f,ID200016,CID-001,e7e8c69d-529f-4a95-90b6-ccf11183039f,2024-05-12,2024-06-11,2059.86,123.6,2183.46,Issued,SampleGen
