PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
90ab7be6-bcbb-4366-b102-7fe1dab70aed,INV-de4955b4-9b1a-4b93-ba34-342897668b25,CID-001,2021-05-22,2569.32,MC,Completed,SampleGen
a04e66b2-0e17-486e-ac7d-44c24ee836e6,INV-b26a82f5-3f9e-433e-9825-f558f712c6f9,CID-001,2021-08-18,394.2,PayPal,Completed,SampleGen
af89975f-04f9-46be-aa36-d118029ce06e,INV-87ec40e5-2728-4a17-bbad-427a5dcedebd,CID-001,2021-09-01,2141.02,VISA,Completed,SampleGen
be64ed1b-2d50-4396-b62f-df1bead0f0a7,INV-a345ec26-ccdb-4b6e-a564-b608400dcca1,CID-001,2021-12-18,4379.66,VISA,Completed,SampleGen
5f0c6e22-fe6c-4520-9cb9-ee43ef5bd619,INV-cf56af2b-2323-46a6-b292-81b675798f31,CID-001,2022-02-16,1538.9,VISA,Completed,SampleGen
3847b9fe-b9c2-4507-ad8c-db654ffea759,INV-1c2472b7-ee9b-442c-8f06-ea53d7331a4e,CID-001,2022-05-30,2505.58,VISA,Completed,SampleGen
1f89e1e9-71f5-4999-ae3a-e19ee892d9a8,INV-a41a84b9-beda-412d-a53b-b12ccb057d02,CID-001,2022-06-14,1144.5,MC,Completed,SampleGen
6d1c574a-cb4c-4f1b-92e1-54e08ef38651,INV-115bf041-1654-426e-b18a-fb472cd17c91,CID-001,2022-07-07,1447.7,MC,Completed,SampleGen
e3265417-596a-453e-acc7-4e093af6da03,INV-0164cc85-65ba-4787-87ca-dbe4f55784fa,CID-001,2022-08-13,498.1,AmEx,Completed,SampleGen
273090e8-2239-4739-8538-4820177972b6,INV-b84f7e37-56fd-40af-a01b-266d50b90145,CID-001,2022-09-16,722.74,AmEx,Completed,SampleGen
6e9ada33-a5ce-4e39-a96d-23f38769b94d,INV-f6e77542-15ae-4524-8c54-7694c36cd397,CID-001,2022-12-18,953.86,MC,Completed,SampleGen
10c3f725-be89-49ce-9445-50617a679176,INV-648cbff0-d35a-4cf0-bd94-46d146816b7a,CID-001,2023-10-24,699.42,VISA,Completed,SampleGen
1befd025-43fe-4ff0-be97-f12eddb708e5,INV-0b24f5bb-d30c-466d-b852-e4dba16d7464,CID-001,2023-11-25,415.36,AmEx,Completed,SampleGen
658143f4-31ca-4122-ad50-538049e00900,INV-764e9a41-bc06-4401-a599-0f42d33a0d85,CID-001,2023-12-23,1042.88,VISA,Completed,SampleGen
bd58d868-b0dc-4820-8cc3-aff24331effa,INV-0d7ba2c8-b834-4bb9-921c-1b38f4f82339,CID-001,2024-07-29,1971.46,AmEx,Completed,SampleGen
171d06b6-5063-41af-bb73-3d8c475cf207,INV-2ae73928-5598-4849-9f5b-b9c271247395,CID-001,2024-09-05,2187.68,VISA,Completed,SampleGen
c107c1af-c5d9-46e3-a542-a207c63eafcc,INV-c1a9c50f-8d4b-45b9-ae50-d90127d020d9,CID-001,2024-10-18,1984.16,MC,Completed,SampleGen
554e6529-bcb8-4195-99d0-6e36ff14fa33,INV-26509ec7-2b36-43b4-ba01-13e1e4ec306f,CID-001,2024-11-04,1265.44,VISA,Completed,SampleGen
