InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-f7ea1753-f081-412d-a877-5992042b6324,IS300000,CID-001,f7ea1753-f081-412d-a877-5992042b6324,2022-04-03,2022-05-03,2219.95,194.25,2414.2,Paid,SampleGen
INV-6790a668-a4a0-48dc-a7a1-21d84c3d0be1,IS300001,CID-001,6790a668-a4a0-48dc-a7a1-21d84c3d0be1,2022-03-06,2022-04-05,539.96,47.25,587.21,Paid,SampleGen
INV-a2d9894f-d090-408d-9186-5e4d51e5e05a,IS300002,CID-001,a2d9894f-d090-408d-9186-5e4d51e5e05a,2023-10-08,2023-11-07,279.98,24.5,304.48,Paid,SampleGen
INV-9887588b-3678-45d2-a63d-424ba4e62646,IS300003,CID-001,9887588b-3678-45d2-a63d-424ba4e62646,2021-02-07,2021-03-09,1549.98,135.62,1685.6,Paid,SampleGen
INV-b6e1866d-4a4a-4cc7-8bc6-434c6ac9700a,IS300004,CID-002,b6e1866d-4a4a-4cc7-8bc6-434c6ac9700a,2021-08-18,2021-09-17,329.97,28.87,358.84,Paid,SampleGen
INV-08849dda-e6c2-449c-b494-22b02f168642,IS300005,CID-003,08849dda-e6c2-449c-b494-22b02f168642,2022-12-05,2023-01-04,3659.93,320.25,3980.18,Paid,SampleGen
INV-ca8ce160-eab1-40b4-8845-e5f01e3c8401,IS300006,CID-003,ca8ce160-eab1-40b4-8845-e5f01e3c8401,2023-09-01,2023-10-01,3079.94,269.49,3349.43,Paid,SampleGen
INV-a0a077e2-560c-40bb-87f7-2254b9785da6,IS300007,CID-003,a0a077e2-560c-40bb-87f7-2254b9785da6,2023-02-04,2023-03-06,649.97,56.87,706.84,Paid,SampleGen
INV-279a9306-e9db-42ce-a0b1-0c15d92f9847,IS300008,CID-004,279a9306-e9db-42ce-a0b1-0c15d92f9847,2021-10-27,2021-11-26,1479.95,129.49,1609.44,Paid,SampleGen
INV-149c7c12-6910-4f68-9205-41fc67d817bd,IS300009,CID-005,149c7c12-6910-4f68-9205-41fc67d817bd,2021-06-22,2021-07-22,189.99,16.62,206.61,Paid,SampleGen
INV-50b88aca-36d7-4582-abea-55c26ef018d4,IS300010,CID-005,50b88aca-36d7-4582-abea-55c26ef018d4,2021-06-09,2021-07-09,179.98,15.75,195.73,Paid,SampleGen
INV-58bb5a5f-aad2-487c-99af-ec78d2be0596,IS300011,CID-005,58bb5a5f-aad2-487c-99af-ec78d2be0596,2022-12-12,2023-01-11,159.98,14.0,173.98,Paid,SampleGen
INV-ef7394db-82cd-4113-8aad-314ab0a13987,IS300012,CID-005,ef7394db-82cd-4113-8aad-314ab0a13987,2023-10-07,2023-11-06,4599.93,402.5,5002.43,Paid,SampleGen
INV-e54fc273-355c-4e93-ac1f-e845cb243842,IS300013,CID-006,e54fc273-355c-4e93-ac1f-e845cb243842,2021-09-12,2021-10-12,1169.97,102.37,1272.34,Paid,SampleGen
INV-feedf92f-4b8e-4f50-9b43-884aa8916a0d,IS300014,CID-006,feedf92f-4b8e-4f50-9b43-884aa8916a0d,2025-12-14,2026-01-13,2649.95,231.87,2881.82,Paid,SampleGen
INV-43f9b523-042a-4806-ab43-94f92e31699f,IS300015,CID-006,43f9b523-042a-4806-ab43-94f92e31699f,2025-02-25,2025-03-27,1399.97,122.5,1522.47,Paid,SampleGen
INV-e21ab343-c6e2-42c6-8f70-50fc3ea5e503,IS300016,CID-006,e21ab343-c6e2-42c6-8f70-50fc3ea5e503,2023-05-01,2023-05-31,379.98,33.25,413.23,Paid,SampleGen
INV-adb8da3d-a53e-49fa-b89f-f5a6249f9f5b,IS300017,CID-006,adb8da3d-a53e-49fa-b89f-f5a6249f9f5b,2023-05-21,2023-06-20,3339.95,292.25,3632.2,Paid,SampleGen
INV-ed08929f-b934-46b7-9ac3-be4b0ce1ab77,IS300018,CID-007,ed08929f-b934-46b7-9ac3-be4b0ce1ab77,2023-01-07,2023-02-06,2209.93,193.37,2403.3,Paid,SampleGen
INV-7c8c29d1-2831-47a4-8d43-e3c815ef83bb,IS300019,CID-007,7c8c29d1-2831-47a4-8d43-e3c815ef83bb,2024-02-13,2024-03-14,809.95,70.87,880.82,Paid,SampleGen
