PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-9c38fdd5-bc4e-4272-be70-c88f5a158276,INV-9c38fdd5-bc4e-4272-be70-c88f5a158276,CID-001,2024-12-06,663.34,Discover,Completed,SampleGen
PAY-c9f77f95-0404-4603-8322-0e51a92185f3,INV-c9f77f95-0404-4603-8322-0e51a92185f3,CID-001,2025-07-04,130.49,AmEx,Completed,SampleGen
PAY-d885d7c7-eb7a-4d12-9cfb-2bfb684ce088,INV-d885d7c7-eb7a-4d12-9cfb-2bfb684ce088,CID-001,2024-11-04,1631.21,VISA,Completed,SampleGen
PAY-a320b0f0-b88f-488d-8e93-30dd2452c19b,INV-a320b0f0-b88f-488d-8e93-30dd2452c19b,CID-001,2025-04-25,652.48,VISA,Completed,SampleGen
PAY-22c9107f-9b31-43d4-86d6-aa2f72e094ad,INV-22c9107f-9b31-43d4-86d6-aa2f72e094ad,CID-001,2024-06-08,260.97,VISA,Completed,SampleGen
PAY-f39c94c3-8539-4a3f-a65c-beaaa3d72c00,INV-f39c94c3-8539-4a3f-a65c-beaaa3d72c00,CID-002,2023-10-15,2773.07,VISA,Completed,SampleGen
PAY-422179b4-fafc-4056-b444-e1a1b53259d6,INV-422179b4-fafc-4056-b444-e1a1b53259d6,CID-003,2023-03-10,1913.96,MC,Completed,SampleGen
PAY-70adac10-f157-4c18-95c9-30126976f698,INV-70adac10-f157-4c18-95c9-30126976f698,CID-003,2024-02-17,163.09,AmEx,Completed,SampleGen
PAY-f5c3420a-16e9-438d-ae24-047928509564,INV-f5c3420a-16e9-438d-ae24-047928509564,CID-003,2022-07-27,1413.73,PayPal,Completed,SampleGen
PAY-aafbfc3c-aa64-4614-ad04-ed6b1fe82d60,INV-aafbfc3c-aa64-4614-ad04-ed6b1fe82d60,CID-003,2025-10-11,1277.78,VISA,Completed,SampleGen
PAY-2acd14e6-1688-488d-9ec8-f45fdb47320c,INV-2acd14e6-1688-488d-9ec8-f45fdb47320c,CID-004,2024-03-06,434.97,PayPal,Completed,SampleGen
PAY-6d80302d-b744-4989-a450-67e4671ee909,INV-6d80302d-b744-4989-a450-67e4671ee909,CID-005,2025-01-03,576.35,AmEx,Completed,SampleGen
PAY-13c3f887-079e-4649-9563-135ac2c70f6c,INV-13c3f887-079e-4649-9563-135ac2c70f6c,CID-005,2024-10-23,2261.95,PayPal,Completed,SampleGen
PAY-744ca3e0-87bb-4e9b-88a3-e01a629662b7,INV-744ca3e0-87bb-4e9b-88a3-e01a629662b7,CID-005,2021-12-08,2185.82,MC,Completed,SampleGen
PAY-d5569d8a-6c4b-446a-aef9-056c1de5a0d8,INV-d5569d8a-6c4b-446a-aef9-056c1de5a0d8,CID-005,2022-11-04,652.48,PayPal,Completed,SampleGen
PAY-f84df82a-3392-4d6d-b02b-8406f10d069c,INV-f84df82a-3392-4d6d-b02b-8406f10d069c,CID-006,2024-08-31,260.98,PayPal,Completed,SampleGen
PAY-087db59c-05be-4fd0-a1dd-68e8a46f55eb,INV-087db59c-05be-4fd0-a1dd-68e8a46f55eb,CID-006,2021-09-21,1739.94,PayPal,Completed,SampleGen
PAY-60f131ee-29b0-46aa-877f-bfcaec1bbffa,INV-60f131ee-29b0-46aa-877f-bfcaec1bbffa,CID-006,2021-09-13,1413.74,Discover,Completed,SampleGen
PAY-c0cb9df1-8b88-4697-b840-ecf0dbcdb723,INV-c0cb9df1-8b88-4697-b840-ecf0dbcdb723,CID-006,2021-10-17,451.29,VISA,Completed,SampleGen
PAY-e26ab9d2-42ee-4412-9947-6c91ede156e0,INV-e26ab9d2-42ee-4412-9947-6c91ede156e0,CID-006,2023-09-10,543.73,MC,Completed,SampleGen
PAY-3d046683-97b9-4688-818f-95a63757c4b9,INV-3d046683-97b9-4688-818f-95a63757c4b9,CID-006,2024-03-06,956.97,AmEx,Completed,SampleGen
PAY-ab64f848-9b02-472f-954d-6d121872734d,INV-ab64f848-9b02-472f-954d-6d121872734d,CID-006,2026-01-08,1413.74,VISA,Completed,SampleGen
PAY-bcdeb85b-d8df-4981-9b84-f0f8fe8d4176,INV-bcdeb85b-d8df-4981-9b84-f0f8fe8d4176,CID-007,2024-02-24,973.28,PayPal,Completed,SampleGen
PAY-2a31deef-3483-4cd7-95df-8b61f9bdd97c,INV-2a31deef-3483-4cd7-95df-8b61f9bdd97c,CID-008,2024-01-14,1739.97,AmEx,Completed,SampleGen
PAY-e97e59cf-a468-4b1b-8797-316167dfc611,INV-e97e59cf-a468-4b1b-8797-316167dfc611,CID-008,2025-05-09,2022.7,MC,Completed,SampleGen
PAY-f5c97b78-9072-4437-85f7-5bbd86b0a401,INV-f5c97b78-9072-4437-85f7-5bbd86b0a401,CID-008,2022-09-30,1413.74,MC,Completed,SampleGen
PAY-37034ffd-597c-420f-8604-2b137cdeb5ad,INV-37034ffd-597c-420f-8604-2b137cdeb5ad,CID-009,2023-04-15,3882.3,Discover,Completed,SampleGen
PAY-51736659-12ab-4b48-8e8f-f157c87275e3,INV-51736659-12ab-4b48-8e8f-f157c87275e3,CID-010,2023-11-08,2240.22,VISA,Completed,SampleGen
PAY-31972bdf-d510-41fc-aa72-e355b58bd051,INV-31972bdf-d510-41fc-aa72-e355b58bd051,CID-010,2024-08-13,2066.21,AmEx,Completed,SampleGen
PAY-4b6a7c9c-c82c-416c-af11-7030fb8c7007,INV-4b6a7c9c-c82c-416c-af11-7030fb8c7007,CID-010,2023-07-28,1098.32,VISA,Completed,SampleGen
PAY-1db55b28-a889-4072-8d68-8d69e96298c6,INV-1db55b28-a889-4072-8d68-8d69e96298c6,CID-010,2021-10-02,1729.08,Discover,Completed,SampleGen
PAY-6afaf30e-3b29-46d9-83eb-e763ed60063c,INV-6afaf30e-3b29-46d9-83eb-e763ed60063c,CID-010,2024-07-13,2087.94,MC,Completed,SampleGen
PAY-1e2e17dd-606d-4b11-8240-9e5fb906b505,INV-1e2e17dd-606d-4b11-8240-9e5fb906b505,CID-011,2023-05-07,543.73,AmEx,Completed,SampleGen
PAY-8388d77f-f078-4b06-9713-52a0c31de297,INV-8388d77f-f078-4b06-9713-52a0c31de297,CID-011,2022-04-21,347.98,VISA,Completed,SampleGen
PAY-1c288b8d-c5e1-4cbe-a895-1e5052a02e23,INV-1c288b8d-c5e1-4cbe-a895-1e5052a02e23,CID-012,2023-09-21,1620.34,Discover,Completed,SampleGen
PAY-c8f3ec04-66c3-4792-a5d0-0d57089e64de,INV-c8f3ec04-66c3-4792-a5d0-0d57089e64de,CID-013,2022-11-14,2773.06,VISA,Completed,SampleGen
PAY-b495a04d-e337-4756-8db2-2670883305f6,INV-b495a04d-e337-4756-8db2-2670883305f6,CID-013,2021-04-12,1718.21,AmEx,Completed,SampleGen
PAY-683a4cca-357a-499f-baa8-6d2bca416d6d,INV-683a4cca-357a-499f-baa8-6d2bca416d6d,CID-013,2025-11-18,761.21,PayPal,Completed,SampleGen
PAY-c591c28b-b45e-4914-9334-1de9a353551f,INV-c591c28b-b45e-4914-9334-1de9a353551f,CID-013,2022-10-01,217.49,VISA,Completed,SampleGen
PAY-2e6e53d5-05f0-402d-ae7e-b1b15caec648,INV-2e6e53d5-05f0-402d-ae7e-b1b15caec648,CID-014,2022-06-28,2936.2,AmEx,Completed,SampleGen
PAY-3edf1b29-b35e-4ea5-84af-b32c4a3d587f,INV-3edf1b29-b35e-4ea5-84af-b32c4a3d587f,CID-015,2021-05-23,2479.44,AmEx,Completed,SampleGen
PAY-655d7ebf-c352-4ba4-86ef-74096ba2afaf,INV-655d7ebf-c352-4ba4-86ef-74096ba2afaf,CID-016,2024-03-29,4741.43,PayPal,Completed,SampleGen
PAY-1b6849d4-ab98-4076-ae0b-2da58ad6a08a,INV-1b6849d4-ab98-4076-ae0b-2da58ad6a08a,CID-016,2025-08-22,1141.84,AmEx,Completed,SampleGen
PAY-7fa5a765-1d75-46ca-aa97-976fdeb708d9,INV-7fa5a765-1d75-46ca-aa97-976fdeb708d9,CID-017,2024-05-03,2435.94,VISA,Completed,SampleGen
PAY-043f4be8-0bba-4cc4-ab64-104fbd4a1323,INV-043f4be8-0bba-4cc4-ab64-104fbd4a1323,CID-017,2024-03-26,413.23,PayPal,Completed,SampleGen
PAY-f405d02f-4909-47a8-b6ce-7f4c4b5f5f0d,INV-f405d02f-4909-47a8-b6ce-7f4c4b5f5f0d,CID-017,2022-12-05,1478.93,MC,Completed,SampleGen
PAY-e9492b6d-372d-46d9-821c-5aad99ca1aa1,INV-e9492b6d-372d-46d9-821c-5aad99ca1aa1,CID-017,2023-06-11,1272.32,VISA,Completed,SampleGen
PAY-691c3e43-1579-41fb-9fee-14436813e7ca,INV-691c3e43-1579-41fb-9fee-14436813e7ca,CID-017,2022-08-14,500.23,PayPal,Completed,SampleGen
PAY-c0d54898-c647-40b8-92dd-a6976981f3ae,INV-c0d54898-c647-40b8-92dd-a6976981f3ae,CID-017,2023-08-20,173.98,MC,Completed,SampleGen
PAY-ad11e5ea-600b-4a7d-b2c7-8d3efe0e11eb,INV-ad11e5ea-600b-4a7d-b2c7-8d3efe0e11eb,CID-017,2026-01-09,3208.07,PayPal,Completed,SampleGen
PAY-27db712b-0459-472b-ad36-20089bbcc8dc,INV-27db712b-0459-472b-ad36-20089bbcc8dc,CID-018,2024-01-08,489.36,Discover,Completed,SampleGen
PAY-5f58da95-c06e-49c4-a8a7-0012417840e8,INV-5f58da95-c06e-49c4-a8a7-0012417840e8,CID-018,2022-12-07,1794.35,VISA,Completed,SampleGen
PAY-87cd360a-f74a-4aef-b992-ba37aa4c0740,INV-87cd360a-f74a-4aef-b992-ba37aa4c0740,CID-019,2022-03-29,2827.48,AmEx,Completed,SampleGen
PAY-c9dd9b3c-c05a-4292-8592-7b5f1caed724,INV-c9dd9b3c-c05a-4292-8592-7b5f1caed724,CID-019,2024-11-11,565.48,AmEx,Completed,SampleGen
PAY-bba825cb-985d-43c2-bf6e-d287c621ec71,INV-bba825cb-985d-43c2-bf6e-d287c621ec71,CID-019,2025-10-30,271.85,MC,Completed,SampleGen
PAY-1688f970-9d49-4c25-9090-273e94b5b265,INV-1688f970-9d49-4c25-9090-273e94b5b265,CID-019,2022-07-26,652.45,MC,Completed,SampleGen
