OrderId,OrderLineNumber,ProductId,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
c392288d-2830-41cf-a330-abd7c8a6371d,1,3012,Mountain Master All-Terrain Skis - 165cm,1,899.99,899.99,0.0,78.75
c392288d-2830-41cf-a330-abd7c8a6371d,2,3061,Professional Ski Helmet,2,199.99,399.98,0.0,35.0
c392288d-2830-41cf-a330-abd7c8a6371d,3,3031,Pro Flex Racing Ski Boots,2,649.99,1299.98,0.0,113.75
0af38669-5192-468b-81d0-357d30ad3730,1,3042,Aluminum All-Mountain Poles - 115cm,1,99.99,99.99,0.0,8.75
0af38669-5192-468b-81d0-357d30ad3730,2,3022,Backcountry Explorer XC Skis - 190cm,1,549.99,549.99,0.0,48.12
188830e4-46f1-4ee9-b27b-685d7612fae4,1,3091,Freestyle Snowboard - 155cm,2,649.99,1299.98,0.0,113.75
188830e4-46f1-4ee9-b27b-685d7612fae4,2,3011,Alpine Pro Racing Skis - 170cm,2,1299.99,2599.98,0.0,227.5
5f72cf16-8393-4eba-ac0e-725cd4d43ab8,1,3013,Beginner's Choice Alpine Skis - 160cm,1,449.99,449.99,0.0,39.37
5f72cf16-8393-4eba-ac0e-725cd4d43ab8,2,3011,Alpine Pro Racing Skis - 170cm,1,1299.99,1299.99,0.0,113.75
4a9a8f81-769d-4c3c-b97f-65190e67fc32,1,3021,Nordic Classic XC Skis - 185cm,1,349.99,349.99,0.0,30.62
4a9a8f81-769d-4c3c-b97f-65190e67fc32,2,3042,Aluminum All-Mountain Poles - 115cm,1,99.99,99.99,0.0,8.75
4a9a8f81-769d-4c3c-b97f-65190e67fc32,3,3082,Edge Tuning Tool Set,1,119.99,119.99,0.0,10.5
4a9a8f81-769d-4c3c-b97f-65190e67fc32,4,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
8b7b72f9-3d1d-49d6-ac1d-529d78b5e3ff,1,3053,Waterproof Ski Pants,1,249.99,249.99,0.0,21.87
8b7b72f9-3d1d-49d6-ac1d-529d78b5e3ff,2,3011,Alpine Pro Racing Skis - 170cm,2,1299.99,2599.98,0.0,227.5
8b7b72f9-3d1d-49d6-ac1d-529d78b5e3ff,3,3072,Hand Warmers - 10 Pack,1,14.99,14.99,0.0,1.31
7da4df28-75b2-4105-8ef0-8d0fcc09d6a6,1,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
7da4df28-75b2-4105-8ef0-8d0fcc09d6a6,2,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
ffaae981-b445-4fde-926f-e2e6dfd6e0ab,1,3012,Mountain Master All-Terrain Skis - 165cm,1,899.99,899.99,0.0,78.75
ffaae981-b445-4fde-926f-e2e6dfd6e0ab,2,3041,Carbon Fiber Racing Poles - 120cm,1,179.99,179.99,0.0,15.75
ffaae981-b445-4fde-926f-e2e6dfd6e0ab,3,3011,Alpine Pro Racing Skis - 170cm,2,1299.99,2599.98,0.0,227.5
58463afe-b778-405e-878a-3cfd96c27dfc,1,3053,Waterproof Ski Pants,2,249.99,499.98,0.0,43.75
38485729-3b12-4219-ab83-aed6e37fb6ac,1,3082,Edge Tuning Tool Set,2,119.99,239.98,0.0,21.0
38485729-3b12-4219-ab83-aed6e37fb6ac,2,3081,All-Temp Ski Wax Kit,2,79.99,159.98,0.0,14.0
38485729-3b12-4219-ab83-aed6e37fb6ac,3,3052,Thermal Base Layer Set - Women's,1,149.99,149.99,0.0,13.12
25d88b88-8fae-4b78-9b5b-2e7378098e4e,1,3042,Aluminum All-Mountain Poles - 115cm,1,99.99,99.99,0.0,8.75
25d88b88-8fae-4b78-9b5b-2e7378098e4e,2,3042,Aluminum All-Mountain Poles - 115cm,2,99.99,199.98,0.0,17.5
25d88b88-8fae-4b78-9b5b-2e7378098e4e,3,3013,Beginner's Choice Alpine Skis - 160cm,2,449.99,899.98,0.0,78.75
25d88b88-8fae-4b78-9b5b-2e7378098e4e,4,3031,Pro Flex Racing Ski Boots,1,649.99,649.99,0.0,56.87
e50941ba-64be-496a-b50c-1b65410341f4,1,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
10cfc14a-5779-4a85-a53a-8cd82dd300b8,1,3032,Comfort Fit Recreational Boots,1,399.99,399.99,0.0,35.0
10cfc14a-5779-4a85-a53a-8cd82dd300b8,2,3033,Women's Performance Ski Boots,2,579.99,1159.98,0.0,101.5
10cfc14a-5779-4a85-a53a-8cd82dd300b8,3,3032,Comfort Fit Recreational Boots,1,399.99,399.99,0.0,35.0
10cfc14a-5779-4a85-a53a-8cd82dd300b8,4,3042,Aluminum All-Mountain Poles - 115cm,2,99.99,199.98,0.0,17.5
ed7b3d22-d1d1-452d-8592-82cf57540fcc,1,3033,Women's Performance Ski Boots,2,579.99,1159.98,0.0,101.5
ed7b3d22-d1d1-452d-8592-82cf57540fcc,2,3032,Comfort Fit Recreational Boots,2,399.99,799.98,0.0,70.0
56e1f156-354d-40b3-a27a-01ec5d7941f1,1,3092,All-Mountain Snowboard - 158cm,1,799.99,799.99,0.0,70.0
56e1f156-354d-40b3-a27a-01ec5d7941f1,2,3052,Thermal Base Layer Set - Women's,1,149.99,149.99,0.0,13.12
56e1f156-354d-40b3-a27a-01ec5d7941f1,3,3012,Mountain Master All-Terrain Skis - 165cm,2,899.99,1799.98,0.0,157.5
56e1f156-354d-40b3-a27a-01ec5d7941f1,4,3053,Waterproof Ski Pants,2,249.99,499.98,0.0,43.75
e0a5a401-41ff-450c-ad46-1e404674ceec,1,3011,Alpine Pro Racing Skis - 170cm,2,1299.99,2599.98,0.0,227.5
e0a5a401-41ff-450c-ad46-1e404674ceec,2,3103,Snowboard Bindings - Pro,2,299.99,599.98,0.0,52.5
e0a5a401-41ff-450c-ad46-1e404674ceec,3,3031,Pro Flex Racing Ski Boots,1,649.99,649.99,0.0,56.87
e0a5a401-41ff-450c-ad46-1e404674ceec,4,3042,Aluminum All-Mountain Poles - 115cm,1,99.99,99.99,0.0,8.75
47b3dd38-b38f-47f1-b08f-4ce20027ea2c,1,3013,Beginner's Choice Alpine Skis - 160cm,1,449.99,449.99,0.0,39.37
7c6bd941-dc8d-434c-8dbd-241c4790b5dc,1,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
7c6bd941-dc8d-434c-8dbd-241c4790b5dc,2,3062,Anti-Fog Ski Goggles,2,129.99,259.98,0.0,22.75
7c6bd941-dc8d-434c-8dbd-241c4790b5dc,3,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
7c6bd941-dc8d-434c-8dbd-241c4790b5dc,4,3104,Ski Tuning Bench - Portable,2,189.99,379.98,0.0,33.25
1229cb4f-5566-444e-9c5b-072492184589,1,3052,Thermal Base Layer Set - Women's,1,149.99,149.99,0.0,13.12
1229cb4f-5566-444e-9c5b-072492184589,2,3071,Ski Boot Bag - Premium,2,59.99,119.98,0.0,10.5
c00354c5-17e9-49f0-8b9c-1d66ed7288a3,1,3051,Insulated Ski Jacket - Men's,1,299.99,299.99,0.0,26.25
c00354c5-17e9-49f0-8b9c-1d66ed7288a3,2,3053,Waterproof Ski Pants,2,249.99,499.98,0.0,43.75
c00354c5-17e9-49f0-8b9c-1d66ed7288a3,3,3021,Nordic Classic XC Skis - 185cm,2,349.99,699.98,0.0,61.25
34e0273c-5f8f-4d6b-9d27-200873fbb4f5,1,3082,Edge Tuning Tool Set,2,119.99,239.98,0.0,21.0
b5595995-87e7-4266-96c2-b7c3ca3f7a42,1,3053,Waterproof Ski Pants,1,249.99,249.99,0.0,21.87
b5595995-87e7-4266-96c2-b7c3ca3f7a42,2,3082,Edge Tuning Tool Set,1,119.99,119.99,0.0,10.5
b5595995-87e7-4266-96c2-b7c3ca3f7a42,3,3012,Mountain Master All-Terrain Skis - 165cm,1,899.99,899.99,0.0,78.75
e4f0e88f-d5ab-42bc-af63-ede33f59b045,1,3091,Freestyle Snowboard - 155cm,2,649.99,1299.98,0.0,113.75
ad2ecd5e-07aa-48f9-99f2-fd8d483ffe66,1,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
ad2ecd5e-07aa-48f9-99f2-fd8d483ffe66,2,3053,Waterproof Ski Pants,2,249.99,499.98,0.0,43.75
57aeca40-ea50-490b-84a8-24e28e26edb5,1,3082,Edge Tuning Tool Set,1,119.99,119.99,0.0,10.5
57aeca40-ea50-490b-84a8-24e28e26edb5,2,3033,Women's Performance Ski Boots,2,579.99,1159.98,0.0,101.5
cb0400c1-7985-4067-bd4a-badb60ab8c47,1,3082,Edge Tuning Tool Set,2,119.99,239.98,0.0,21.0
04cccf87-8b8e-443a-99b9-af1868fca8d5,1,3013,Beginner's Choice Alpine Skis - 160cm,2,449.99,899.98,0.0,78.75
04cccf87-8b8e-443a-99b9-af1868fca8d5,2,3022,Backcountry Explorer XC Skis - 190cm,2,549.99,1099.98,0.0,96.25
a24413ad-9f9e-46d1-b43b-f03223f9503f,1,3053,Waterproof Ski Pants,1,249.99,249.99,0.0,21.87
a24413ad-9f9e-46d1-b43b-f03223f9503f,2,3013,Beginner's Choice Alpine Skis - 160cm,2,449.99,899.98,0.0,78.75
9be4b1f0-3e95-4b90-a302-4eb27d38c354,1,3104,Ski Tuning Bench - Portable,2,189.99,379.98,0.0,33.25
9be4b1f0-3e95-4b90-a302-4eb27d38c354,2,3053,Waterproof Ski Pants,1,249.99,249.99,0.0,21.87
c80cdb40-8af7-4193-bcf5-8ef705cf94d4,1,3021,Nordic Classic XC Skis - 185cm,2,349.99,699.98,0.0,61.25
85309d43-b146-4d9e-955f-12e01a9dd69f,1,3092,All-Mountain Snowboard - 158cm,1,799.99,799.99,0.0,70.0
85309d43-b146-4d9e-955f-12e01a9dd69f,2,3072,Hand Warmers - 10 Pack,1,14.99,14.99,0.0,1.31
0ed105fc-c35c-468e-8e07-1e38439f67c0,1,3012,Mountain Master All-Terrain Skis - 165cm,1,899.99,899.99,0.0,78.75
0ed105fc-c35c-468e-8e07-1e38439f67c0,2,3011,Alpine Pro Racing Skis - 170cm,1,1299.99,1299.99,0.0,113.75
52d621d7-41df-458b-8a7a-5be8b017dbe6,1,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
