PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,3101,Winter Boots - Insulated,Ski,97,97.0,114.24,11081.28,Received,2026-02-05,2026-02-06,Supplier SKU: CON-3101,system,2026-01-19 12:01:56
2,1,PO-2026-0001,3071,Ski Boot Bag - Premium,Ski,57,57.0,44.23,2521.11,Received,2026-02-05,2026-02-06,Supplier SKU: CON-3071,system,2026-01-19 12:01:56
3,1,PO-2026-0001,3081,All-Temp Ski Wax Kit,Ski,169,169.0,59.34,10028.46,Received,2026-02-05,2026-02-06,Supplier SKU: CON-3081,system,2026-01-19 12:01:56
4,1,PO-2026-0001,3051,Insulated Ski Jacket - Men's,Ski,3,2.0,210.01,630.03,Backordered,2026-02-05,2026-02-06,Supplier SKU: CON-3051,system,2026-01-19 12:01:56
5,1,PO-2026-0001,3013,Beginner's Choice Alpine Skis - 160cm,Ski,5,5.0,288.11,1440.55,Received,2026-02-05,2026-02-06,Supplier SKU: CON-3013,system,2026-01-19 12:01:56
6,2,PO-2026-0002,2031,Coffee Mug,Kitchen,24,24.0,22.68,544.32,Received,2026-01-13,2026-01-15,Supplier SKU: CON-2031,system,2026-01-02 12:01:56
7,3,PO-2026-0003,3082,Edge Tuning Tool Set,Ski,45,45.0,99.35,4470.75,Received,2026-02-17,2026-02-20,Supplier SKU: WOR-3082,system,2026-01-17 12:01:56
8,3,PO-2026-0003,3081,All-Temp Ski Wax Kit,Ski,4,4.0,54.61,218.44,Received,2026-02-17,2026-02-20,Supplier SKU: WOR-3081,system,2026-01-17 12:01:56
9,4,PO-2025-0004,3072,Hand Warmers - 10 Pack,Ski,3,3.0,10.09,30.27,Received,2026-01-06,2026-01-08,Supplier SKU: FAB-3072,system,2025-12-11 12:01:56
10,5,PO-2026-0005,2071,Baking Pan,Kitchen,187,187.0,19.87,3715.69,Received,2026-03-02,2026-03-05,Supplier SKU: CON-2071,system,2026-02-17 12:01:56
11,5,PO-2026-0005,2091,Spatula,Kitchen,125,125.0,9.88,1235.0,Received,2026-03-02,2026-03-05,Supplier SKU: CON-2091,system,2026-02-17 12:01:56
12,5,PO-2026-0005,2031,Coffee Mug,Kitchen,25,25.0,22.68,567.0,Received,2026-03-02,2026-03-05,Supplier SKU: CON-2031,system,2026-02-17 12:01:56
