PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,3,Contoso Ski Equipment,2026-01-19,2026-02-05,2026-02-06,Delivered,25701.43,Backup Warehouse,buyer1,Low,Order for Ski products,system,2026-01-19 12:01:56
2,PO-2026-0002,2,Contoso Kitchen,2026-01-02,2026-01-13,2026-01-15,Delivered,544.32,Backup Warehouse,buyer1,Low,Order for Kitchen products,system,2026-01-02 12:01:56
3,PO-2026-0003,4,Worldwide Importers,2026-01-17,2026-02-17,2026-02-20,Delivered,4689.19,Backup Warehouse,buyer1,Medium,Multi-category order,system,2026-01-17 12:01:56
4,PO-2025-0004,5,Fabrikam,2025-12-11,2026-01-06,2026-01-08,Delivered,30.27,Regional DC,supply_manager,Emergency,Order for Ski products,system,2025-12-11 12:01:56
5,PO-2026-0005,2,Contoso Kitchen,2026-02-17,2026-03-02,2026-03-05,Delivered,5517.69,Backup Warehouse,buyer2,Low,Order for Kitchen products,system,2026-02-17 12:01:56
6,PO-2025-0006,4,Worldwide Importers,2025-12-15,2026-01-17,2026-01-17,Delivered,16814.0,Regional DC,buyer1,Medium,Multi-category order,system,2025-12-15 12:01:56
7,PO-2026-0007,3,Contoso Ski Equipment,2026-03-04,2026-03-15,,Confirmed,4225.06,Regional DC,buyer2,Low,Order for Ski products,system,2026-03-04 12:01:56
8,PO-2025-0008,1,Contoso Camping Equipment,2025-12-30,2026-01-12,2026-01-22,Delivered,25682.02,Regional DC,buyer1,Medium,Order for Camping products,system,2025-12-30 12:01:56
9,PO-2026-0009,3,Contoso Ski Equipment,2026-01-03,2026-01-14,2026-01-17,Delivered,38903.16,Main Warehouse,buyer1,Low,Order for Ski products,system,2026-01-03 12:01:56
10,PO-2025-0010,3,Contoso Ski Equipment,2025-12-28,2026-01-07,2026-01-10,Delivered,36570.84,Main Warehouse,supply_manager,Low,Order for Ski products,system,2025-12-28 12:01:56
11,PO-2026-0011,4,Worldwide Importers,2026-02-01,2026-02-28,2026-02-28,Delivered,3775.3,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-02-01 12:01:56
12,PO-2026-0012,3,Contoso Ski Equipment,2026-01-22,2026-02-05,2026-02-07,Delivered,119826.78,Backup Warehouse,buyer2,High,Order for Ski products,system,2026-01-22 12:01:56
13,PO-2026-0013,4,Worldwide Importers,2026-01-08,2026-02-08,2026-02-08,Delivered,43114.43,Regional DC,supply_manager,Low,Multi-category order,system,2026-01-08 12:01:56
14,PO-2025-0014,2,Contoso Kitchen,2025-12-14,2025-12-28,2025-12-30,Delivered,1458.71,Main Warehouse,buyer1,Low,Order for Kitchen products,system,2025-12-14 12:01:56
15,PO-2026-0015,1,Contoso Camping Equipment,2026-01-25,2026-02-13,2026-02-15,Delivered,67098.03,Backup Warehouse,supply_manager,Low,Order for Camping products,system,2026-01-25 12:01:56
16,PO-2026-0016,5,Fabrikam,2026-02-14,2026-03-10,2026-03-11,Delivered,58214.1,Regional DC,buyer2,Low,Order for Ski products,system,2026-02-14 12:01:56
17,PO-2026-0017,1,Contoso Camping Equipment,2026-02-22,2026-03-09,2026-03-10,Delivered,473.16,Backup Warehouse,buyer1,Low,Order for Camping products,system,2026-02-22 12:01:56
18,PO-2025-0018,1,Contoso Camping Equipment,2025-12-20,2026-01-02,2026-01-05,Delivered,3624.28,Regional DC,supply_manager,Low,Order for Camping products,system,2025-12-20 12:01:56
19,PO-2025-0019,2,Contoso Kitchen,2025-12-15,2025-12-29,2025-12-29,Delivered,4016.22,Main Warehouse,supply_manager,Low,Order for Kitchen products,system,2025-12-15 12:01:56
20,PO-2026-0020,2,Contoso Kitchen,2026-03-08,2026-03-17,,Confirmed,6424.25,Regional DC,supply_manager,Low,Order for Kitchen products,system,2026-03-08 12:01:56
21,PO-2026-0021,4,Worldwide Importers,2026-02-15,2026-03-19,,Confirmed,6801.32,Regional DC,supply_manager,Low,Multi-category order,system,2026-02-15 12:01:56
22,PO-2026-0022,5,Fabrikam,2026-02-13,2026-03-11,,InTransit,44429.53,Regional DC,buyer2,Medium,Order for Ski products,system,2026-02-13 12:01:56
23,PO-2025-0023,2,Contoso Kitchen,2025-12-17,2025-12-26,,InTransit,1718.86,Backup Warehouse,buyer2,Low,Order for Kitchen products,system,2025-12-17 12:01:56
24,PO-2026-0024,4,Worldwide Importers,2026-02-20,2026-03-19,,Sent,6270.16,Main Warehouse,buyer2,Medium,Multi-category order,system,2026-02-20 12:01:56
25,PO-2026-0025,4,Worldwide Importers,2026-03-01,2026-04-03,,Sent,38970.48,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-03-01 12:01:56
26,PO-2026-0026,3,Contoso Ski Equipment,2026-02-02,2026-02-13,2026-02-14,Delivered,24060.1,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-02-02 12:01:56
27,PO-2026-0027,1,Contoso Camping Equipment,2026-03-01,2026-03-13,,Confirmed,14734.11,Main Warehouse,buyer2,Medium,Order for Camping products,system,2026-03-01 12:01:56
28,PO-2026-0028,4,Worldwide Importers,2026-01-31,2026-02-26,2026-02-28,Delivered,27773.12,Backup Warehouse,supply_manager,Medium,Multi-category order,system,2026-01-31 12:01:56
29,PO-2026-0029,4,Worldwide Importers,2026-02-09,2026-03-12,,InTransit,109.22,Regional DC,buyer2,Low,Multi-category order,system,2026-02-09 12:01:56
30,PO-2025-0030,2,Contoso Kitchen,2025-12-24,2026-01-06,2026-01-08,Delivered,2043.34,Main Warehouse,supply_manager,Low,Order for Kitchen products,system,2025-12-24 12:01:56
31,PO-2026-0031,3,Contoso Ski Equipment,2026-01-17,2026-02-02,2026-02-03,Delivered,5273.9,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-01-17 12:01:56
32,PO-2026-0032,5,Fabrikam,2026-01-14,2026-02-03,,InTransit,31709.37,Backup Warehouse,buyer2,Medium,Order for Ski products,system,2026-01-14 12:01:56
33,PO-2026-0033,5,Fabrikam,2026-01-14,2026-02-06,2026-02-08,Delivered,14321.14,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-01-14 12:01:56
34,PO-2026-0034,4,Worldwide Importers,2026-01-18,2026-02-13,2026-02-15,Delivered,24678.15,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-01-18 12:01:56
35,PO-2025-0035,4,Worldwide Importers,2025-12-21,2026-01-23,2026-01-23,Delivered,502.78,Regional DC,buyer2,Low,Multi-category order,system,2025-12-21 12:01:56
36,PO-2025-0036,2,Contoso Kitchen,2025-12-18,2026-01-01,2026-01-02,Delivered,5852.63,Main Warehouse,supply_manager,High,Order for Kitchen products,system,2025-12-18 12:01:56
37,PO-2026-0037,5,Fabrikam,2026-02-27,2026-03-24,,Confirmed,71946.07,Main Warehouse,buyer1,High,Order for Ski products,system,2026-02-27 12:01:56
38,PO-2025-0038,4,Worldwide Importers,2025-12-26,2026-01-23,2026-02-02,Delivered,26752.32,Main Warehouse,buyer1,Medium,Multi-category order,system,2025-12-26 12:01:56
39,PO-2026-0039,3,Contoso Ski Equipment,2026-02-20,2026-03-02,2026-03-02,Delivered,29604.09,Regional DC,supply_manager,Low,Order for Ski products,system,2026-02-20 12:01:56
40,PO-2025-0040,4,Worldwide Importers,2025-12-21,2026-01-17,2026-01-19,Delivered,3477.25,Main Warehouse,supply_manager,Low,Multi-category order,system,2025-12-21 12:01:56
41,PO-2025-0041,3,Contoso Ski Equipment,2025-12-23,2026-01-02,2026-01-05,Delivered,73504.01,Backup Warehouse,supply_manager,Low,Order for Ski products,system,2025-12-23 12:01:56
42,PO-2025-0042,2,Contoso Kitchen,2025-12-19,2025-12-28,2025-12-31,Delivered,8384.29,Regional DC,buyer2,Low,Order for Kitchen products,system,2025-12-19 12:01:56
43,PO-2026-0043,4,Worldwide Importers,2026-03-07,2026-04-04,,InTransit,28507.62,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-03-07 12:01:56
44,PO-2025-0044,4,Worldwide Importers,2025-12-29,2026-01-30,2026-02-01,Delivered,43633.4,Backup Warehouse,supply_manager,Medium,Multi-category order,system,2025-12-29 12:01:56
45,PO-2026-0045,2,Contoso Kitchen,2026-03-04,2026-03-14,,Confirmed,9647.09,Main Warehouse,buyer1,Medium,Order for Kitchen products,system,2026-03-04 12:01:56
46,PO-2026-0046,1,Contoso Camping Equipment,2026-02-16,2026-02-28,2026-02-28,Delivered,1550.7,Main Warehouse,buyer1,Medium,Order for Camping products,system,2026-02-16 12:01:56
47,PO-2026-0047,4,Worldwide Importers,2026-01-29,2026-02-27,2026-02-27,Delivered,25084.28,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-01-29 12:01:56
48,PO-2026-0048,3,Contoso Ski Equipment,2026-03-03,2026-03-14,,InTransit,475.93,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-03-03 12:01:56
49,PO-2026-0049,3,Contoso Ski Equipment,2026-01-19,2026-02-03,2026-02-03,Delivered,54255.97,Main Warehouse,buyer1,Low,Order for Ski products,system,2026-01-19 12:01:56
50,PO-2026-0050,5,Fabrikam,2026-02-15,2026-03-09,2026-03-09,Delivered,53886.48,Regional DC,supply_manager,Medium,Order for Ski products,system,2026-02-15 12:01:56
51,PO-2026-0051,4,Worldwide Importers,2026-02-14,2026-03-12,,InTransit,153.02,Main Warehouse,buyer1,Low,Multi-category order,system,2026-02-14 12:01:56
52,PO-2026-0052,5,Fabrikam,2026-02-26,2026-03-21,,Sent,23866.1,Main Warehouse,buyer1,Low,Order for Ski products,system,2026-02-26 12:01:56
53,PO-2026-0053,3,Contoso Ski Equipment,2026-01-12,2026-01-26,2026-01-28,Delivered,630.03,Main Warehouse,supply_manager,Medium,Order for Ski products,system,2026-01-12 12:01:56
54,PO-2026-0054,2,Contoso Kitchen,2026-03-10,2026-03-22,,Confirmed,12107.1,Regional DC,buyer2,Low,Order for Kitchen products,system,2026-03-10 12:01:56
55,PO-2026-0055,1,Contoso Camping Equipment,2026-02-25,2026-03-12,,InTransit,2950.2,Regional DC,buyer1,Low,Order for Camping products,system,2026-02-25 12:01:56
56,PO-2025-0056,2,Contoso Kitchen,2025-12-14,2025-12-24,2025-12-27,Delivered,7371.69,Regional DC,buyer2,Low,Order for Kitchen products,system,2025-12-14 12:01:56
57,PO-2026-0057,1,Contoso Camping Equipment,2026-01-21,2026-02-03,2026-02-04,Delivered,12594.92,Regional DC,buyer1,Low,Order for Camping products,system,2026-01-21 12:01:56
58,PO-2026-0058,3,Contoso Ski Equipment,2026-03-07,2026-03-24,,InTransit,40210.14,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-03-07 12:01:56
59,PO-2026-0059,1,Contoso Camping Equipment,2026-02-11,2026-02-27,2026-02-28,Delivered,15923.8,Regional DC,buyer2,Medium,Order for Camping products,system,2026-02-11 12:01:56
60,PO-2025-0060,5,Fabrikam,2025-12-27,2026-01-18,2026-01-19,Delivered,25039.98,Main Warehouse,buyer2,Emergency,Order for Ski products,system,2025-12-27 12:01:56
61,PO-2026-0061,2,Contoso Kitchen,2026-02-07,2026-02-18,2026-02-21,Delivered,55294.32,Main Warehouse,supply_manager,Medium,Order for Kitchen products,system,2026-02-07 12:01:56
62,PO-2026-0062,3,Contoso Ski Equipment,2026-02-09,2026-02-21,2026-02-26,Delivered,17733.68,Regional DC,buyer1,High,Order for Ski products,system,2026-02-09 12:01:56
63,PO-2026-0063,2,Contoso Kitchen,2026-01-29,2026-02-12,2026-02-12,Delivered,4522.64,Backup Warehouse,buyer2,Low,Order for Kitchen products,system,2026-01-29 12:01:56
64,PO-2026-0064,5,Fabrikam,2026-03-06,2026-03-25,,InTransit,155.69,Main Warehouse,buyer1,Medium,Order for Ski products,system,2026-03-06 12:01:56
65,PO-2025-0065,1,Contoso Camping Equipment,2025-12-17,2025-12-29,2025-12-29,Delivered,23341.63,Main Warehouse,buyer1,Emergency,Order for Camping products,system,2025-12-17 12:01:56
66,PO-2025-0066,1,Contoso Camping Equipment,2025-12-16,2025-12-30,2026-01-01,Delivered,5814.05,Backup Warehouse,buyer1,Medium,Order for Camping products,system,2025-12-16 12:01:56
67,PO-2026-0067,3,Contoso Ski Equipment,2026-03-04,2026-03-17,,Sent,1840.68,Backup Warehouse,buyer1,Low,Order for Ski products,system,2026-03-04 12:01:56
