InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-1325e3ba-006b-461e-b63a-ad3a108183b3,ID200000,CID-001,1325e3ba-006b-461e-b63a-ad3a108183b3,2021-09-15,2021-10-15,635.9,38.16,674.06,Issued,SampleGen
INV-f3f797c7-19ba-4c15-b749-ee33c93cba5c,ID200001,CID-001,f3f797c7-19ba-4c15-b749-ee33c93cba5c,2021-10-24,2021-11-23,5687.74,341.28,6029.02,Issued,SampleGen
INV-a9968140-81b4-4ce4-9c71-490a48c92a03,ID200002,CID-001,a9968140-81b4-4ce4-9c71-490a48c92a03,2021-11-28,2021-12-28,4703.64,282.22,4985.86,Issued,SampleGen
INV-68ea8af3-6e04-4867-bd28-c149bfbf059f,ID200003,CID-001,68ea8af3-6e04-4867-bd28-c149bfbf059f,2021-12-23,2022-01-22,2017.86,121.08,2138.94,Issued,SampleGen
INV-bb4ffa9b-14dc-4503-80ea-80600c8708f8,ID200004,CID-001,bb4ffa9b-14dc-4503-80ea-80600c8708f8,2022-03-19,2022-04-18,989.82,59.4,1049.22,Issued,SampleGen
INV-82b6f524-e1da-4a64-99c7-b9220a4545e7,ID200005,CID-001,82b6f524-e1da-4a64-99c7-b9220a4545e7,2022-04-27,2022-05-27,1535.82,92.16,1627.98,Issued,SampleGen
INV-80734fd8-8b8c-4a77-accc-1e3b5fb7103e,ID200006,CID-001,80734fd8-8b8c-4a77-accc-1e3b5fb7103e,2022-06-10,2022-07-10,1031.92,61.92,1093.84,Issued,SampleGen
INV-785be578-e4d3-4ca9-8a53-b95a1acb21ec,ID200007,CID-001,785be578-e4d3-4ca9-8a53-b95a1acb21ec,2022-08-01,2022-08-31,939.8,56.4,996.2,Issued,SampleGen
INV-a8d56ca6-57ee-4b98-881f-54f75817c737,ID200008,CID-001,a8d56ca6-57ee-4b98-881f-54f75817c737,2022-08-29,2022-09-28,2721.74,163.32,2885.06,Issued,SampleGen
INV-2dada4b0-af79-4ebb-a1ee-fc87b9b34f14,ID200009,CID-001,2dada4b0-af79-4ebb-a1ee-fc87b9b34f14,2022-09-26,2022-10-26,2127.78,127.68,2255.46,Issued,SampleGen
INV-498c5e2b-81b2-455c-bae4-e17c02ea94b9,ID200010,CID-001,498c5e2b-81b2-455c-bae4-e17c02ea94b9,2022-10-08,2022-11-07,667.78,40.08,707.86,Issued,SampleGen
INV-c6bbb157-c875-455c-81c5-69995fd311b9,ID200011,CID-001,c6bbb157-c875-455c-81c5-69995fd311b9,2022-11-30,2022-12-30,727.88,43.68,771.56,Issued,SampleGen
INV-fe564d19-00c2-47c2-976b-55ce4a0ba1da,ID200012,CID-001,fe564d19-00c2-47c2-976b-55ce4a0ba1da,2022-12-17,2023-01-16,2075.74,124.56,2200.3,Issued,SampleGen
INV-35009520-1ba8-4861-a412-987911d4654a,ID200013,CID-001,35009520-1ba8-4861-a412-987911d4654a,2023-01-14,2023-02-13,1749.72,105.0,1854.72,Issued,SampleGen
