InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-8267b3bb-a070-4175-a273-53138c05e288,IS300000,CID-001,8267b3bb-a070-4175-a273-53138c05e288,2024-01-04,2024-02-03,4259.94,372.75,4632.69,Paid,SampleGen
INV-9abc6f8e-4a91-4779-b5c4-8a4e631a0b29,IS300001,CID-001,9abc6f8e-4a91-4779-b5c4-8a4e631a0b29,2025-11-02,2025-12-02,1649.95,144.37,1794.32,Paid,SampleGen
INV-094d0d09-5e7e-4d03-b627-2629e87e6fdd,IS300002,CID-001,094d0d09-5e7e-4d03-b627-2629e87e6fdd,2024-12-01,2024-12-31,899.99,78.75,978.74,Paid,SampleGen
INV-6710e074-b542-4ff0-adf3-32070792b19d,IS300003,CID-002,6710e074-b542-4ff0-adf3-32070792b19d,2021-11-02,2021-12-02,1759.96,154.0,1913.96,Paid,SampleGen
INV-9380342e-c1d8-4df1-afa6-0e74aca8d996,IS300004,CID-002,9380342e-c1d8-4df1-afa6-0e74aca8d996,2025-11-23,2025-12-23,649.99,56.87,706.86,Paid,SampleGen
INV-2e7119a8-c312-4d3e-8be0-7c041e9fac8e,IS300005,CID-003,2e7119a8-c312-4d3e-8be0-7c041e9fac8e,2023-06-10,2023-07-10,579.96,50.75,630.71,Paid,SampleGen
INV-aa2e9ed2-98d8-46d5-bb55-74d77189e2f6,IS300006,CID-003,aa2e9ed2-98d8-46d5-bb55-74d77189e2f6,2023-10-23,2023-11-22,2049.93,179.37,2229.3,Paid,SampleGen
INV-e7a820ee-91e3-4602-a65e-8547e548ba42,IS300007,CID-004,e7a820ee-91e3-4602-a65e-8547e548ba42,2024-06-23,2024-07-23,1514.96,132.56,1647.52,Paid,SampleGen
INV-4f905f68-1944-4b2f-8177-898b19d41dd2,IS300008,CID-004,4f905f68-1944-4b2f-8177-898b19d41dd2,2025-03-25,2025-04-24,349.97,30.62,380.59,Paid,SampleGen
INV-becc6798-3228-4d94-a216-7661c98bfeb2,IS300009,CID-005,becc6798-3228-4d94-a216-7661c98bfeb2,2025-07-11,2025-08-10,889.97,77.87,967.84,Paid,SampleGen
INV-107c2f56-2d24-4cca-9207-d3dd13db56fc,IS300010,CID-005,107c2f56-2d24-4cca-9207-d3dd13db56fc,2025-08-10,2025-09-09,1599.98,140.0,1739.98,Paid,SampleGen
INV-4d453d50-b02e-47df-b75f-cf4c46953748,IS300011,CID-005,4d453d50-b02e-47df-b75f-cf4c46953748,2021-08-04,2021-09-03,2139.93,187.25,2327.18,Paid,SampleGen
INV-b764fbd3-c60c-47f4-9aae-67ba8f63c165,IS300012,CID-006,b764fbd3-c60c-47f4-9aae-67ba8f63c165,2023-01-01,2023-01-31,899.99,78.75,978.74,Paid,SampleGen
INV-8e7c1d88-1498-41bc-86a2-f0bdcf20a324,IS300013,CID-006,8e7c1d88-1498-41bc-86a2-f0bdcf20a324,2022-07-01,2022-07-31,159.98,14.0,173.98,Paid,SampleGen
INV-df25f190-7a1b-4cd5-b616-4a8a568cfb9d,IS300014,CID-006,df25f190-7a1b-4cd5-b616-4a8a568cfb9d,2024-01-29,2024-02-28,1279.97,112.0,1391.97,Paid,SampleGen
INV-e06b6650-7a4e-4997-9524-14cfcce432df,IS300015,CID-006,e06b6650-7a4e-4997-9524-14cfcce432df,2025-04-09,2025-05-09,159.98,14.0,173.98,Paid,SampleGen
INV-fb32d844-0255-4fa5-87c9-c75e1190a1ba,IS300016,CID-006,fb32d844-0255-4fa5-87c9-c75e1190a1ba,2022-07-31,2022-08-30,159.98,14.0,173.98,Paid,SampleGen
INV-6e54fbf6-1bb4-47ae-b3c6-eea98ea9f97f,IS300017,CID-007,6e54fbf6-1bb4-47ae-b3c6-eea98ea9f97f,2021-07-04,2021-08-03,579.95,50.75,630.7,Paid,SampleGen
INV-c72cb375-e899-429f-abfd-b6f50ebf143b,IS300018,CID-007,c72cb375-e899-429f-abfd-b6f50ebf143b,2025-06-29,2025-07-29,2549.95,223.12,2773.07,Paid,SampleGen
INV-30bc88fa-6384-45a5-9442-fb72c65f8f6d,IS300019,CID-008,30bc88fa-6384-45a5-9442-fb72c65f8f6d,2024-05-18,2024-06-17,1799.96,157.5,1957.46,Paid,SampleGen
INV-f23b6a4c-5e4f-4982-b300-a41cb26d1687,IS300020,CID-008,f23b6a4c-5e4f-4982-b300-a41cb26d1687,2022-11-01,2022-12-01,1479.97,129.49,1609.46,Paid,SampleGen
INV-bb9b7da8-a326-44e4-bf97-34aad3ff6d7a,IS300021,CID-008,bb9b7da8-a326-44e4-bf97-34aad3ff6d7a,2024-07-19,2024-08-18,539.96,47.25,587.21,Paid,SampleGen
INV-f3f15671-0ee5-4fa4-b175-054e981bb41f,IS300022,CID-008,f3f15671-0ee5-4fa4-b175-054e981bb41f,2022-09-16,2022-10-16,3444.95,301.43,3746.38,Paid,SampleGen
INV-eb7d4416-fce9-4c36-84fb-d0760304e7a4,IS300023,CID-008,eb7d4416-fce9-4c36-84fb-d0760304e7a4,2026-01-02,2026-02-01,2399.94,210.0,2609.94,Paid,SampleGen
INV-67aff0cd-6c93-47d9-aafc-fd35ad117416,IS300024,CID-009,67aff0cd-6c93-47d9-aafc-fd35ad117416,2023-03-26,2023-04-25,1559.94,136.5,1696.44,Paid,SampleGen
INV-b4da551f-3540-4ef4-b769-2e23fbae87c7,IS300025,CID-009,b4da551f-3540-4ef4-b769-2e23fbae87c7,2022-05-08,2022-06-07,349.99,30.62,380.61,Paid,SampleGen
INV-9e31bbe0-f68b-4207-9db3-3a8c6e4dbe42,IS300026,CID-010,9e31bbe0-f68b-4207-9db3-3a8c6e4dbe42,2024-03-24,2024-04-23,299.99,26.25,326.24,Paid,SampleGen
INV-28ec730c-2648-494a-bce9-7037ba0845c5,IS300027,CID-010,28ec730c-2648-494a-bce9-7037ba0845c5,2022-08-27,2022-09-26,449.96,39.37,489.33,Paid,SampleGen
INV-c2a0c109-2d8b-47c8-a21a-ee3d71c1aba4,IS300028,CID-010,c2a0c109-2d8b-47c8-a21a-ee3d71c1aba4,2025-10-15,2025-11-14,399.98,35.0,434.98,Paid,SampleGen
INV-f9eb290a-e540-44da-a06b-29230f1e838d,IS300029,CID-010,f9eb290a-e540-44da-a06b-29230f1e838d,2025-07-03,2025-08-02,1359.95,119.0,1478.95,Paid,SampleGen
INV-c432d486-229a-489b-aec7-27da8088315c,IS300030,CID-010,c432d486-229a-489b-aec7-27da8088315c,2022-01-19,2022-02-18,1479.97,129.5,1609.47,Paid,SampleGen
INV-d3a2085e-acda-4009-b37e-31a745c8a8d8,IS300031,CID-010,d3a2085e-acda-4009-b37e-31a745c8a8d8,2023-08-21,2023-09-20,519.95,45.5,565.45,Paid,SampleGen
INV-fdd399e7-8e46-4a79-bc11-b812d6c161fe,IS300032,CID-010,fdd399e7-8e46-4a79-bc11-b812d6c161fe,2024-06-30,2024-07-30,1219.97,106.75,1326.72,Paid,SampleGen
INV-dd479c1a-88bb-4b76-a809-11e5370ec900,IS300033,CID-011,dd479c1a-88bb-4b76-a809-11e5370ec900,2025-06-21,2025-07-21,1899.95,166.25,2066.2,Paid,SampleGen
INV-3f8afd3b-e372-4d4e-ad61-5694ad86ffc1,IS300034,CID-011,3f8afd3b-e372-4d4e-ad61-5694ad86ffc1,2025-11-15,2025-12-15,2409.95,210.87,2620.82,Paid,SampleGen
INV-c70a3d6d-d791-4b4e-a0bd-293542b3932f,IS300035,CID-011,c70a3d6d-d791-4b4e-a0bd-293542b3932f,2023-10-03,2023-11-02,949.97,83.11,1033.08,Paid,SampleGen
INV-394abd43-f99e-4737-b199-0ab709600051,IS300036,CID-012,394abd43-f99e-4737-b199-0ab709600051,2025-07-11,2025-08-10,539.96,47.25,587.21,Paid,SampleGen
INV-64ab866e-eef1-4a2f-8a57-5055f36f7df9,IS300037,CID-012,64ab866e-eef1-4a2f-8a57-5055f36f7df9,2024-04-28,2024-05-28,159.98,14.0,173.98,Paid,SampleGen
INV-ce1bc674-870f-4542-a5cb-3f594defa3c6,IS300038,CID-013,ce1bc674-870f-4542-a5cb-3f594defa3c6,2023-09-12,2023-10-12,1299.97,113.74,1413.71,Paid,SampleGen
INV-d66ff002-42ba-4c2e-b9be-ab3c3cfbb2e5,IS300039,CID-013,d66ff002-42ba-4c2e-b9be-ab3c3cfbb2e5,2025-05-21,2025-06-20,679.97,59.5,739.47,Paid,SampleGen
INV-2c3f6523-1a5a-44d9-985e-96c685828d41,IS300040,CID-013,2c3f6523-1a5a-44d9-985e-96c685828d41,2021-07-08,2021-08-07,149.99,13.12,163.11,Paid,SampleGen
INV-0977412a-fb9c-4c31-9f51-104fbaa97afd,IS300041,CID-013,0977412a-fb9c-4c31-9f51-104fbaa97afd,2025-07-03,2025-08-02,2949.94,258.12,3208.06,Paid,SampleGen
INV-3fc1d16c-97ed-4e56-9dac-d5b3ac15891f,IS300042,CID-014,3fc1d16c-97ed-4e56-9dac-d5b3ac15891f,2023-04-29,2023-05-29,664.98,58.18,723.16,Paid,SampleGen
INV-3f8bf2ed-25d9-40e6-88d6-5c5a8bd3f28f,IS300043,CID-014,3f8bf2ed-25d9-40e6-88d6-5c5a8bd3f28f,2022-07-15,2022-08-14,1419.95,124.25,1544.2,Paid,SampleGen
INV-193082a4-9523-40c2-9f17-993e7af3d064,IS300044,CID-015,193082a4-9523-40c2-9f17-993e7af3d064,2024-05-06,2024-06-05,1839.93,161.0,2000.93,Paid,SampleGen
INV-0bec76c6-338c-46af-933d-8b44b2ade991,IS300045,CID-015,0bec76c6-338c-46af-933d-8b44b2ade991,2021-05-01,2021-05-31,1799.98,157.5,1957.48,Paid,SampleGen
INV-e2954660-fc3b-4916-bb1f-73107d9b8ceb,IS300046,CID-016,e2954660-fc3b-4916-bb1f-73107d9b8ceb,2022-09-12,2022-10-12,2649.96,231.87,2881.83,Paid,SampleGen
INV-8471e8e7-160e-421c-be48-1989b5840ed7,IS300047,CID-016,8471e8e7-160e-421c-be48-1989b5840ed7,2023-12-11,2024-01-10,1299.99,113.75,1413.74,Paid,SampleGen
INV-6c30510c-448c-4c7e-861f-c157a65ce176,IS300048,CID-017,6c30510c-448c-4c7e-861f-c157a65ce176,2026-03-23,2026-04-22,1899.96,166.25,2066.21,Paid,SampleGen
INV-bec44252-9bd5-4873-9773-53c61684a593,IS300049,CID-017,bec44252-9bd5-4873-9773-53c61684a593,2024-10-06,2024-11-05,1299.98,113.75,1413.73,Paid,SampleGen
INV-22a02f46-0a3d-4c71-bc6c-cd0969e369b7,IS300050,CID-017,22a02f46-0a3d-4c71-bc6c-cd0969e369b7,2026-03-27,2026-04-26,839.98,73.49,913.47,Paid,SampleGen
INV-18df1402-623c-4f4e-9841-38c84d81775d,IS300051,CID-017,18df1402-623c-4f4e-9841-38c84d81775d,2022-04-19,2022-05-19,1099.98,96.25,1196.23,Paid,SampleGen
INV-ff21b035-289a-4bee-8581-544a33a84c57,IS300052,CID-017,ff21b035-289a-4bee-8581-544a33a84c57,2022-05-11,2022-06-10,489.95,42.87,532.82,Paid,SampleGen
INV-28186308-8c1a-4d03-b643-507e11688da9,IS300053,CID-017,28186308-8c1a-4d03-b643-507e11688da9,2025-08-03,2025-09-02,789.96,69.12,859.08,Paid,SampleGen
INV-3acd2b46-7791-4616-9214-ef2ee38f292a,IS300054,CID-017,3acd2b46-7791-4616-9214-ef2ee38f292a,2026-02-20,2026-03-22,1649.95,144.37,1794.32,Paid,SampleGen
INV-000e94a7-5273-47c5-b30c-cc961288dd10,IS300055,CID-018,000e94a7-5273-47c5-b30c-cc961288dd10,2024-11-14,2024-12-14,2099.97,183.75,2283.72,Paid,SampleGen
INV-f7378a18-bf7c-4ad9-b603-d63546b6c4f7,IS300056,CID-018,f7378a18-bf7c-4ad9-b603-d63546b6c4f7,2022-05-04,2022-06-03,319.97,28.0,347.97,Paid,SampleGen
INV-9d52f4d5-5ec1-456b-9445-1558c320320a,IS300057,CID-019,9d52f4d5-5ec1-456b-9445-1558c320320a,2025-03-20,2025-04-19,119.99,10.5,130.49,Paid,SampleGen
INV-1185e098-f982-4bb3-9ba1-3c7a3369a380,IS300058,CID-019,1185e098-f982-4bb3-9ba1-3c7a3369a380,2024-01-14,2024-02-13,1959.96,171.5,2131.46,Paid,SampleGen
