OrderId,SalesChannelId,OrderNumber,CustomerId,CustomerAccountId,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
8267b3bb-a070-4175-a273-53138c05e288,Ski,S300000,CID-001,CA-0926,2024-01-03,Completed,4259.94,372.75,4632.69,Discover,USD,SampleGen
9abc6f8e-4a91-4779-b5c4-8a4e631a0b29,Ski,S300001,CID-001,CA-0926,2025-11-01,Completed,1649.95,144.37,1794.32,PayPal,USD,SampleGen
094d0d09-5e7e-4d03-b627-2629e87e6fdd,Ski,S300002,CID-001,CA-0926,2024-11-30,Completed,899.99,78.75,978.74,Discover,USD,SampleGen
6710e074-b542-4ff0-adf3-32070792b19d,Ski,S300003,CID-002,CA-0927,2021-11-01,Shipped,1759.96,154.0,1913.96,VISA,USD,SampleGen
9380342e-c1d8-4df1-afa6-0e74aca8d996,Ski,S300004,CID-002,CA-0927,2025-11-22,Completed,649.99,56.87,706.86,MC,USD,SampleGen
2e7119a8-c312-4d3e-8be0-7c041e9fac8e,Ski,S300005,CID-003,CA-0928,2023-06-09,Pending,579.96,50.75,630.71,Discover,USD,SampleGen
aa2e9ed2-98d8-46d5-bb55-74d77189e2f6,Ski,S300006,CID-003,CA-0928,2023-10-22,Completed,2049.93,179.37,2229.3,VISA,USD,SampleGen
e7a820ee-91e3-4602-a65e-8547e548ba42,Ski,S300007,CID-004,CA-0929,2024-06-22,Completed,1514.96,132.56,1647.52,VISA,USD,SampleGen
4f905f68-1944-4b2f-8177-898b19d41dd2,Ski,S300008,CID-004,CA-0929,2025-03-24,Completed,349.97,30.62,380.59,Discover,USD,SampleGen
becc6798-3228-4d94-a216-7661c98bfeb2,Ski,S300009,CID-005,CA-0930,2025-07-10,Completed,889.97,77.87,967.84,MC,USD,SampleGen
107c2f56-2d24-4cca-9207-d3dd13db56fc,Ski,S300010,CID-005,CA-0930,2025-08-09,Shipped,1599.98,140.0,1739.98,VISA,USD,SampleGen
4d453d50-b02e-47df-b75f-cf4c46953748,Ski,S300011,CID-005,CA-0930,2021-08-03,Completed,2139.93,187.25,2327.18,AmEx,USD,SampleGen
b764fbd3-c60c-47f4-9aae-67ba8f63c165,Ski,S300012,CID-006,CA-0931,2022-12-31,Cancelled,899.99,78.75,978.74,Discover,USD,SampleGen
8e7c1d88-1498-41bc-86a2-f0bdcf20a324,Ski,S300013,CID-006,CA-0931,2022-06-30,Completed,159.98,14.0,173.98,VISA,USD,SampleGen
df25f190-7a1b-4cd5-b616-4a8a568cfb9d,Ski,S300014,CID-006,CA-0931,2024-01-28,Completed,1279.97,112.0,1391.97,VISA,USD,SampleGen
