ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,2026-04-01,Monthly,315,85.27,1.4,Growing,216,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
2,1521,Adventurer Pro Backpack,Camping,2026-04-01,Weekly,73,84.73,1.4,Growing,216,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
3,1521,Adventurer Pro Backpack,Camping,2026-04-08,Weekly,73,86.04,1.4,Growing,216,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
4,1521,Adventurer Pro Backpack,Camping,2026-04-15,Weekly,73,83.0,1.4,Growing,216,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
5,1521,Adventurer Pro Backpack,Camping,2026-04-22,Weekly,73,84.96,1.4,Growing,216,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
6,1521,Adventurer Pro Backpack,Camping,2026-05-01,Monthly,327,85.27,1.5,Growing,216,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
7,1521,Adventurer Pro Backpack,Camping,2026-05-31,Monthly,336,85.27,1.5,Growing,216,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
8,1531,Summit Breeze Jacket,Camping,2026-04-01,Monthly,285,83.66,1.4,Growing,199,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
9,1531,Summit Breeze Jacket,Camping,2026-04-01,Weekly,66,84.97,1.4,Growing,199,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
10,1531,Summit Breeze Jacket,Camping,2026-04-08,Weekly,66,85.16,1.4,Growing,199,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
11,1531,Summit Breeze Jacket,Camping,2026-04-15,Weekly,66,80.51,1.4,Growing,199,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
12,1531,Summit Breeze Jacket,Camping,2026-04-22,Weekly,66,85.91,1.4,Growing,199,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
13,1531,Summit Breeze Jacket,Camping,2026-05-01,Monthly,312,83.66,1.5,Growing,199,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
14,1531,Summit Breeze Jacket,Camping,2026-05-31,Monthly,294,83.66,1.5,Growing,199,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
15,1541,TrekReady Hiking Boots,Camping,2026-04-01,Monthly,224,90.17,1.4,Growing,155,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
16,1541,TrekReady Hiking Boots,Camping,2026-04-01,Weekly,52,87.86,1.4,Growing,155,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
17,1541,TrekReady Hiking Boots,Camping,2026-04-08,Weekly,52,85.62,1.4,Growing,155,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
18,1541,TrekReady Hiking Boots,Camping,2026-04-15,Weekly,52,91.75,1.4,Growing,155,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
19,1541,TrekReady Hiking Boots,Camping,2026-04-22,Weekly,52,86.91,1.4,Growing,155,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
20,1541,TrekReady Hiking Boots,Camping,2026-05-01,Monthly,235,90.17,1.5,Growing,155,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
21,1541,TrekReady Hiking Boots,Camping,2026-05-31,Monthly,241,90.17,1.5,Growing,155,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
22,1551,BaseCamp Folding Table,Camping,2026-04-01,Monthly,136,90.35,1.4,Growing,93,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
23,1551,BaseCamp Folding Table,Camping,2026-04-01,Weekly,31,90.92,1.4,Growing,93,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
24,1551,BaseCamp Folding Table,Camping,2026-04-08,Weekly,31,87.04,1.4,Growing,93,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
25,1551,BaseCamp Folding Table,Camping,2026-04-15,Weekly,31,87.84,1.4,Growing,93,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
26,1551,BaseCamp Folding Table,Camping,2026-04-22,Weekly,31,93.11,1.4,Growing,93,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
27,1551,BaseCamp Folding Table,Camping,2026-05-01,Monthly,140,90.35,1.5,Growing,93,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
28,1551,BaseCamp Folding Table,Camping,2026-05-31,Monthly,134,90.35,1.5,Growing,93,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
29,1561,EcoFire Camping Stove,Camping,2026-04-01,Monthly,93,89.59,1.4,Growing,66,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
30,1561,EcoFire Camping Stove,Camping,2026-04-01,Weekly,21,84.95,1.4,Growing,66,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
31,1561,EcoFire Camping Stove,Camping,2026-04-08,Weekly,21,91.35,1.4,Growing,66,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
32,1561,EcoFire Camping Stove,Camping,2026-04-15,Weekly,21,89.76,1.4,Growing,66,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
33,1561,EcoFire Camping Stove,Camping,2026-04-22,Weekly,21,84.95,1.4,Growing,66,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
34,1561,EcoFire Camping Stove,Camping,2026-05-01,Monthly,97,89.59,1.5,Growing,66,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
35,1561,EcoFire Camping Stove,Camping,2026-05-31,Monthly,98,89.59,1.5,Growing,66,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
36,1571,CozyNights Sleeping Bag,Camping,2026-04-01,Monthly,132,92.65,1.4,Growing,91,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
37,1571,CozyNights Sleeping Bag,Camping,2026-04-01,Weekly,30,92.95,1.4,Growing,91,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
38,1571,CozyNights Sleeping Bag,Camping,2026-04-08,Weekly,30,90.49,1.4,Growing,91,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
39,1571,CozyNights Sleeping Bag,Camping,2026-04-15,Weekly,30,95.37,1.4,Growing,91,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
40,1571,CozyNights Sleeping Bag,Camping,2026-04-22,Weekly,30,93.88,1.4,Growing,91,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
41,1571,CozyNights Sleeping Bag,Camping,2026-05-01,Monthly,130,92.65,1.5,Growing,91,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
42,1571,CozyNights Sleeping Bag,Camping,2026-05-31,Monthly,135,92.65,1.5,Growing,91,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
43,1511,Alpine Explorer Tent,Camping,2026-04-01,Monthly,345,89.6,1.4,Growing,243,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
44,1511,Alpine Explorer Tent,Camping,2026-04-01,Weekly,80,85.9,1.4,Growing,243,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
45,1511,Alpine Explorer Tent,Camping,2026-04-08,Weekly,80,90.57,1.4,Growing,243,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
46,1511,Alpine Explorer Tent,Camping,2026-04-15,Weekly,80,89.38,1.4,Growing,243,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
47,1511,Alpine Explorer Tent,Camping,2026-04-22,Weekly,80,90.93,1.4,Growing,243,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
48,1511,Alpine Explorer Tent,Camping,2026-05-01,Monthly,357,89.6,1.5,Growing,243,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
49,1511,Alpine Explorer Tent,Camping,2026-05-31,Monthly,382,89.6,1.5,Growing,243,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
50,1522,SummitClimber Backpack,Camping,2026-04-01,Monthly,304,85.96,1.4,Growing,219,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
51,1522,SummitClimber Backpack,Camping,2026-04-01,Weekly,70,86.08,1.4,Growing,219,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
52,1522,SummitClimber Backpack,Camping,2026-04-08,Weekly,70,85.84,1.4,Growing,219,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
53,1522,SummitClimber Backpack,Camping,2026-04-15,Weekly,70,81.73,1.4,Growing,219,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
54,1522,SummitClimber Backpack,Camping,2026-04-22,Weekly,70,87.79,1.4,Growing,219,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
55,1522,SummitClimber Backpack,Camping,2026-05-01,Monthly,332,85.96,1.5,Growing,219,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
56,1522,SummitClimber Backpack,Camping,2026-05-31,Monthly,312,85.96,1.5,Growing,219,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
57,1532,TrailBlaze Hiking Pants,Camping,2026-04-01,Monthly,306,77.77,1.4,Growing,212,Sales Velocity + Seasonal,30,,,system,2026-03-12 11:05:26
58,1532,TrailBlaze Hiking Pants,Camping,2026-04-01,Weekly,71,80.55,1.4,Growing,212,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
59,1532,TrailBlaze Hiking Pants,Camping,2026-04-08,Weekly,71,74.09,1.4,Growing,212,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
60,1532,TrailBlaze Hiking Pants,Camping,2026-04-15,Weekly,71,74.79,1.4,Growing,212,Sales Velocity + Seasonal,7,,,system,2026-03-12 11:05:26
