PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,1,Contoso Ltd,2026-01-07,2026-01-19,2026-01-20,Delivered,9309.9,Main Warehouse,buyer2,Medium,Order for Camping products,system,2026-01-07 11:05:25
2,PO-2026-0002,2,Proseware Inc,2026-01-09,2026-01-19,2026-01-22,Delivered,205.5,Main Warehouse,buyer2,Medium,Order for Kitchen products,system,2026-01-09 11:05:25
3,PO-2026-0003,3,Alpine Ski House,2026-01-24,2026-02-03,2026-02-05,Delivered,8910.53,Main Warehouse,buyer1,Low,Order for Ski products,system,2026-01-24 11:05:25
4,PO-2025-0004,3,Alpine Ski House,2025-12-13,2025-12-30,2025-12-31,Delivered,27702.47,Regional DC,buyer1,Medium,Order for Ski products,system,2025-12-13 11:05:25
5,PO-2025-0005,5,Fabrikam,2025-12-19,2026-01-05,2026-01-06,Delivered,37094.38,Regional DC,supply_manager,Low,Order for Ski products,system,2025-12-19 11:05:25
6,PO-2026-0006,4,Worldwide Importers,2026-02-24,2026-03-19,,InTransit,8797.81,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-02-24 11:05:25
7,PO-2026-0007,4,Worldwide Importers,2026-03-10,2026-04-03,,InTransit,2479.0,Main Warehouse,buyer2,High,Multi-category order,system,2026-03-10 11:05:25
8,PO-2026-0008,2,Proseware Inc,2026-02-04,2026-02-16,2026-02-16,Delivered,982.41,Regional DC,buyer1,Emergency,Order for Kitchen products,system,2026-02-04 11:05:25
9,PO-2026-0009,4,Worldwide Importers,2026-01-23,2026-02-13,2026-02-14,Delivered,9859.33,Main Warehouse,buyer1,Medium,Multi-category order,system,2026-01-23 11:05:25
10,PO-2026-0010,1,Contoso Ltd,2026-03-02,2026-03-17,,InTransit,14733.88,Backup Warehouse,supply_manager,High,Order for Camping products,system,2026-03-02 11:05:25
11,PO-2026-0011,1,Contoso Ltd,2026-03-02,2026-03-11,2026-03-14,Delivered,969.21,Backup Warehouse,buyer2,Low,Order for Camping products,system,2026-03-02 11:05:25
12,PO-2026-0012,5,Fabrikam,2026-01-05,2026-01-23,,InTransit,28645.47,Regional DC,buyer2,Low,Order for Ski products,system,2026-01-05 11:05:25
13,PO-2026-0013,3,Alpine Ski House,2026-01-06,2026-01-17,2026-01-17,Delivered,14713.55,Regional DC,buyer2,Low,Order for Ski products,system,2026-01-06 11:05:25
