InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-de4955b4-9b1a-4b93-ba34-342897668b25,ID200000,CID-001,de4955b4-9b1a-4b93-ba34-342897668b25,2021-05-23,2021-06-22,2423.88,145.44,2569.32,Issued,SampleGen
INV-b26a82f5-3f9e-433e-9825-f558f712c6f9,ID200001,CID-001,b26a82f5-3f9e-433e-9825-f558f712c6f9,2021-08-19,2021-09-18,371.88,22.32,394.2,Issued,SampleGen
INV-87ec40e5-2728-4a17-bbad-427a5dcedebd,ID200002,CID-001,87ec40e5-2728-4a17-bbad-427a5dcedebd,2021-09-02,2021-10-02,2019.82,121.2,2141.02,Issued,SampleGen
INV-a345ec26-ccdb-4b6e-a564-b608400dcca1,ID200003,CID-001,a345ec26-ccdb-4b6e-a564-b608400dcca1,2021-12-19,2022-01-18,4131.74,247.92,4379.66,Issued,SampleGen
INV-cf56af2b-2323-46a6-b292-81b675798f31,ID200004,CID-001,cf56af2b-2323-46a6-b292-81b675798f31,2022-02-17,2022-03-19,1451.78,87.12,1538.9,Issued,SampleGen
INV-1c2472b7-ee9b-442c-8f06-ea53d7331a4e,ID200005,CID-001,1c2472b7-ee9b-442c-8f06-ea53d7331a4e,2022-05-31,2022-06-30,2363.76,141.82,2505.58,Issued,SampleGen
INV-a41a84b9-beda-412d-a53b-b12ccb057d02,ID200006,CID-001,a41a84b9-beda-412d-a53b-b12ccb057d02,2022-06-15,2022-07-15,1079.7,64.8,1144.5,Issued,SampleGen
INV-115bf041-1654-426e-b18a-fb472cd17c91,ID200007,CID-001,115bf041-1654-426e-b18a-fb472cd17c91,2022-07-08,2022-08-07,1365.74,81.96,1447.7,Issued,SampleGen
INV-0164cc85-65ba-4787-87ca-dbe4f55784fa,ID200008,CID-001,0164cc85-65ba-4787-87ca-dbe4f55784fa,2022-08-14,2022-09-13,469.9,28.2,498.1,Issued,SampleGen
INV-b84f7e37-56fd-40af-a01b-266d50b90145,ID200009,CID-001,b84f7e37-56fd-40af-a01b-266d50b90145,2022-09-17,2022-10-17,681.82,40.92,722.74,Issued,SampleGen
