PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-eeae5ed2-0207-402e-95c8-9fd438b25a60,INV-eeae5ed2-0207-402e-95c8-9fd438b25a60,CID-001,2024-01-17,880.83,Discover,Completed,SampleGen
PAY-52b4bd74-cf20-436f-846f-9614f94482b7,INV-52b4bd74-cf20-436f-846f-9614f94482b7,CID-001,2025-04-21,3316.84,VISA,Completed,SampleGen
PAY-c2c22265-d635-4e15-8f99-e4c138fbabd4,INV-c2c22265-d635-4e15-8f99-e4c138fbabd4,CID-001,2023-08-14,739.47,Discover,Completed,SampleGen
PAY-f7acac5e-3230-48df-a62f-e8e4bd18579f,INV-f7acac5e-3230-48df-a62f-e8e4bd18579f,CID-001,2023-11-16,1163.57,AmEx,Completed,SampleGen
PAY-5a40d1ae-ae2a-4a41-aefc-38fabbd356e6,INV-5a40d1ae-ae2a-4a41-aefc-38fabbd356e6,CID-002,2025-03-13,4676.19,MC,Completed,SampleGen
PAY-0f57d219-73bf-4266-b20b-474207c269fb,INV-0f57d219-73bf-4266-b20b-474207c269fb,CID-002,2025-10-07,86.99,MC,Completed,SampleGen
PAY-5f231032-8cc5-447a-8380-72bd628c480f,INV-5f231032-8cc5-447a-8380-72bd628c480f,CID-003,2022-12-28,1533.34,PayPal,Completed,SampleGen
PAY-7f6284c3-071e-4713-a283-25952336b0dc,INV-7f6284c3-071e-4713-a283-25952336b0dc,CID-003,2022-08-03,1141.85,VISA,Completed,SampleGen
PAY-6000cd89-ded0-4688-ac92-2f4f5d0a320f,INV-6000cd89-ded0-4688-ac92-2f4f5d0a320f,CID-004,2022-05-07,260.98,Discover,Completed,SampleGen
PAY-cbaff8de-4e91-4d76-b187-08d4503eb14b,INV-cbaff8de-4e91-4d76-b187-08d4503eb14b,CID-004,2025-01-23,2120.59,PayPal,Completed,SampleGen
PAY-c03660ee-160d-44e0-b234-60ac47628585,INV-c03660ee-160d-44e0-b234-60ac47628585,CID-005,2025-05-07,2696.93,MC,Completed,SampleGen
PAY-9f5000fc-43f9-46c2-9ed5-7cc0fc49eae3,INV-9f5000fc-43f9-46c2-9ed5-7cc0fc49eae3,CID-005,2022-11-30,1261.48,PayPal,Completed,SampleGen
PAY-71e76a3d-bd49-4bdd-bbf8-2342298a93e4,INV-71e76a3d-bd49-4bdd-bbf8-2342298a93e4,CID-005,2024-05-22,1560.52,AmEx,Completed,SampleGen
PAY-272392d7-2f99-4bf0-bdfd-dfd954fbda30,INV-272392d7-2f99-4bf0-bdfd-dfd954fbda30,CID-005,2024-09-01,869.98,MC,Completed,SampleGen
PAY-82a1e20c-9642-46a6-8f18-c3b266dc97b6,INV-82a1e20c-9642-46a6-8f18-c3b266dc97b6,CID-006,2025-09-02,543.73,Discover,Completed,SampleGen
PAY-51c0ecbf-5c47-4d5b-8b0e-20e7ff1e15f9,INV-51c0ecbf-5c47-4d5b-8b0e-20e7ff1e15f9,CID-006,2026-01-20,1913.94,AmEx,Completed,SampleGen
PAY-da5f84e4-7181-42b7-b41a-bc3abfa9e6cf,INV-da5f84e4-7181-42b7-b41a-bc3abfa9e6cf,CID-006,2023-03-28,674.21,PayPal,Completed,SampleGen
PAY-001b3868-62fa-4bc2-b86f-af3e8a4edaff,INV-001b3868-62fa-4bc2-b86f-af3e8a4edaff,CID-006,2024-09-08,1576.84,VISA,Completed,SampleGen
PAY-d98dce4a-5f13-423b-8538-0112a5c295a2,INV-d98dce4a-5f13-423b-8538-0112a5c295a2,CID-006,2024-01-19,1141.84,MC,Completed,SampleGen
PAY-eb863a23-76fe-4a96-a0e8-711546cb57e9,INV-eb863a23-76fe-4a96-a0e8-711546cb57e9,CID-007,2023-10-24,250.08,VISA,Completed,SampleGen
PAY-7b90629e-1989-4066-a0f3-b89cd763e69c,INV-7b90629e-1989-4066-a0f3-b89cd763e69c,CID-007,2026-03-08,1076.59,VISA,Completed,SampleGen
PAY-899133c1-9898-4619-86e7-8df6fb4d4fba,INV-899133c1-9898-4619-86e7-8df6fb4d4fba,CID-008,2024-02-14,804.72,VISA,Completed,SampleGen
PAY-dd572bad-4f70-4a05-ae29-6576532cb339,INV-dd572bad-4f70-4a05-ae29-6576532cb339,CID-008,2022-12-15,402.34,MC,Completed,SampleGen
