InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
7073e844-d2fc-487e-856d-996573bac525,IN-F100000,CID-001,9efc4079-2a1c-4f41-b462-9377e8fe51e2,2023-02-01,2023-02-01,389.97,34.12,424.09,Issued,SampleGen
0e123ea9-b22b-4dfc-a85a-d1482ed71b6e,IN-F100001,CID-001,9d7c1d1d-e708-4bd7-9903-9a682f815e9f,2023-02-11,2023-02-11,709.95,62.12,772.07,Issued,SampleGen
10b6a9b8-5008-4e9d-8662-8d70148a2399,IN-F100002,CID-001,31f3efeb-68a5-41d2-b555-84466e4db3a3,2023-03-11,2023-03-11,869.91,76.11,946.02,Issued,SampleGen
330d1591-e709-4b98-bb51-fc3f54fc87e6,IN-F100003,CID-001,55eb4fa8-b9d4-452d-a154-08dbd710e07d,2023-04-09,2023-04-09,629.95,55.12,685.07,Issued,SampleGen
f742dfa4-328f-47ed-8b0c-f59b0bfc28ba,IN-F100004,CID-001,14a5069f-5194-43da-8783-6bf04cf8da95,2023-05-08,2023-05-08,269.97,23.62,293.59,Issued,SampleGen
0d069a9c-a7f4-42e7-a480-138322ca6136,IN-F100005,CID-001,8a9003a1-e479-4a8b-9601-cbae5933f353,2023-06-27,2023-06-27,229.97,20.12,250.09,Issued,SampleGen
46850ddf-7119-4e62-be1d-10f01f33a450,IN-F100006,CID-001,f5e18bdb-9198-443f-8393-41223095689d,2023-07-17,2023-07-17,809.94,70.87,880.81,Issued,SampleGen
b1acd288-4578-4136-8eab-8abe41cc2317,IN-F100007,CID-001,999f24ae-2de3-428b-bbe9-8f65370b8388,2023-08-14,2023-08-14,1099.93,96.24,1196.17,Issued,SampleGen
a1104b2a-ad29-4f0f-a608-daf84bf1eb08,IN-F100008,CID-001,5aa93a21-774b-4d57-ac86-7e5f7f0ac803,2023-09-04,2023-09-04,1899.92,166.24,2066.16,Issued,SampleGen
0540a272-f845-4c70-b2ed-cdbfa9be47d1,IN-F100009,CID-001,c783e0a2-cc98-4786-903b-1eef29ae6075,2023-10-31,2023-10-31,759.94,66.49,826.43,Issued,SampleGen
2396fd87-1eed-4da5-abca-f5bccc9eaeab,IN-F100010,CID-001,6d00fced-6a43-4f6b-a69b-6335748f8ac0,2023-11-05,2023-11-05,149.99,13.12,163.11,Issued,SampleGen
