ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,2026-05-01,Monthly,97,60.77,1.0,Growing,90,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-29 00:00:00
2,1521,Adventurer Pro Backpack,Camping,2026-05-01,Weekly,22,61.2,1.0,Growing,90,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-02 00:00:00
3,1521,Adventurer Pro Backpack,Camping,2026-05-08,Weekly,22,57.75,1.0,Growing,90,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-01 00:00:00
4,1521,Adventurer Pro Backpack,Camping,2026-05-15,Weekly,22,56.02,1.0,Growing,90,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-08 00:00:00
5,1521,Adventurer Pro Backpack,Camping,2026-05-22,Weekly,22,58.83,1.0,Growing,90,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-07 00:00:00
6,1521,Adventurer Pro Backpack,Camping,2026-06-01,Monthly,104,60.77,1.0,Growing,90,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-13 00:00:00
7,1521,Adventurer Pro Backpack,Camping,2026-07-01,Monthly,113,60.77,1.0,Growing,90,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-11 00:00:00
8,1531,Summit Breeze Jacket,Camping,2026-05-01,Monthly,108,80.0,1.0,Growing,100,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-16 00:00:00
9,1531,Summit Breeze Jacket,Camping,2026-05-01,Weekly,25,78.38,1.0,Growing,100,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-14 00:00:00
10,1531,Summit Breeze Jacket,Camping,2026-05-08,Weekly,25,84.58,1.0,Growing,100,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-08 00:00:00
11,1531,Summit Breeze Jacket,Camping,2026-05-15,Weekly,25,78.52,1.0,Growing,100,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-31 00:00:00
