TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,1542,TrailWalker Hiking Shoes,Camping,Main,Sale,2025-11-16 00:00:00,-6,99.72,-598.32,SO-84511,Customer Sale,2,-4,warehouse2,Transaction processed for Main location,system,2025-11-16 00:00:00
2,1563,CompactCook Camping Stove,Camping,Backup,Return,2026-01-16 00:00:00,3,55.79,167.38,RET-76256,Customer Return,154,157,system,Transaction processed for Backup location,system,2026-01-16 00:00:00
3,1552,TrekMaster Camping Chair,Camping,Backup,Receipt,2025-11-01 00:00:00,65,61.21,3978.92,PO-2315,Purchase Order Receipt,14,79,warehouse1,Transaction processed for Backup location,system,2025-11-01 00:00:00
4,3012,Mountain Master All-Terrain Skis - 165cm,Ski,Main,Sale,2026-02-19 00:00:00,-14,661.35,-9258.9,SO-51539,Customer Sale,43,29,warehouse2,Transaction processed for Main location,system,2026-02-19 00:00:00
5,1552,TrekMaster Camping Chair,Camping,Backup,Receipt,2026-03-12 00:00:00,94,60.23,5661.62,PO-8498,Purchase Order Receipt,36,130,warehouse1,Transaction processed for Backup location,system,2026-03-12 00:00:00
6,3091,Freestyle Snowboard - 155cm,Ski,Backup,Adjustment,2025-11-21 00:00:00,11,474.97,5224.67,ADJ-6,Physical Count,105,116,warehouse2,Transaction processed for Backup location,system,2025-11-21 00:00:00
7,1511,Alpine Explorer Tent,Camping,Main,Receipt,2025-11-14 00:00:00,150,355.0,53250.49,PO-5853,Purchase Order Receipt,123,273,system,Transaction processed for Main location,system,2025-11-14 00:00:00
8,2011,Coffee Maker,Kitchen,Regional,Receipt,2026-01-03 00:00:00,198,133.64,26461.64,PO-8772,Purchase Order Receipt,105,303,warehouse2,Transaction processed for Regional location,system,2026-01-03 00:00:00
9,1552,TrekMaster Camping Chair,Camping,Main,Sale,2026-04-20 00:00:00,-12,58.87,-706.44,SO-67827,Customer Sale,69,57,warehouse2,Transaction processed for Main location,system,2026-04-20 00:00:00
10,1553,Adventure Dining Table,Camping,Backup,Adjustment,2025-10-22 00:00:00,-14,117.42,-1643.88,ADJ-10,Cycle Count,62,48,warehouse2,Transaction processed for Backup location,system,2025-10-22 00:00:00
11,3021,Nordic Classic XC Skis - 185cm,Ski,Main,Receipt,2026-02-11 00:00:00,11,280.08,3080.83,PO-2041,Purchase Order Receipt,118,129,warehouse2,Transaction processed for Main location,system,2026-02-11 00:00:00
12,3091,Freestyle Snowboard - 155cm,Ski,Main,Sale,2026-04-12 00:00:00,-8,474.97,-3799.76,SO-82253,Customer Sale,31,23,warehouse2,Transaction processed for Main location,system,2026-04-12 00:00:00
13,1541,TrekReady Hiking Boots,Camping,Main,Sale,2025-12-30 00:00:00,-22,137.14,-3017.08,SO-80214,Customer Sale,39,17,system,Transaction processed for Main location,system,2025-12-30 00:00:00
14,3021,Nordic Classic XC Skis - 185cm,Ski,Backup,Sale,2025-11-22 00:00:00,-29,269.45,-7814.05,SO-92357,Customer Sale,3,-26,system,Transaction processed for Backup location,system,2025-11-22 00:00:00
15,3071,Ski Boot Bag - Premium,Ski,Main,Transfer,2026-02-15 00:00:00,-7,42.67,-298.69,TRF-4468,Warehouse Transfer,142,135,warehouse1,Transaction processed for Main location,system,2026-02-15 00:00:00
16,3091,Freestyle Snowboard - 155cm,Ski,Main,Sale,2026-01-19 00:00:00,-12,474.97,-5699.64,SO-35736,Customer Sale,47,35,warehouse1,Transaction processed for Main location,system,2026-01-19 00:00:00
17,3103,Snowboard Bindings - Pro,Ski,Main,Sale,2025-10-26 00:00:00,-36,205.28,-7390.08,SO-13992,Customer Sale,225,189,warehouse2,Transaction processed for Main location,system,2025-10-26 00:00:00
18,2061,Mixing Bowl,Kitchen,Main,Sale,2025-12-30 00:00:00,-41,29.43,-1206.63,SO-80767,Customer Sale,33,-8,system,Transaction processed for Main location,system,2025-12-30 00:00:00
19,2012,Espresso Machine,Kitchen,Regional,Return,2026-01-23 00:00:00,1,254.35,254.35,RET-12735,Customer Return,77,78,warehouse2,Transaction processed for Regional location,system,2026-01-23 00:00:00
20,1551,BaseCamp Folding Table,Camping,Main,Receipt,2025-11-23 00:00:00,122,61.76,7535.27,PO-5800,Purchase Order Receipt,128,250,warehouse2,Transaction processed for Main location,system,2025-11-23 00:00:00
