OrderId,OrderLineNumber,ProductId,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
159f3b01-5537-4595-9837-123a5817c3fa,1,3031,Pro Flex Racing Ski Boots,1,649.99,649.99,0.0,56.87
9f470d73-1a98-41c7-977d-56bdc23e9462,1,3042,Aluminum All-Mountain Poles - 115cm,2,99.99,199.98,0.0,17.5
9f470d73-1a98-41c7-977d-56bdc23e9462,2,3031,Pro Flex Racing Ski Boots,2,649.99,1299.98,0.0,113.75
ee7f74cc-8fe2-44f4-b826-42a8ec4f8d1e,1,3031,Pro Flex Racing Ski Boots,2,649.99,1299.98,0.0,113.75
33730f56-58f2-4e3c-9eb2-d9374716e783,1,3091,Freestyle Snowboard - 155cm,1,649.99,649.99,0.0,56.87
052a57a7-b9bf-4f51-8c1e-d9250510dd52,1,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
052a57a7-b9bf-4f51-8c1e-d9250510dd52,2,3012,Mountain Master All-Terrain Skis - 165cm,1,899.99,899.99,0.0,78.75
052a57a7-b9bf-4f51-8c1e-d9250510dd52,3,3041,Carbon Fiber Racing Poles - 120cm,1,179.99,179.99,0.0,15.75
052a57a7-b9bf-4f51-8c1e-d9250510dd52,4,3051,Insulated Ski Jacket - Men's,2,299.99,599.98,0.0,52.5
3066d3fd-83e5-4e45-a18b-ad21ddfade5b,1,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
3066d3fd-83e5-4e45-a18b-ad21ddfade5b,2,3104,Ski Tuning Bench - Portable,2,189.99,379.98,0.0,33.25
2063fbd2-53c1-4590-883f-b5031ca8d3fe,1,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
2063fbd2-53c1-4590-883f-b5031ca8d3fe,2,3103,Snowboard Bindings - Pro,2,299.99,599.98,0.0,52.5
2063fbd2-53c1-4590-883f-b5031ca8d3fe,3,3104,Ski Tuning Bench - Portable,2,189.99,379.98,0.0,33.25
a99cba18-de9b-4c66-983e-cafca4c6f24f,1,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
a99cba18-de9b-4c66-983e-cafca4c6f24f,2,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
a99cba18-de9b-4c66-983e-cafca4c6f24f,3,3031,Pro Flex Racing Ski Boots,2,649.99,1299.98,0.0,113.75
c6241194-3d10-48d0-91ac-edd8c7837e21,1,3033,Women's Performance Ski Boots,2,579.99,1159.98,0.0,101.5
c6241194-3d10-48d0-91ac-edd8c7837e21,2,3011,Alpine Pro Racing Skis - 170cm,2,1299.99,2599.98,0.0,227.5
cf38b2c4-e838-4247-b316-b4644619d08c,1,3021,Nordic Classic XC Skis - 185cm,2,349.99,699.98,0.0,61.25
8134167c-0cba-4b70-a678-f5d00337a4b2,1,3011,Alpine Pro Racing Skis - 170cm,1,1299.99,1299.99,0.0,113.75
8134167c-0cba-4b70-a678-f5d00337a4b2,2,3013,Beginner's Choice Alpine Skis - 160cm,1,449.99,449.99,0.0,39.37
8134167c-0cba-4b70-a678-f5d00337a4b2,3,3062,Anti-Fog Ski Goggles,1,129.99,129.99,0.0,11.37
8134167c-0cba-4b70-a678-f5d00337a4b2,4,3051,Insulated Ski Jacket - Men's,1,299.99,299.99,0.0,26.25
f116a06f-9a81-4f29-9d62-370e928edcff,1,3062,Anti-Fog Ski Goggles,1,129.99,129.99,0.0,11.37
f116a06f-9a81-4f29-9d62-370e928edcff,2,3052,Thermal Base Layer Set - Women's,2,149.99,299.98,0.0,26.25
f116a06f-9a81-4f29-9d62-370e928edcff,3,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
