TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,3101,Winter Boots - Insulated,Ski,Backup,Sale,2025-09-04 00:00:00,-47,119.61,-5621.67,SO-83308,Customer Sale,73,26,system,Transaction processed for Backup location,system,2025-09-04 00:00:00
2,1523,TrailLite Daypack,Camping,Backup,Receipt,2025-05-21 00:00:00,136,55.46,7542.29,PO-1887,Purchase Order Receipt,45,181,warehouse1,Transaction processed for Backup location,system,2025-05-21 00:00:00
3,3092,All-Mountain Snowboard - 158cm,Ski,Backup,Sale,2026-02-20 00:00:00,-5,511.74,-2558.7,SO-31230,Customer Sale,79,74,system,Transaction processed for Backup location,system,2026-02-20 00:00:00
4,3101,Winter Boots - Insulated,Ski,Main,Sale,2026-02-10 00:00:00,-37,119.61,-4425.57,SO-62407,Customer Sale,85,48,warehouse1,Transaction processed for Main location,system,2026-02-10 00:00:00
5,2011,Coffee Maker,Kitchen,Main,Receipt,2025-07-30 00:00:00,182,147.75,26889.77,PO-6061,Purchase Order Receipt,131,313,warehouse2,Transaction processed for Main location,system,2025-07-30 00:00:00
6,3021,Nordic Classic XC Skis - 185cm,Ski,Main,Adjustment,2025-01-19 00:00:00,-6,233.42,-1400.52,ADJ-6,System Correction,172,166,warehouse2,Transaction processed for Main location,system,2025-01-19 00:00:00
7,1553,Adventure Dining Table,Camping,Main,Sale,2025-01-19 00:00:00,-27,117.62,-3175.74,SO-97485,Customer Sale,32,5,system,Transaction processed for Main location,system,2025-01-19 00:00:00
8,1553,Adventure Dining Table,Camping,Main,Damage,2025-11-11 00:00:00,-1,117.62,-117.62,DMG-8,Shipping Damage,194,193,system,Transaction processed for Main location,system,2025-11-11 00:00:00
9,1542,TrailWalker Hiking Shoes,Camping,Main,Receipt,2025-06-30 00:00:00,178,88.01,15665.95,PO-8157,Purchase Order Receipt,34,212,system,Transaction processed for Main location,system,2025-06-30 00:00:00
10,3104,Ski Tuning Bench - Portable,Ski,Backup,Sale,2026-02-25 00:00:00,-27,130.12,-3513.24,SO-40740,Customer Sale,19,-8,warehouse2,Transaction processed for Backup location,system,2026-02-25 00:00:00
11,1532,TrailBlaze Hiking Pants,Camping,Main,Transfer,2026-03-11 00:00:00,-32,62.58,-2002.56,TRF-9264,Warehouse Transfer,59,27,warehouse2,Transaction processed for Main location,system,2026-03-11 00:00:00
12,3104,Ski Tuning Bench - Portable,Ski,Backup,Return,2025-05-03 00:00:00,4,104.1,416.38,RET-89774,Customer Return,10,14,warehouse2,Transaction processed for Backup location,system,2025-05-03 00:00:00
13,3102,Winter Hiking Boots - Waterproof,Ski,Main,Return,2025-10-30 00:00:00,1,135.86,135.86,RET-34907,Customer Return,148,149,warehouse1,Transaction processed for Main location,system,2025-10-30 00:00:00
14,1541,TrekReady Hiking Boots,Camping,Main,Transfer,2025-03-15 00:00:00,-23,137.96,-3173.08,TRF-4733,Warehouse Transfer,2,-21,warehouse1,Transaction processed for Main location,system,2025-03-15 00:00:00
15,1522,SummitClimber Backpack,Camping,Main,Damage,2025-06-29 00:00:00,-8,172.08,-1376.64,DMG-15,Warehouse Damage,114,106,warehouse1,Transaction processed for Main location,system,2025-06-29 00:00:00
16,2112,4-Slice Toaster,Kitchen,Main,Receipt,2025-02-20 00:00:00,122,67.2,8198.45,PO-9933,Purchase Order Receipt,6,128,warehouse2,Transaction processed for Main location,system,2025-02-20 00:00:00
17,3104,Ski Tuning Bench - Portable,Ski,Main,Return,2025-03-04 00:00:00,3,104.1,312.29,RET-79304,Customer Return,226,229,warehouse2,Transaction processed for Main location,system,2025-03-04 00:00:00
18,1532,TrailBlaze Hiking Pants,Camping,Main,Damage,2025-04-26 00:00:00,-2,62.58,-125.16,DMG-18,Warehouse Damage,124,122,warehouse1,Transaction processed for Main location,system,2025-04-26 00:00:00
19,3022,Backcountry Explorer XC Skis - 190cm,Ski,Main,Receipt,2025-06-14 00:00:00,90,350.25,31522.15,PO-2590,Purchase Order Receipt,137,227,system,Transaction processed for Main location,system,2025-06-14 00:00:00
20,2111,High-Speed Blender,Kitchen,Main,Adjustment,2025-08-23 00:00:00,10,128.4,1284.0,ADJ-20,Physical Count,41,51,warehouse2,Transaction processed for Main location,system,2025-08-23 00:00:00
21,3041,Carbon Fiber Racing Poles - 120cm,Ski,Main,Receipt,2025-09-16 00:00:00,134,148.78,19937.02,PO-1913,Purchase Order Receipt,107,241,system,Transaction processed for Main location,system,2025-09-16 00:00:00
22,1543,TrekStar Hiking Sandals,Camping,Regional,Adjustment,2026-02-18 00:00:00,19,54.12,1028.28,ADJ-22,Physical Count,121,140,warehouse2,Transaction processed for Regional location,system,2026-02-18 00:00:00
23,1543,TrekStar Hiking Sandals,Camping,Backup,Sale,2025-06-14 00:00:00,-24,54.12,-1298.88,SO-30480,Customer Sale,111,87,warehouse1,Transaction processed for Backup location,system,2025-06-14 00:00:00
24,3101,Winter Boots - Insulated,Ski,Main,Receipt,2025-04-19 00:00:00,18,123.55,2223.94,PO-4032,Purchase Order Receipt,96,114,warehouse2,Transaction processed for Main location,system,2025-04-19 00:00:00
25,3031,Pro Flex Racing Ski Boots,Ski,Main,Sale,2025-11-09 00:00:00,-20,491.77,-9835.4,SO-21899,Customer Sale,186,166,warehouse1,Transaction processed for Main location,system,2025-11-09 00:00:00
26,3022,Backcountry Explorer XC Skis - 190cm,Ski,Main,Adjustment,2025-05-14 00:00:00,10,347.04,3470.4,ADJ-26,System Correction,79,89,warehouse2,Transaction processed for Main location,system,2025-05-14 00:00:00
27,2011,Coffee Maker,Kitchen,Backup,Adjustment,2026-03-31 00:00:00,3,140.77,422.31,ADJ-27,Cycle Count,93,96,warehouse2,Transaction processed for Backup location,system,2026-03-31 00:00:00
28,3033,Women's Performance Ski Boots,Ski,Main,Sale,2025-05-24 00:00:00,-19,436.47,-8292.93,SO-88932,Customer Sale,27,8,warehouse2,Transaction processed for Main location,system,2025-05-24 00:00:00
29,3053,Waterproof Ski Pants,Ski,Main,Receipt,2025-07-19 00:00:00,46,169.09,7777.99,PO-6316,Purchase Order Receipt,1,47,system,Transaction processed for Main location,system,2025-07-19 00:00:00
30,3031,Pro Flex Racing Ski Boots,Ski,Main,Sale,2025-07-06 00:00:00,-34,491.77,-16720.18,SO-58458,Customer Sale,224,190,system,Transaction processed for Main location,system,2025-07-06 00:00:00
31,3033,Women's Performance Ski Boots,Ski,Backup,Sale,2025-01-17 00:00:00,-19,436.47,-8292.93,SO-53858,Customer Sale,58,39,warehouse1,Transaction processed for Backup location,system,2025-01-17 00:00:00
32,1533,RainGuard Hiking Jacket,Camping,Main,Receipt,2025-12-23 00:00:00,112,119.8,13417.71,PO-2125,Purchase Order Receipt,190,302,warehouse2,Transaction processed for Main location,system,2025-12-23 00:00:00
33,2071,Baking Pan,Kitchen,Backup,Sale,2025-01-16 00:00:00,-40,21.57,-862.8,SO-36302,Customer Sale,76,36,system,Transaction processed for Backup location,system,2025-01-16 00:00:00
