ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,1,Contoso Ltd,CON-1521,117.87,50,5000.0,11,Active,system,2025-11-06 11:10:37
2,1531,Summit Breeze Jacket,Camping,1,Contoso Ltd,CON-1531,118.88,10,,12,Active,system,2025-10-25 11:10:37
3,1541,TrekReady Hiking Boots,Camping,1,Contoso Ltd,CON-1541,137.96,10,,12,Active,system,2025-11-01 11:10:37
4,1551,BaseCamp Folding Table,Camping,1,Contoso Ltd,CON-1551,68.19,10,1000.0,10,Active,system,2025-12-13 11:10:37
5,1561,EcoFire Camping Stove,Camping,1,Contoso Ltd,CON-1561,93.29,1,5000.0,10,Active,system,2025-11-03 11:10:37
6,1561,EcoFire Camping Stove,Camping,4,Worldwide Importers,WOR-1561,82.2,1,500.0,26,Active,system,2026-02-01 11:10:37
7,1571,CozyNights Sleeping Bag,Camping,1,Contoso Ltd,CON-1571,98.63,1,1000.0,9,Active,system,2025-09-20 11:10:37
8,1511,Alpine Explorer Tent,Camping,1,Contoso Ltd,CON-1511,313.3,25,5000.0,9,Active,system,2025-12-14 11:10:37
9,1511,Alpine Explorer Tent,Camping,4,Worldwide Importers,WOR-1511,353.49,1,,24,Active,system,2025-09-25 11:10:37
10,1522,SummitClimber Backpack,Camping,1,Contoso Ltd,CON-1522,160.09,10,1000.0,10,Active,system,2025-12-29 11:10:37
11,1522,SummitClimber Backpack,Camping,4,Worldwide Importers,WOR-1522,184.07,50,5000.0,16,Active,system,2026-01-20 11:10:37
12,1532,TrailBlaze Hiking Pants,Camping,1,Contoso Ltd,CON-1532,62.58,10,1000.0,10,Active,system,2025-10-09 11:10:37
13,1542,TrailWalker Hiking Shoes,Camping,1,Contoso Ltd,CON-1542,92.05,25,,8,Active,system,2025-12-31 11:10:37
14,1542,TrailWalker Hiking Shoes,Camping,4,Worldwide Importers,WOR-1542,84.74,50,5000.0,18,Active,system,2025-11-27 11:10:37
15,1552,TrekMaster Camping Chair,Camping,1,Contoso Ltd,CON-1552,53.14,5,,8,Active,system,2025-10-16 11:10:37
16,1562,PowerBurner Camping Stove,Camping,1,Contoso Ltd,CON-1562,147.27,10,5000.0,11,Active,system,2025-11-14 11:10:37
17,1562,PowerBurner Camping Stove,Camping,4,Worldwide Importers,WOR-1562,145.56,10,5000.0,24,Active,system,2026-02-12 11:10:37
18,1572,MountainDream Sleeping Bag,Camping,1,Contoso Ltd,CON-1572,199.2,1,1000.0,7,Active,system,2026-02-11 11:10:37
19,1572,MountainDream Sleeping Bag,Camping,4,Worldwide Importers,WOR-1572,209.41,10,,24,Active,system,2026-01-06 11:10:37
20,1512,SkyView 2-Person Tent,Camping,1,Contoso Ltd,CON-1512,237.35,1,,9,Active,system,2025-11-30 11:10:37
21,1523,TrailLite Daypack,Camping,1,Contoso Ltd,CON-1523,52.82,10,5000.0,12,Active,system,2025-11-12 11:10:37
22,1533,RainGuard Hiking Jacket,Camping,1,Contoso Ltd,CON-1533,116.22,1,,9,Active,system,2025-10-16 11:10:37
23,1543,TrekStar Hiking Sandals,Camping,1,Contoso Ltd,CON-1543,54.12,5,10000.0,7,Active,system,2025-12-01 11:10:37
24,1553,Adventure Dining Table,Camping,1,Contoso Ltd,CON-1553,117.62,5,1000.0,8,Active,system,2026-02-02 11:10:37
25,1563,CompactCook Camping Stove,Camping,1,Contoso Ltd,CON-1563,63.08,1,5000.0,9,Active,system,2025-12-04 11:10:37
26,1581,LED Headlamp - Rechargeable,Camping,1,Contoso Ltd,CON-1581,47.01,25,10000.0,8,Active,system,2026-01-24 11:10:37
27,1581,LED Headlamp - Rechargeable,Camping,4,Worldwide Importers,WOR-1581,54.29,1,500.0,21,Active,system,2025-12-29 11:10:37
28,2011,Coffee Maker,Kitchen,2,Proseware Inc,PRO-2011,140.77,25,10000.0,10,Active,system,2025-10-25 11:10:37
29,2012,Espresso Machine,Kitchen,2,Proseware Inc,PRO-2012,286.54,25,1000.0,7,Active,system,2025-10-16 11:10:37
30,2021,Chef Knife,Kitchen,2,Proseware Inc,PRO-2021,54.49,5,1000.0,12,Active,system,2025-10-14 11:10:37
31,2022,Fork Set,Kitchen,2,Proseware Inc,PRO-2022,27.76,10,5000.0,13,Active,system,2025-09-23 11:10:37
32,2031,Coffee Mug,Kitchen,2,Proseware Inc,PRO-2031,20.63,1,1000.0,8,Active,system,2026-02-10 11:10:37
33,2041,Serving Platter,Kitchen,2,Proseware Inc,PRO-2041,43.5,1,,11,Active,system,2025-10-03 11:10:37
34,2051,Ice Cream Bowl,Kitchen,2,Proseware Inc,PRO-2051,15.86,5,10000.0,13,Active,system,2026-01-18 11:10:37
