PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-1ccf3d76-bf77-4183-b763-fd64681ef5f4,INV-1ccf3d76-bf77-4183-b763-fd64681ef5f4,CID-001,2025-08-02,2566.45,VISA,Completed,SampleGen
PAY-61ce6798-5765-4f3a-b811-3ee07b5d934e,INV-61ce6798-5765-4f3a-b811-3ee07b5d934e,CID-001,2025-11-04,2566.45,MC,Completed,SampleGen
PAY-df6c246f-2689-4b48-a7df-cb4ccc61431a,INV-df6c246f-2689-4b48-a7df-cb4ccc61431a,CID-001,2025-06-15,924.32,VISA,Completed,SampleGen
PAY-767454d7-4c83-4b61-9dda-208fe0b94803,INV-767454d7-4c83-4b61-9dda-208fe0b94803,CID-002,2025-07-19,706.86,PayPal,Completed,SampleGen
PAY-fca647e7-a616-4888-a595-c2b756a6855f,INV-fca647e7-a616-4888-a595-c2b756a6855f,CID-002,2025-02-19,1990.08,AmEx,Completed,SampleGen
PAY-f29f55c7-cb54-4435-93cc-3df414403157,INV-f29f55c7-cb54-4435-93cc-3df414403157,CID-003,2025-08-23,1544.21,AmEx,Completed,SampleGen
PAY-5021ce7e-008d-4aa1-8f46-e6f2255eeb6a,INV-5021ce7e-008d-4aa1-8f46-e6f2255eeb6a,CID-003,2025-08-19,467.59,VISA,Completed,SampleGen
PAY-247581e5-e20c-4989-b15f-04f405f20d29,INV-247581e5-e20c-4989-b15f-04f405f20d29,CID-003,2025-05-05,358.84,PayPal,Completed,SampleGen
PAY-27e6a306-7a41-41a2-9fd9-68f4e1028007,INV-27e6a306-7a41-41a2-9fd9-68f4e1028007,CID-004,2026-01-12,3273.31,VISA,Completed,SampleGen
PAY-2c029474-2deb-447b-9c50-3fbad84cf6b4,INV-2c029474-2deb-447b-9c50-3fbad84cf6b4,CID-004,2025-03-17,1261.48,PayPal,Completed,SampleGen
PAY-eeda97b8-7085-45b0-9520-e5dac8b56300,INV-eeda97b8-7085-45b0-9520-e5dac8b56300,CID-005,2025-06-08,86.99,Discover,Completed,SampleGen
PAY-5577ab2f-41f7-402d-8f9b-c229dcad7be7,INV-5577ab2f-41f7-402d-8f9b-c229dcad7be7,CID-005,2025-05-21,1261.45,MC,Completed,SampleGen
PAY-56f1ef0f-ed36-454c-965f-228dc069fb86,INV-56f1ef0f-ed36-454c-965f-228dc069fb86,CID-005,2025-05-03,1217.96,PayPal,Completed,SampleGen
PAY-eb1cf45f-8525-4734-938a-3d5a1b293311,INV-eb1cf45f-8525-4734-938a-3d5a1b293311,CID-005,2025-05-11,337.1,VISA,Completed,SampleGen
PAY-7224ae26-cd0d-42cd-90c9-004fb971c9dc,INV-7224ae26-cd0d-42cd-90c9-004fb971c9dc,CID-006,2026-02-12,1370.2,MC,Completed,SampleGen
PAY-7c767c52-5b3e-4cee-aa79-d2444b6e0273,INV-7c767c52-5b3e-4cee-aa79-d2444b6e0273,CID-006,2025-07-03,494.77,VISA,Completed,SampleGen
PAY-1a181052-d371-446c-a136-08fb29717a9a,INV-1a181052-d371-446c-a136-08fb29717a9a,CID-006,2026-02-19,3023.18,PayPal,Completed,SampleGen
PAY-ddfd81a2-4994-48ea-bb2d-c4bde317a30b,INV-ddfd81a2-4994-48ea-bb2d-c4bde317a30b,CID-006,2025-04-26,1413.69,MC,Completed,SampleGen
PAY-dfe61b5c-3ebc-466e-ad42-57b600657be8,INV-dfe61b5c-3ebc-466e-ad42-57b600657be8,CID-006,2025-01-21,282.68,PayPal,Completed,SampleGen
PAY-09a88808-281d-44a9-b26f-861e62876c39,INV-09a88808-281d-44a9-b26f-861e62876c39,CID-006,2025-04-24,543.73,MC,Completed,SampleGen
PAY-391344da-554c-4c14-8ff9-a3d66e2ef776,INV-391344da-554c-4c14-8ff9-a3d66e2ef776,CID-006,2025-01-23,1881.3,VISA,Completed,SampleGen
PAY-fb227479-ea1d-4108-bf00-ddae34feeaed,INV-fb227479-ea1d-4108-bf00-ddae34feeaed,CID-007,2026-03-25,260.98,MC,Completed,SampleGen
PAY-d50e5eb3-4417-4a2a-b4fe-15daa52f8e56,INV-d50e5eb3-4417-4a2a-b4fe-15daa52f8e56,CID-007,2025-02-11,1359.34,PayPal,Completed,SampleGen
PAY-e3253839-d337-4167-9953-8eaa9011645a,INV-e3253839-d337-4167-9953-8eaa9011645a,CID-008,2026-02-27,2098.81,VISA,Completed,SampleGen
PAY-3ff0e901-5e65-44d5-9935-d4507df9d7a2,INV-3ff0e901-5e65-44d5-9935-d4507df9d7a2,CID-008,2025-03-18,2142.3,AmEx,Completed,SampleGen
PAY-def07a6f-1a58-425a-ab65-b96b16ae602b,INV-def07a6f-1a58-425a-ab65-b96b16ae602b,CID-008,2025-10-20,2153.19,PayPal,Completed,SampleGen
PAY-9e8cd1b3-a98c-40d1-a314-93912539540f,INV-9e8cd1b3-a98c-40d1-a314-93912539540f,CID-008,2025-07-20,86.99,VISA,Completed,SampleGen
PAY-3638a8ef-dbce-4755-8829-583ae153dbed,INV-3638a8ef-dbce-4755-8829-583ae153dbed,CID-009,2026-03-24,1120.09,VISA,Completed,SampleGen
PAY-5ea5730e-196b-4c9a-8b43-2948c062187c,INV-5ea5730e-196b-4c9a-8b43-2948c062187c,CID-010,2025-09-24,326.24,PayPal,Completed,SampleGen
PAY-6f41b4a1-6a8b-40de-b4ce-33291c4ca7f3,INV-6f41b4a1-6a8b-40de-b4ce-33291c4ca7f3,CID-010,2025-02-28,1739.95,AmEx,Completed,SampleGen
PAY-58d90a9a-f854-43a5-ac0f-a9c9aaa7412b,INV-58d90a9a-f854-43a5-ac0f-a9c9aaa7412b,CID-010,2025-08-27,543.72,Discover,Completed,SampleGen
PAY-5f59db5a-7ce7-44a5-a7d0-de881950e398,INV-5f59db5a-7ce7-44a5-a7d0-de881950e398,CID-010,2025-03-02,1054.81,AmEx,Completed,SampleGen
PAY-e894f3b5-ca2e-4687-b6a7-d4dba2b501a3,INV-e894f3b5-ca2e-4687-b6a7-d4dba2b501a3,CID-010,2026-02-04,630.74,Discover,Completed,SampleGen
PAY-121b157f-93d3-4414-b98c-58ad829a129e,INV-121b157f-93d3-4414-b98c-58ad829a129e,CID-011,2025-11-27,1413.74,VISA,Completed,SampleGen
PAY-b58350e1-2478-4a36-b88a-23c658ec016a,INV-b58350e1-2478-4a36-b88a-23c658ec016a,CID-011,2025-01-27,978.74,PayPal,Completed,SampleGen
PAY-e4fde9fd-ff4c-41f1-9a75-fe38f93da9d1,INV-e4fde9fd-ff4c-41f1-9a75-fe38f93da9d1,CID-011,2025-12-26,1957.48,VISA,Completed,SampleGen
PAY-82f32642-1681-4c6f-b35c-3c851086038c,INV-82f32642-1681-4c6f-b35c-3c851086038c,CID-011,2025-05-26,1294.08,MC,Completed,SampleGen
PAY-fa840759-7370-418d-9962-37a73fc77273,INV-fa840759-7370-418d-9962-37a73fc77273,CID-012,2025-11-21,326.23,VISA,Completed,SampleGen
PAY-e53fec65-7415-4f5a-bc8e-36f80e304057,INV-e53fec65-7415-4f5a-bc8e-36f80e304057,CID-013,2025-09-02,793.84,AmEx,Completed,SampleGen
PAY-079d8f2f-9377-4f39-8265-46f1c8f79416,INV-079d8f2f-9377-4f39-8265-46f1c8f79416,CID-013,2025-12-24,3099.32,VISA,Completed,SampleGen
PAY-85df0e71-0a2c-4b2d-bbac-d71a5431b2ad,INV-85df0e71-0a2c-4b2d-bbac-d71a5431b2ad,CID-014,2025-02-25,2044.46,MC,Completed,SampleGen
PAY-80a24540-457c-4f7d-9638-e26b4e0a8c11,INV-80a24540-457c-4f7d-9638-e26b4e0a8c11,CID-014,2026-01-06,1718.21,MC,Completed,SampleGen
PAY-5c12cb65-7fd5-49b7-81ff-f4a3d89049e8,INV-5c12cb65-7fd5-49b7-81ff-f4a3d89049e8,CID-015,2025-08-30,543.73,PayPal,Completed,SampleGen
PAY-8867bfdb-0309-4989-80d7-0dd338850c62,INV-8867bfdb-0309-4989-80d7-0dd338850c62,CID-015,2025-08-14,1772.58,Discover,Completed,SampleGen
PAY-6e5c3afe-bd00-4312-847e-1cacc37add48,INV-6e5c3afe-bd00-4312-847e-1cacc37add48,CID-016,2025-08-11,1826.95,MC,Completed,SampleGen
PAY-3a47dbf3-34ae-41c5-a336-4c77a7645177,INV-3a47dbf3-34ae-41c5-a336-4c77a7645177,CID-016,2025-08-31,4665.3,VISA,Completed,SampleGen
PAY-f6b8392d-9c8d-41de-9bff-25d88489734f,INV-f6b8392d-9c8d-41de-9bff-25d88489734f,CID-017,2026-03-26,2849.19,AmEx,Completed,SampleGen
PAY-b24f925e-b02b-4c7c-9f4a-b0d998aed17e,INV-b24f925e-b02b-4c7c-9f4a-b0d998aed17e,CID-017,2025-01-11,2805.69,VISA,Completed,SampleGen
