PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-61fb52e5-daa8-4bdd-8105-7f75778aafb0,INV-61fb52e5-daa8-4bdd-8105-7f75778aafb0,CID-001,2024-07-30,86.99,MC,Completed,SampleGen
PAY-d577a59c-b2b7-45ff-bc6e-66e893c9cbc7,INV-d577a59c-b2b7-45ff-bc6e-66e893c9cbc7,CID-001,2026-04-03,86.99,MC,Completed,SampleGen
PAY-3550ee64-d7e9-4d57-8c92-a9a9c739068e,INV-3550ee64-d7e9-4d57-8c92-a9a9c739068e,CID-001,2026-04-18,2033.55,AmEx,Completed,SampleGen
PAY-c7580d9e-7753-4a96-86dd-53535be5c534,INV-c7580d9e-7753-4a96-86dd-53535be5c534,CID-001,2024-11-08,217.48,MC,Completed,SampleGen
PAY-3cfca6db-0913-4e16-b2f8-333976299324,INV-3cfca6db-0913-4e16-b2f8-333976299324,CID-001,2024-12-21,195.74,AmEx,Completed,SampleGen
PAY-f6e3f70f-7d3b-4257-9da4-3fba292de974,INV-f6e3f70f-7d3b-4257-9da4-3fba292de974,CID-001,2025-03-06,86.99,AmEx,Completed,SampleGen
PAY-a9efc5bf-e6b3-49ae-9a25-d85154867914,INV-a9efc5bf-e6b3-49ae-9a25-d85154867914,CID-002,2021-07-04,1794.32,VISA,Completed,SampleGen
PAY-d27c227a-e917-4c7c-b0b8-dc7f73b25ee1,INV-d27c227a-e917-4c7c-b0b8-dc7f73b25ee1,CID-002,2024-12-21,837.34,PayPal,Completed,SampleGen
PAY-00d105ce-db1f-427f-a1b2-9de169bb38cb,INV-00d105ce-db1f-427f-a1b2-9de169bb38cb,CID-003,2022-07-25,1805.21,MC,Completed,SampleGen
PAY-12678534-c1f2-429f-b86b-0aab61057b01,INV-12678534-c1f2-429f-b86b-0aab61057b01,CID-003,2025-06-12,869.99,VISA,Completed,SampleGen
PAY-8e1c7d01-77c8-49d6-bb68-6db9c4f87d64,INV-8e1c7d01-77c8-49d6-bb68-6db9c4f87d64,CID-003,2023-06-25,891.72,VISA,Completed,SampleGen
