PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
ac35e528-0edb-40a3-885c-f353ab07b5bf,INV-f22d4e5c-c477-4945-81bb-e48469f346da,CID-001,2021-02-22,654.96,MC,Completed,SampleGen
3732b807-40a0-4d31-ae45-dbbe0e6231a8,INV-dc957214-4802-4df7-a0ed-f562c01a16df,CID-001,2021-05-20,1500.84,VISA,Completed,SampleGen
afefc950-6d0f-40a5-9486-3e7b1034418b,INV-0196efd4-a47d-4379-9a09-514577da6bd5,CID-001,2021-07-20,2353.02,VISA,Completed,SampleGen
70ec83d3-9f4b-4154-840e-058749e8436e,INV-e8267fcb-e5dd-4c67-a306-288e99f94937,CID-001,2021-08-23,4426.38,AmEx,Completed,SampleGen
0b261a15-4a0d-44fe-a015-b433fed9f53a,INV-ad3f469a-a88e-4c0c-93b4-0ec8d7f6b162,CID-001,2021-09-17,3906.94,VISA,Completed,SampleGen
7a6a9d2c-0e96-47cf-8f9c-94611fa05553,INV-85809cbb-32d6-463b-a334-4796b65815ea,CID-001,2021-10-14,474.76,VISA,Completed,SampleGen
0e52c144-877e-480a-9432-662807981ccc,INV-2fcc2370-62d0-45c6-b80e-33116d0db2c3,CID-001,2021-12-06,5952.7,MC,Completed,SampleGen
c22fa85a-1aca-4ae2-b284-001dbc69822b,INV-a10b48b8-a177-49f3-a0e7-ad8c9176e6b4,CID-001,2022-02-11,396.3,VISA,Completed,SampleGen
84828df5-a599-4825-98c9-c5331918a9ee,INV-d2a4a7f9-0a73-4365-a540-72f205f150ae,CID-001,2022-03-08,7593.64,VISA,Completed,SampleGen
7240eb8e-7d21-4048-873c-ee0d67baafc6,INV-79e9296e-cbdc-4e5b-b5d6-ea2a756bf95b,CID-001,2022-05-16,2310.52,VISA,Completed,SampleGen
3e401cca-9d96-4c2b-8864-459425dc122c,INV-34867f03-4e6f-4d62-b650-00493122bdc2,CID-001,2022-06-22,2475.96,AmEx,Completed,SampleGen
de1ac6d0-24f8-4a76-a414-ba3b92aa0d80,INV-0e50e847-daf3-4419-ae60-37726e03dfa2,CID-001,2022-08-07,1305.74,PayPal,Completed,SampleGen
e43df80e-9af6-4f40-8b40-3940f94175d7,INV-48eb8472-82d9-46c4-baee-d4492a9dc998,CID-001,2022-09-04,737.56,PayPal,Completed,SampleGen
35bc2ba8-d09c-40fb-919a-becd429815e1,INV-6e34c59a-1f73-45cc-8f19-4ff93666d5e6,CID-001,2022-12-19,576.56,VISA,Completed,SampleGen
78ae1128-9a6f-45ac-9fb6-1aa631a65adf,INV-e8f09a54-982f-471f-900f-236535d58771,CID-001,2023-02-24,4502.72,Discover,Completed,SampleGen
2bbc980a-7872-48c7-a843-3b7751d7b83a,INV-995e15b2-f97c-42b8-8516-625e8a40e592,CID-001,2023-03-31,1632.18,VISA,Completed,SampleGen
798be12e-1c8a-443f-b25a-d471774632b1,INV-7c86411a-6ff5-4ffe-ad65-052c74e79b7b,CID-001,2023-04-18,551.06,MC,Completed,SampleGen
491047d7-7eb2-4b8b-a9f0-6869658af5ac,INV-4f1eef9c-e1e0-496c-b0d3-81b1d6bb155a,CID-001,2023-08-05,3612.4,MC,Completed,SampleGen
2aa6a33d-7e8e-45f2-b826-f6461c5dee64,INV-c2b68db5-f200-4b15-82f6-b38810be5ee1,CID-001,2023-12-14,1305.68,VISA,Completed,SampleGen
