InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-feeb449a-fcdc-40a0-bec9-95c21d13f006,IS300000,CID-001,feeb449a-fcdc-40a0-bec9-95c21d13f006,2021-03-16,2021-04-15,959.96,83.99,1043.95,Paid,SampleGen
INV-a0547286-2998-454b-8b36-c5991a364382,IS300001,CID-001,a0547286-2998-454b-8b36-c5991a364382,2024-04-30,2024-05-30,189.99,16.62,206.61,Paid,SampleGen
INV-d078aa13-4258-4306-ab40-17334e5034ee,IS300002,CID-001,d078aa13-4258-4306-ab40-17334e5034ee,2024-08-30,2024-09-29,849.94,74.37,924.31,Paid,SampleGen
INV-a4f65715-1821-463c-b1d3-02c74b5ba403,IS300003,CID-001,a4f65715-1821-463c-b1d3-02c74b5ba403,2021-03-23,2021-04-22,789.94,69.12,859.06,Paid,SampleGen
INV-df562bf3-cff4-43d9-b628-e60a7d45e208,IS300004,CID-001,df562bf3-cff4-43d9-b628-e60a7d45e208,2022-07-13,2022-08-12,3519.96,308.0,3827.96,Paid,SampleGen
INV-100acae4-c8dd-4e4b-af90-a9478444a4c8,IS300005,CID-002,100acae4-c8dd-4e4b-af90-a9478444a4c8,2024-07-21,2024-08-20,1629.95,142.62,1772.57,Paid,SampleGen
INV-9e1f05a3-e4c3-4c44-a531-ff87493fd16d,IS300006,CID-003,9e1f05a3-e4c3-4c44-a531-ff87493fd16d,2025-11-07,2025-12-07,749.96,65.62,815.58,Paid,SampleGen
INV-827fb42d-9bd0-41e3-9a6a-a9679aba261f,IS300007,CID-003,827fb42d-9bd0-41e3-9a6a-a9679aba261f,2025-10-10,2025-11-09,419.97,36.75,456.72,Paid,SampleGen
INV-70262fb0-7700-476e-9577-73ec093272c9,IS300008,CID-003,70262fb0-7700-476e-9577-73ec093272c9,2023-10-03,2023-11-02,2959.93,259.0,3218.93,Paid,SampleGen
INV-f6b86d24-7fdf-494a-869c-143fc9ff4aa0,IS300009,CID-004,f6b86d24-7fdf-494a-869c-143fc9ff4aa0,2021-06-25,2021-07-25,1049.97,91.87,1141.84,Paid,SampleGen
INV-7629a592-d761-423f-bc6a-063a220ab8bf,IS300010,CID-005,7629a592-d761-423f-bc6a-063a220ab8bf,2025-08-31,2025-09-30,379.98,33.25,413.23,Paid,SampleGen
