OrderId,OrderLineNumber,ProductId,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
6c3fd983-9a86-4161-ba38-d35e81dd4905,1,3081,All-Temp Ski Wax Kit,2,79.99,159.98,0.0,14.0
6c3fd983-9a86-4161-ba38-d35e81dd4905,2,3104,Ski Tuning Bench - Portable,2,189.99,379.98,0.0,33.25
6c3fd983-9a86-4161-ba38-d35e81dd4905,3,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
6c3fd983-9a86-4161-ba38-d35e81dd4905,4,3092,All-Mountain Snowboard - 158cm,2,799.99,1599.98,0.0,140.0
9ad97d6a-cd49-4c5b-a13f-426b364ef25f,1,3081,All-Temp Ski Wax Kit,2,79.99,159.98,0.0,14.0
9ad97d6a-cd49-4c5b-a13f-426b364ef25f,2,3032,Comfort Fit Recreational Boots,1,399.99,399.99,0.0,35.0
9ad97d6a-cd49-4c5b-a13f-426b364ef25f,3,3062,Anti-Fog Ski Goggles,1,129.99,129.99,0.0,11.37
006e35f7-e6f8-4deb-8618-620d9ad3ca6c,1,3021,Nordic Classic XC Skis - 185cm,1,349.99,349.99,0.0,30.62
006e35f7-e6f8-4deb-8618-620d9ad3ca6c,2,3053,Waterproof Ski Pants,1,249.99,249.99,0.0,21.87
006e35f7-e6f8-4deb-8618-620d9ad3ca6c,3,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
0d0d2757-f6de-48d8-9cb8-da68f563bb3d,1,3102,Winter Hiking Boots - Waterproof,1,249.99,249.99,0.0,21.87
0d0d2757-f6de-48d8-9cb8-da68f563bb3d,2,3022,Backcountry Explorer XC Skis - 190cm,2,549.99,1099.98,0.0,96.25
0d0d2757-f6de-48d8-9cb8-da68f563bb3d,3,3082,Edge Tuning Tool Set,1,119.99,119.99,0.0,10.5
a7d64eaf-4797-45d4-8759-a22c5acd4b2f,1,3031,Pro Flex Racing Ski Boots,2,649.99,1299.98,0.0,113.75
a7d64eaf-4797-45d4-8759-a22c5acd4b2f,2,3032,Comfort Fit Recreational Boots,1,399.99,399.99,0.0,35.0
a7d64eaf-4797-45d4-8759-a22c5acd4b2f,3,3033,Women's Performance Ski Boots,2,579.99,1159.98,0.0,101.5
49946e58-6f35-443b-827f-ca16219ea40a,1,3011,Alpine Pro Racing Skis - 170cm,2,1299.99,2599.98,0.0,227.5
49946e58-6f35-443b-827f-ca16219ea40a,2,3041,Carbon Fiber Racing Poles - 120cm,2,179.99,359.98,0.0,31.5
