OrderId,SalesChannelId,OrderNumber,CustomerId,CustomerAccountId,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
f7ea1753-f081-412d-a877-5992042b6324,Snowflake,S300000,CID-001,CA-0002,2022-04-02,Completed,2219.95,194.25,2414.2,PayPal,USD,SampleGen
6790a668-a4a0-48dc-a7a1-21d84c3d0be1,Snowflake,S300001,CID-001,CA-0002,2022-03-05,Completed,539.96,47.25,587.21,Discover,USD,SampleGen
a2d9894f-d090-408d-9186-5e4d51e5e05a,Snowflake,S300002,CID-001,CA-0002,2023-10-07,Completed,279.98,24.5,304.48,MC,USD,SampleGen
9887588b-3678-45d2-a63d-424ba4e62646,Snowflake,S300003,CID-001,CA-0002,2021-02-06,Completed,1549.98,135.62,1685.6,AmEx,USD,SampleGen
b6e1866d-4a4a-4cc7-8bc6-434c6ac9700a,Snowflake,S300004,CID-002,CA-0004,2021-08-17,Completed,329.97,28.87,358.84,VISA,USD,SampleGen
08849dda-e6c2-449c-b494-22b02f168642,Snowflake,S300005,CID-003,CA-0005,2022-12-04,Pending,3659.93,320.25,3980.18,PayPal,USD,SampleGen
ca8ce160-eab1-40b4-8845-e5f01e3c8401,Snowflake,S300006,CID-003,CA-0005,2023-08-31,Completed,3079.94,269.49,3349.43,VISA,USD,SampleGen
a0a077e2-560c-40bb-87f7-2254b9785da6,Snowflake,S300007,CID-003,CA-0005,2023-02-03,Completed,649.97,56.87,706.84,PayPal,USD,SampleGen
279a9306-e9db-42ce-a0b1-0c15d92f9847,Snowflake,S300008,CID-004,CA-0007,2021-10-26,Shipped,1479.95,129.49,1609.44,MC,USD,SampleGen
149c7c12-6910-4f68-9205-41fc67d817bd,Snowflake,S300009,CID-005,CA-0010,2021-06-21,Completed,189.99,16.62,206.61,Discover,USD,SampleGen
50b88aca-36d7-4582-abea-55c26ef018d4,Snowflake,S300010,CID-005,CA-0010,2021-06-08,Pending,179.98,15.75,195.73,VISA,USD,SampleGen
58bb5a5f-aad2-487c-99af-ec78d2be0596,Snowflake,S300011,CID-005,CA-0010,2022-12-11,Completed,159.98,14.0,173.98,MC,USD,SampleGen
ef7394db-82cd-4113-8aad-314ab0a13987,Snowflake,S300012,CID-005,CA-0010,2023-10-06,Completed,4599.93,402.5,5002.43,MC,USD,SampleGen
e54fc273-355c-4e93-ac1f-e845cb243842,Snowflake,S300013,CID-006,CA-0012,2021-09-11,Completed,1169.97,102.37,1272.34,Discover,USD,SampleGen
feedf92f-4b8e-4f50-9b43-884aa8916a0d,Snowflake,S300014,CID-006,CA-0012,2025-12-13,Completed,2649.95,231.87,2881.82,Discover,USD,SampleGen
43f9b523-042a-4806-ab43-94f92e31699f,Snowflake,S300015,CID-006,CA-0012,2025-02-24,Completed,1399.97,122.5,1522.47,Discover,USD,SampleGen
e21ab343-c6e2-42c6-8f70-50fc3ea5e503,Snowflake,S300016,CID-006,CA-0012,2023-04-30,Completed,379.98,33.25,413.23,VISA,USD,SampleGen
adb8da3d-a53e-49fa-b89f-f5a6249f9f5b,Snowflake,S300017,CID-006,CA-0012,2023-05-20,Shipped,3339.95,292.25,3632.2,VISA,USD,SampleGen
ed08929f-b934-46b7-9ac3-be4b0ce1ab77,Snowflake,S300018,CID-007,CA-0013,2023-01-06,Completed,2209.93,193.37,2403.3,Discover,USD,SampleGen
7c8c29d1-2831-47a4-8d43-e3c815ef83bb,Snowflake,S300019,CID-007,CA-0013,2024-02-12,Pending,809.95,70.87,880.82,AmEx,USD,SampleGen
6bea011f-5bfb-4e61-af7e-eb17b031556d,Snowflake,S300020,CID-008,CA-0015,2024-09-01,Pending,799.98,70.0,869.98,Discover,USD,SampleGen
c987cc15-7e1f-4a13-9a0a-f9fdf9d18ed3,Snowflake,S300021,CID-008,CA-0015,2023-09-09,Completed,549.98,48.12,598.1,VISA,USD,SampleGen
72cc393c-9ec7-4874-b84e-582f6ca89c9e,Snowflake,S300022,CID-009,CA-0016,2023-04-29,Completed,1349.96,118.12,1468.08,VISA,USD,SampleGen
d4efb895-e25c-44eb-9c85-494f75e0020b,Snowflake,S300023,CID-009,CA-0016,2021-06-20,Shipped,2049.95,179.37,2229.32,AmEx,USD,SampleGen
d810b4cb-7484-4452-aad8-7ca48ed62a44,Snowflake,S300024,CID-010,CA-0018,2021-09-10,Completed,3499.95,306.25,3806.2,PayPal,USD,SampleGen
5fa1690c-2b9e-4842-80b4-de2eafb93fb3,Snowflake,S300025,CID-010,CA-0018,2022-10-22,Completed,2579.94,225.75,2805.69,VISA,USD,SampleGen
59e61b0b-8b32-49ed-b8ce-721534ad21c1,Snowflake,S300026,CID-010,CA-0018,2023-06-23,Completed,3199.96,280.0,3479.96,VISA,USD,SampleGen
9d92e4d2-9264-4635-a09e-1c15bf73f043,Snowflake,S300027,CID-010,CA-0018,2023-04-11,Completed,829.96,72.62,902.58,MC,USD,SampleGen
