ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,1,Contoso Ltd,CON-1521,115.2,10,1000.0,7,Active,system,2026-03-14 00:00:00
2,1531,Summit Breeze Jacket,Camping,1,Contoso Ltd,CON-1531,109.85,10,5000.0,11,Active,system,2026-03-17 00:00:00
3,1541,TrekReady Hiking Boots,Camping,1,Contoso Ltd,CON-1541,128.34,1,5000.0,10,Active,system,2025-11-28 00:00:00
4,1551,BaseCamp Folding Table,Camping,1,Contoso Ltd,CON-1551,70.55,1,,11,Active,system,2026-01-07 00:00:00
5,1561,EcoFire Camping Stove,Camping,1,Contoso Ltd,CON-1561,99.22,5,,12,Active,system,2025-12-01 00:00:00
6,1571,CozyNights Sleeping Bag,Camping,1,Contoso Ltd,CON-1571,121.45,5,5000.0,8,Active,system,2026-01-09 00:00:00
7,1511,Alpine Explorer Tent,Camping,1,Contoso Ltd,CON-1511,334.12,50,1000.0,10,Active,system,2026-02-25 00:00:00
8,1522,SummitClimber Backpack,Camping,1,Contoso Ltd,CON-1522,135.31,10,1000.0,9,Active,system,2026-01-01 00:00:00
9,1532,TrailBlaze Hiking Pants,Camping,1,Contoso Ltd,CON-1532,67.2,25,5000.0,8,Active,system,2025-12-19 00:00:00
10,1542,TrailWalker Hiking Shoes,Camping,1,Contoso Ltd,CON-1542,90.42,25,10000.0,10,Active,system,2025-11-20 00:00:00
11,1552,TrekMaster Camping Chair,Camping,1,Contoso Ltd,CON-1552,57.7,1,5000.0,12,Active,system,2025-11-09 00:00:00
12,1552,TrekMaster Camping Chair,Camping,4,Worldwide Importers,WOR-1552,57.01,1,,25,Active,system,2026-02-17 00:00:00
13,1562,PowerBurner Camping Stove,Camping,1,Contoso Ltd,CON-1562,144.87,50,1000.0,10,Active,system,2026-01-10 00:00:00
14,1572,MountainDream Sleeping Bag,Camping,1,Contoso Ltd,CON-1572,229.67,10,10000.0,12,Active,system,2026-01-25 00:00:00
15,1512,SkyView 2-Person Tent,Camping,1,Contoso Ltd,CON-1512,239.45,5,,12,Active,system,2026-02-08 00:00:00
16,1523,TrailLite Daypack,Camping,1,Contoso Ltd,CON-1523,59.86,10,1000.0,7,Active,system,2026-03-08 00:00:00
17,1533,RainGuard Hiking Jacket,Camping,1,Contoso Ltd,CON-1533,126.41,25,1000.0,10,Active,system,2026-01-21 00:00:00
18,1543,TrekStar Hiking Sandals,Camping,1,Contoso Ltd,CON-1543,68.46,5,10000.0,13,Active,system,2026-01-11 00:00:00
19,1553,Adventure Dining Table,Camping,1,Contoso Ltd,CON-1553,94.57,10,5000.0,7,Active,system,2026-03-03 00:00:00
20,1563,CompactCook Camping Stove,Camping,1,Contoso Ltd,CON-1563,71.71,50,,12,Active,system,2026-03-14 00:00:00
21,1581,LED Headlamp - Rechargeable,Camping,1,Contoso Ltd,CON-1581,47.08,50,,9,Active,system,2026-03-01 00:00:00
22,2011,Coffee Maker,Kitchen,2,Proseware Inc,PRO-2011,142.65,25,1000.0,8,Active,system,2025-11-13 00:00:00
23,2012,Espresso Machine,Kitchen,2,Proseware Inc,PRO-2012,292.82,10,10000.0,9,Active,system,2025-12-10 00:00:00
24,2021,Chef Knife,Kitchen,2,Proseware Inc,PRO-2021,64.1,5,10000.0,7,Active,system,2025-12-25 00:00:00
25,2022,Fork Set,Kitchen,2,Proseware Inc,PRO-2022,32.43,10,,13,Active,system,2025-11-12 00:00:00
26,2031,Coffee Mug,Kitchen,2,Proseware Inc,PRO-2031,23.14,10,10000.0,7,Active,system,2026-01-13 00:00:00
27,2041,Serving Platter,Kitchen,2,Proseware Inc,PRO-2041,44.77,50,10000.0,10,Active,system,2026-01-31 00:00:00
28,2051,Ice Cream Bowl,Kitchen,2,Proseware Inc,PRO-2051,15.93,10,1000.0,10,Active,system,2026-03-05 00:00:00
29,2061,Mixing Bowl,Kitchen,2,Proseware Inc,PRO-2061,28.19,1,,9,Active,system,2026-03-05 00:00:00
30,2071,Baking Pan,Kitchen,2,Proseware Inc,PRO-2071,19.91,5,1000.0,12,Active,system,2025-11-27 00:00:00
31,2071,Baking Pan,Kitchen,4,Worldwide Importers,WOR-2071,24.48,50,500.0,19,Active,system,2026-02-24 00:00:00
32,2081,Food Storage Set,Kitchen,2,Proseware Inc,PRO-2081,25.51,10,,12,Active,system,2026-03-25 00:00:00
33,2091,Spatula,Kitchen,2,Proseware Inc,PRO-2091,8.1,1,1000.0,12,Active,system,2026-01-05 00:00:00
34,2101,Measuring Cup Set,Kitchen,2,Proseware Inc,PRO-2101,13.31,50,1000.0,7,Active,system,2026-03-14 00:00:00
35,2111,High-Speed Blender,Kitchen,2,Proseware Inc,PRO-2111,140.42,25,10000.0,8,Active,system,2025-12-21 00:00:00
36,2112,4-Slice Toaster,Kitchen,2,Proseware Inc,PRO-2112,69.62,25,5000.0,11,Active,system,2026-02-09 00:00:00
37,2121,Bamboo Cutting Board Set,Kitchen,2,Proseware Inc,PRO-2121,30.11,25,10000.0,7,Active,system,2026-02-28 00:00:00
38,3011,Alpine Pro Racing Skis - 170cm,Ski,3,Alpine Ski House,ALP-3011,1017.98,1,5000.0,9,Active,system,2025-11-25 00:00:00
39,3012,Mountain Master All-Terrain Skis - 165cm,Ski,3,Alpine Ski House,ALP-3012,653.67,1,,13,Active,system,2026-03-21 00:00:00
40,3013,Beginner's Choice Alpine Skis - 160cm,Ski,3,Alpine Ski House,ALP-3013,309.36,10,1000.0,12,Active,system,2025-11-18 00:00:00
41,3021,Nordic Classic XC Skis - 185cm,Ski,3,Alpine Ski House,ALP-3021,260.28,5,1000.0,14,Active,system,2026-03-22 00:00:00
42,3021,Nordic Classic XC Skis - 185cm,Ski,4,Worldwide Importers,WOR-3021,251.16,50,5000.0,19,Active,system,2025-11-22 00:00:00
43,3022,Backcountry Explorer XC Skis - 190cm,Ski,3,Alpine Ski House,ALP-3022,413.79,5,10000.0,10,Active,system,2025-11-09 00:00:00
44,3031,Pro Flex Racing Ski Boots,Ski,3,Alpine Ski House,ALP-3031,435.5,10,5000.0,10,Active,system,2026-01-30 00:00:00
45,3032,Comfort Fit Recreational Boots,Ski,3,Alpine Ski House,ALP-3032,297.79,5,,12,Active,system,2025-12-04 00:00:00
46,3032,Comfort Fit Recreational Boots,Ski,5,Fabrikam,FAB-3032,315.01,25,,15,Active,system,2025-11-05 00:00:00
47,3033,Women's Performance Ski Boots,Ski,3,Alpine Ski House,ALP-3033,357.49,5,5000.0,14,Active,system,2026-03-05 00:00:00
48,3041,Carbon Fiber Racing Poles - 120cm,Ski,3,Alpine Ski House,ALP-3041,111.19,10,5000.0,10,Active,system,2025-11-07 00:00:00
49,3042,Aluminum All-Mountain Poles - 115cm,Ski,3,Alpine Ski House,ALP-3042,69.57,25,5000.0,13,Active,system,2025-12-18 00:00:00
50,3051,Insulated Ski Jacket - Men's,Ski,3,Alpine Ski House,ALP-3051,232.87,50,5000.0,12,Active,system,2026-03-28 00:00:00
51,3051,Insulated Ski Jacket - Men's,Ski,5,Fabrikam,FAB-3051,225.91,25,2000.0,12,Active,system,2026-03-30 00:00:00
52,3052,Thermal Base Layer Set - Women's,Ski,3,Alpine Ski House,ALP-3052,107.61,50,,10,Active,system,2025-12-28 00:00:00
53,3053,Waterproof Ski Pants,Ski,3,Alpine Ski House,ALP-3053,159.63,1,,15,Active,system,2026-02-21 00:00:00
54,3061,Professional Ski Helmet,Ski,3,Alpine Ski House,ALP-3061,127.13,10,1000.0,15,Active,system,2025-12-21 00:00:00
