PaymentID,InvoiceID,CustomerID,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
43cc2192-52b3-41ee-a130-58fa6949427c,INV-21c26517-884f-4412-b499-fdca4613ce7f,CID-001,2021-03-05,985.54,AmEx,Completed,SampleGen
310c1261-3767-43c6-a935-545016f78873,INV-1f259407-5845-4e2d-b80b-49319422fccd,CID-001,2021-04-05,1992.68,MC,Completed,SampleGen
d0bc362f-312b-4f22-99a7-82719920b67e,INV-838e4c87-7e99-481c-80c3-bc883322d760,CID-001,2021-06-10,5043.28,VISA,Completed,SampleGen
08f596b3-1f1e-45e8-a396-ddba866ca6e5,INV-109bb7fd-6a0f-4949-a698-a8ec2446ab1f,CID-001,2021-08-18,945.44,AmEx,Completed,SampleGen
d341cdea-4ce9-4676-ba05-47af5e006a5b,INV-68122e2b-d195-41dc-b8db-dd12c5e802a6,CID-001,2021-09-07,415.42,MC,Completed,SampleGen
96084a82-fa31-498e-b2aa-3364e3b9f493,INV-1d2787ac-a988-457e-abb8-1e7bf99dd3bb,CID-001,2021-10-23,5925.14,VISA,Completed,SampleGen
dbd5748e-7f5a-4119-be33-b7d0ac6a50a4,INV-ea0c7d11-c8ed-4842-902c-84fcd37d6b25,CID-001,2022-04-30,5602.9,VISA,Completed,SampleGen
348ebc4e-fc39-4d31-9349-7b57bebaad64,INV-e6d4c394-d9d6-4881-8aed-58a459772349,CID-001,2022-05-07,2626.42,VISA,Completed,SampleGen
b5985a38-f03c-45d9-b142-4ea3f7672922,INV-473faccf-b8d4-4e70-9ca6-a441ba700038,CID-001,2022-07-23,1890.88,MC,Completed,SampleGen
40f76d5a-e832-4f79-b274-9a012b11bca4,INV-5707df8c-a134-4cb5-bb90-87da382a1068,CID-001,2022-08-07,585.0,VISA,Completed,SampleGen
7592d109-97d4-437b-b623-dd333045cd69,INV-5930c8d6-a850-4d24-bfd0-c45b67ae5a08,CID-001,2022-09-05,2289.38,Discover,Completed,SampleGen
7f1bc2c0-ad99-4a9b-b72a-e3bd3e2fb019,INV-b8d74768-a4bb-4336-9491-0f34ffcc85ea,CID-001,2023-01-31,1339.68,AmEx,Completed,SampleGen
9329bde8-9bdf-456c-80f2-bbd5e950ce4a,INV-73ba7360-105d-462a-9149-1560f136553b,CID-001,2023-02-18,1195.56,AmEx,Completed,SampleGen
f3c14210-6864-4dc1-97ec-50d4d6a5f296,INV-a8485c95-ca45-48ab-9229-d2df2b90860f,CID-001,2023-06-20,483.28,MC,Completed,SampleGen
7160d51f-2083-4e7b-945a-732e1493932d,INV-39299da6-7118-453e-96ab-82a45ea79cce,CID-001,2023-07-05,1055.6,AmEx,Completed,SampleGen
4a8a4431-6da7-492c-a193-d886ee2efc45,INV-72d88f36-fd2b-47ff-9e02-bb5375ecfc28,CID-001,2023-09-22,4364.82,AmEx,Completed,SampleGen
1c1de3b8-a7ef-4671-ac94-466ba743bc45,INV-89e9f4d3-2f6f-4417-849e-bdb38a60550a,CID-001,2023-10-14,3976.96,VISA,Completed,SampleGen
dd66c87c-1a78-47fd-a825-97e0f4e316aa,INV-fc0df4a4-84d5-4686-836b-0e10ac1f6b08,CID-001,2023-11-20,4044.82,PayPal,Completed,SampleGen
e0f4bd7c-41b3-4ed1-8f01-264d68d16504,INV-52856ca6-dbf7-43dc-bb84-49d235041d35,CID-001,2024-01-06,1806.12,VISA,Completed,SampleGen
83a9af53-e690-4a54-94dd-9d9bfc4c68de,INV-6a198f6b-5736-4af3-93fc-54a8e001bc1e,CID-001,2024-02-05,493.8,VISA,Completed,SampleGen
1361c40c-199f-4b78-8b9d-dee8fa5121c2,INV-ec0d93bf-3418-4e99-a2a9-89a96ebb639c,CID-001,2024-03-12,455.66,VISA,Completed,SampleGen
94ddcf17-ad12-46b6-bea3-094ed61d51ee,INV-da6d4e40-c37d-4a3f-996f-c71976e3210c,CID-001,2024-07-25,447.22,VISA,Completed,SampleGen
8d3c25c0-a1a2-4e2e-bd4c-6ef1735887bc,INV-8a830031-0d3e-48ad-9317-02c8102dca4c,CID-001,2024-08-17,4398.78,MC,Completed,SampleGen
ad144ddd-e4fd-4d99-ad9b-58a5ec120746,INV-ccee6355-8e83-4ea7-a50d-e9a3fb949946,CID-001,2024-09-17,3864.58,MC,Completed,SampleGen
699fdbc7-01e5-4365-bf65-64930926b842,INV-6b3ed51d-6986-479a-a48d-d5f2e265532a,CID-001,2024-11-17,625.22,MC,Completed,SampleGen
8599b6a6-f4ae-4a21-99ce-9c13788484e5,INV-1a3203e1-ffaf-483a-9260-2aa918a93630,CID-001,2024-12-29,5363.4,AmEx,Completed,SampleGen
bb755ec3-0e23-49e9-b626-a78ca4e9c84e,INV-991a919a-32ea-4dda-af7c-589661ba0171,CID-001,2025-02-11,4570.52,PayPal,Completed,SampleGen
ffbbce38-f3a3-46a3-9061-cb36c085d6eb,INV-23c80c7f-3da6-44ec-a684-51e11523388b,CID-001,2025-03-22,279.76,MC,Completed,SampleGen
9b558de3-fb43-4233-ab66-631d2e5163ec,INV-995a75f3-558b-4b73-84c5-9bbea80b02e9,CID-001,2025-06-10,1812.4,Discover,Completed,SampleGen
6ca0d4de-cb58-493f-b874-31d008816f29,INV-87f489eb-d300-4719-9601-1ec54d377881,CID-001,2025-07-08,1023.72,AmEx,Completed,SampleGen
847936cb-a063-4f66-8430-f2785720a6c3,INV-5572432b-3c38-41a8-be92-a24df8ccd0b7,CID-001,2025-08-06,839.36,MC,Completed,SampleGen
e3a16385-4e6c-4460-854c-7c5d99a9aca6,INV-a6ca3c01-aec2-43eb-b7f1-addb1cc52462,CID-001,2025-09-05,525.6,AmEx,Completed,SampleGen
22abd48b-d47f-40a2-9768-7353afe6e876,INV-ccd8b496-22a6-4285-a5e7-b1fbc1cbb193,CID-001,2025-11-03,1398.88,AmEx,Completed,SampleGen
5d2307f3-96c6-4624-8619-906808a7089d,INV-bc1199fc-eb39-4982-9fa6-37ef5b4858ae,CID-001,2025-12-06,4405.22,PayPal,Completed,SampleGen
2f9cca7b-4ea5-4f17-9016-9352e460dea6,INV-0f2cb72a-c901-432b-a927-d9de7bf45843,CID-001,2026-01-11,726.96,PayPal,Completed,SampleGen
f6bb61f3-1a2a-4058-a71d-64065f743c15,INV-52344dfb-7b47-48b1-a313-d9e7b86349af,CID-001,2026-02-24,2849.18,VISA,Completed,SampleGen
0b7b629c-7814-4300-817d-962fd48746be,INV-814f87ec-2ca0-4617-ae67-6655d0d935ba,CID-001,2026-03-01,392.1,AmEx,Completed,SampleGen
e7b8c144-1e11-400f-bff8-d2b578465de5,INV-01dcdd05-2b0c-405d-91f5-fdcfb028eb0e,CID-001,2026-04-02,466.26,VISA,Completed,SampleGen
b2cee687-f6f3-4ee4-bb9f-0f2e91192263,INV-1b8f078a-7faa-4bb4-8fc4-7d8e214f06c4,CID-001,2026-08-09,1666.14,AmEx,Completed,SampleGen
34abcb64-a2b0-4d14-9ff1-ae7fe5868828,INV-31426e2f-8cf5-4539-a728-9a01df9a2254,CID-001,2026-09-07,4146.5,VISA,Completed,SampleGen
489829c1-02cd-4f69-9f27-68ae0f5a03c0,INV-1b563e81-61d0-4ace-88e4-13669b3bcca9,CID-001,2026-10-02,1428.74,VISA,Completed,SampleGen
2315cb90-0778-4828-9555-e2973e17d835,INV-343ea726-7692-4a10-9ca2-cb90aee770f2,CID-001,2026-11-05,1199.76,VISA,Completed,SampleGen
62c432e4-6a3a-413a-a11b-950b5e82c345,INV-60887300-ea0c-4e56-9284-62891953334b,CID-001,2026-12-27,415.4,MC,Completed,SampleGen
f15a77a2-b3ac-438e-85e2-719423c14a9b,INV-b4df9d14-3556-4c78-b110-2124bcb4e028,CID-002,2023-05-21,2675.26,AmEx,Completed,SampleGen
676dae94-f98c-4000-a6a0-2107873c75eb,INV-7629498e-fdcc-42db-9475-147525aa599e,CID-002,2024-08-14,1657.66,PayPal,Completed,SampleGen
69d60b8b-bf1d-4778-bf33-3aee03d0013b,INV-37c3db92-7108-447c-85e7-ae5ea70137d9,CID-002,2024-11-06,1403.34,VISA,Completed,SampleGen
a6daef0c-8402-41d2-bd6d-d33ffe37d725,INV-f6e20e54-8421-4222-bdf8-99a483dde28e,CID-002,2025-07-06,298.82,VISA,Completed,SampleGen
c56d3e6c-63aa-4783-96f8-3df4ffe44418,INV-6fc772d7-5692-4adc-9709-a9cc38942518,CID-002,2025-10-08,854.22,AmEx,Completed,SampleGen
ed5c1724-a7c8-443e-91e1-47ab6ecc2ffc,INV-84485bc3-6f84-41af-ad5c-8cb8fef9faf7,CID-002,2026-05-17,2671.04,AmEx,Completed,SampleGen
c07e265b-7180-431e-8db7-046e0b55adeb,INV-d2a1a4c7-0104-41c8-8e4d-3cb40fd6ef4d,CID-003,2021-08-14,3065.28,VISA,Completed,SampleGen
8883dd89-6456-41d0-9c58-47cd0771747e,INV-e68cdcd3-099f-4cda-8332-5c504f7b1b1a,CID-003,2022-05-07,4981.74,VISA,Completed,SampleGen
258dc52a-bf4a-49de-af6f-7d9a7375dc8b,INV-3023f047-fe3d-4ae1-96d3-2d1be92c17c5,CID-003,2022-08-09,3088.56,VISA,Completed,SampleGen
1044da7c-28d9-470e-8845-b8e129db4378,INV-ed596f37-9247-4003-86fd-4930261d9b1e,CID-003,2022-12-14,1969.28,VISA,Completed,SampleGen
3bbdc794-5f12-42e4-ad33-736b8c841bfd,INV-61d95590-57fb-4c72-bda8-b2e400605f15,CID-003,2023-03-14,2819.46,MC,Completed,SampleGen
93fe9654-35ec-4823-8546-6ba26efaad94,INV-3f2edb37-c082-48f4-a364-1bb4f5a36aa1,CID-003,2023-07-02,869.08,MC,Completed,SampleGen
3e47919a-5924-41c7-af78-709e0268d2b7,INV-ec949933-3f88-4c37-8d29-8f8ced27bdbf,CID-003,2024-01-15,3472.42,MC,Completed,SampleGen
775a26ce-1603-43c4-8d1d-d17fb63d598b,INV-a48b7604-455c-42a9-8381-652760a6f705,CID-003,2024-04-11,2416.68,PayPal,Completed,SampleGen
4e0a93f5-b99d-4ca6-a3c4-96486cf197e9,INV-71266ce1-3fa0-445b-ac08-6e3ae11f1660,CID-003,2024-05-19,1689.42,VISA,Completed,SampleGen
05989858-49ad-4923-a296-16b4a7d5b355,INV-2ff56a33-bb2f-4250-b4ee-26d9910e6d1d,CID-003,2024-09-29,1394.7,AmEx,Completed,SampleGen
c317a088-b04c-4233-b32f-fb79bb639dc6,INV-f23833c1-865e-4637-ae9f-59d3b8ab3d3c,CID-003,2024-10-02,1992.68,VISA,Completed,SampleGen
9db6e18b-512b-4a86-96c7-3fa5cc91ba2a,INV-8b3caaf3-e3b7-4f0f-bdca-ac8d7eaaa677,CID-003,2024-11-15,1142.5,MC,Completed,SampleGen
496630ae-4f7e-4504-8f0c-2bb2649ea845,INV-049972f7-dcd3-4412-88ca-dd2619397c90,CID-003,2025-05-19,3633.38,MC,Completed,SampleGen
9722006e-3c59-4a47-9bec-4d531bb5d923,INV-00ea6a72-a240-430c-94fc-7761b4284336,CID-003,2025-06-07,1201.76,PayPal,Completed,SampleGen
f66955ad-5734-4447-9d72-fb0a78fe33f3,INV-d4e5d561-301e-4384-8ebd-702afd3a5d8f,CID-003,2025-08-18,457.76,MC,Completed,SampleGen
a19d3b88-791a-4986-a201-21881153db68,INV-a26c7df0-885a-444f-b8c5-e77628f5607e,CID-003,2025-11-23,551.12,MC,Completed,SampleGen
2886d86b-efc5-419b-b2a2-4c74bea3381d,INV-d02e6378-654d-4b8f-9ea0-2a1a764cf61e,CID-003,2025-12-13,1848.5,MC,Completed,SampleGen
4c48f8b2-4b3f-4550-97b8-6ae9d3da921e,INV-3952921a-49d5-4069-9038-ec97a3724587,CID-003,2026-03-01,1717.08,AmEx,Completed,SampleGen
9a8de3c3-4ab3-4ed7-b305-a88bebf28931,INV-fe18332c-1226-428c-af0a-51159920b085,CID-003,2026-04-18,3849.7,VISA,Completed,SampleGen
09e62de3-c434-4446-b956-710d423b8ffb,INV-32600cba-244b-4533-ad9d-5d390e14cb48,CID-003,2026-05-18,1479.52,VISA,Completed,SampleGen
cdbe1ba5-8b3c-4ac0-a046-f5fb6f115070,INV-efc02d26-4c8d-4389-b45a-74f1e7809710,CID-003,2026-09-07,379.38,AmEx,Completed,SampleGen
0e6efdc8-3159-4397-b5ed-431233211286,INV-222cc2d3-013b-4ea6-890b-50e304c9201d,CID-004,2021-02-19,2535.22,MC,Completed,SampleGen
4e900a71-dd95-4160-86ce-67ee4eda272c,INV-9c90bcd9-0d4d-464f-a66a-1ab394cba421,CID-004,2022-01-31,644.34,PayPal,Completed,SampleGen
3d945a71-69f3-4d35-9d93-ba93c4855225,INV-d19d932b-e418-4c04-a90e-0d4f4f97c50f,CID-004,2023-08-03,3542.26,VISA,Completed,SampleGen
f2e82814-ded4-4dc3-878c-268c450fc489,INV-c1509d15-0f6f-489d-b600-787ee37dbdf1,CID-004,2024-08-01,419.64,VISA,Completed,SampleGen
4acf3203-2ea1-4ec5-acd4-e1505d2759c2,INV-b708679d-fe12-49c5-8476-2dd022c01d0e,CID-004,2024-09-18,869.08,Discover,Completed,SampleGen
0bc56359-e8db-4c0d-ba48-d21dac4f3368,INV-990815e6-2c2e-4455-8345-714a9b68554b,CID-004,2025-02-20,3926.06,MC,Completed,SampleGen
e534d4fb-2de7-4581-8655-791fc10d6eeb,INV-5a1a9a67-167b-41aa-b994-452a0d34dcf2,CID-004,2025-03-11,2090.12,Discover,Completed,SampleGen
260049d1-f318-42a3-b6c3-090324099d06,INV-ecd724d9-dd68-4b86-96b0-0f4aeb014f87,CID-004,2025-06-28,1551.7,MC,Completed,SampleGen
cd8ae23f-242f-40fe-a6a8-a889a6493a2a,INV-9019e78a-6877-4d6f-aed7-05edd5991f0c,CID-004,2025-08-07,2946.66,AmEx,Completed,SampleGen
c14aa526-847f-4231-8adc-e094593a4cf2,INV-cbf6f470-3afd-4055-8c1f-a5cf34fe718d,CID-004,2026-04-04,612.54,Discover,Completed,SampleGen
