InvoiceID,InvoiceNumber,CustomerID,OrderID,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-808fc41a-5eac-43b9-84d6-12633f04542a,IS300000,CID-001,808fc41a-5eac-43b9-84d6-12633f04542a,2026-04-19,2026-05-19,1829.96,160.12,1990.08,Paid,SampleGen
INV-2aaed450-2e4d-41e3-816f-e5a80fba4beb,IS300001,CID-001,2aaed450-2e4d-41e3-816f-e5a80fba4beb,2021-05-10,2021-06-09,3919.94,343.0,4262.94,Paid,SampleGen
INV-2be88b22-007c-435c-ae0b-f3e652130658,IS300002,CID-001,2be88b22-007c-435c-ae0b-f3e652130658,2025-09-26,2025-10-26,2614.97,228.81,2843.78,Paid,SampleGen
INV-a9a0462f-3339-4559-90cd-f0885a30da16,IS300003,CID-001,a9a0462f-3339-4559-90cd-f0885a30da16,2026-06-29,2026-07-29,2299.93,201.25,2501.18,Paid,SampleGen
INV-3ae71ca7-8198-46c2-addd-cfbd1bb743c1,IS300004,CID-002,3ae71ca7-8198-46c2-addd-cfbd1bb743c1,2022-06-13,2022-07-13,789.96,69.12,859.08,Paid,SampleGen
INV-b4ea736f-a3bd-443c-965d-f7446a4b20b9,IS300005,CID-003,b4ea736f-a3bd-443c-965d-f7446a4b20b9,2025-05-16,2025-06-15,3579.94,313.25,3893.19,Paid,SampleGen
INV-8ac8bcf5-f387-4133-89a2-912c7b908aca,IS300006,CID-003,8ac8bcf5-f387-4133-89a2-912c7b908aca,2024-02-24,2024-03-25,4699.94,411.25,5111.19,Paid,SampleGen
INV-0893c1ec-ec5a-40fa-b479-df7c0b0b5f80,IS300007,CID-003,0893c1ec-ec5a-40fa-b479-df7c0b0b5f80,2021-07-01,2021-07-31,2709.95,237.12,2947.07,Paid,SampleGen
INV-f31e59c0-2c8e-4a1d-8a97-0e545309cc61,IS300008,CID-003,f31e59c0-2c8e-4a1d-8a97-0e545309cc61,2022-06-06,2022-07-06,839.96,73.5,913.46,Paid,SampleGen
INV-9df43b67-bade-4396-b06a-dc76e7b0bd47,IS300009,CID-003,9df43b67-bade-4396-b06a-dc76e7b0bd47,2023-01-02,2023-02-01,1059.96,92.75,1152.71,Paid,SampleGen
INV-cbbfa51b-3994-435c-939c-01c6d2edd679,IS300010,CID-004,cbbfa51b-3994-435c-939c-01c6d2edd679,2021-08-27,2021-09-26,14.99,1.31,16.3,Paid,SampleGen
INV-814ad11b-b02a-4f81-9d23-97da8456d837,IS300011,CID-005,814ad11b-b02a-4f81-9d23-97da8456d837,2022-12-18,2023-01-17,899.98,78.75,978.73,Paid,SampleGen
INV-7292ff72-f61d-4569-b8e1-ff0b99098a64,IS300012,CID-005,7292ff72-f61d-4569-b8e1-ff0b99098a64,2024-11-23,2024-12-23,1359.95,118.99,1478.94,Paid,SampleGen
INV-f9ed93db-6df3-4ba2-bcb8-bc1f7dc476b1,IS300013,CID-005,f9ed93db-6df3-4ba2-bcb8-bc1f7dc476b1,2021-05-03,2021-06-02,1359.96,119.0,1478.96,Paid,SampleGen
INV-e9e3b1b2-3ebd-4449-a106-d8c3bbb1bb2c,IS300014,CID-005,e9e3b1b2-3ebd-4449-a106-d8c3bbb1bb2c,2026-01-09,2026-02-08,2029.94,177.61,2207.55,Paid,SampleGen
INV-8bef4f29-752f-43cf-9f46-c5e298a33b3d,IS300015,CID-006,8bef4f29-752f-43cf-9f46-c5e298a33b3d,2021-09-29,2021-10-29,2049.96,179.37,2229.33,Paid,SampleGen
INV-4e7c53fa-1778-48c1-a4c6-0151c6f89eb2,IS300016,CID-006,4e7c53fa-1778-48c1-a4c6-0151c6f89eb2,2026-06-28,2026-07-28,1679.94,147.0,1826.94,Paid,SampleGen
INV-e4f249b4-b994-41f7-97a8-6b9e1af0dfb2,IS300017,CID-006,e4f249b4-b994-41f7-97a8-6b9e1af0dfb2,2022-12-19,2023-01-18,3199.95,280.0,3479.95,Paid,SampleGen
INV-5330cd59-05bd-4e8b-99bb-e664f63c232f,IS300018,CID-006,5330cd59-05bd-4e8b-99bb-e664f63c232f,2025-12-09,2026-01-08,1099.98,96.25,1196.23,Paid,SampleGen
INV-6ea5b7f8-1472-4a7b-9eae-64210d4cce76,IS300019,CID-007,6ea5b7f8-1472-4a7b-9eae-64210d4cce76,2025-12-27,2026-01-26,2599.97,227.5,2827.47,Paid,SampleGen
INV-bb8c595a-fb18-490f-b2c1-e23e6160083a,IS300020,CID-007,bb8c595a-fb18-490f-b2c1-e23e6160083a,2026-10-17,2026-11-16,2629.95,230.11,2860.06,Paid,SampleGen
INV-21ccda0c-37a6-4d7a-a822-4721114da688,IS300021,CID-008,21ccda0c-37a6-4d7a-a822-4721114da688,2021-05-15,2021-06-14,1099.98,96.25,1196.23,Paid,SampleGen
INV-e6d03e30-4d4b-4eb6-85f2-ffb7597a82ef,IS300022,CID-008,e6d03e30-4d4b-4eb6-85f2-ffb7597a82ef,2024-03-31,2024-04-30,799.98,70.0,869.98,Paid,SampleGen
INV-7cdcccc3-49e9-41a9-b891-beb04547ae87,IS300023,CID-009,7cdcccc3-49e9-41a9-b891-beb04547ae87,2021-09-11,2021-10-11,1779.95,155.75,1935.7,Paid,SampleGen
INV-8ef75dd7-f2b7-467a-a233-7205a66962e5,IS300024,CID-010,8ef75dd7-f2b7-467a-a233-7205a66962e5,2024-09-20,2024-10-20,1899.95,166.25,2066.2,Paid,SampleGen
INV-9b71793a-376a-46ee-a73b-7c7094231a3a,IS300025,CID-010,9b71793a-376a-46ee-a73b-7c7094231a3a,2021-06-08,2021-07-08,349.97,30.62,380.59,Paid,SampleGen
INV-135271f5-e1d0-4ec9-941a-9bd82f952b98,IS300026,CID-010,135271f5-e1d0-4ec9-941a-9bd82f952b98,2023-10-26,2023-11-25,1209.97,105.87,1315.84,Paid,SampleGen
INV-7677db67-25bd-4fd7-b154-67a3acc8421e,IS300027,CID-010,7677db67-25bd-4fd7-b154-67a3acc8421e,2021-07-19,2021-08-18,3299.93,288.75,3588.68,Paid,SampleGen
INV-b5744d92-b966-490c-ad89-344d62d95b51,IS300028,CID-010,b5744d92-b966-490c-ad89-344d62d95b51,2025-01-01,2025-01-31,699.98,61.25,761.23,Paid,SampleGen
INV-5f4b9ff9-580c-4986-b3db-f8187f774b54,IS300029,CID-010,5f4b9ff9-580c-4986-b3db-f8187f774b54,2025-07-22,2025-08-21,1759.95,153.99,1913.94,Paid,SampleGen
INV-abdc803d-bba5-41e5-b269-faf73bd81ff3,IS300030,CID-011,abdc803d-bba5-41e5-b269-faf73bd81ff3,2023-12-13,2024-01-12,2449.96,214.37,2664.33,Paid,SampleGen
INV-176cc2eb-b39c-4d96-b108-43dec29caa43,IS300031,CID-011,176cc2eb-b39c-4d96-b108-43dec29caa43,2025-05-01,2025-05-31,399.99,35.0,434.99,Paid,SampleGen
INV-4a80fe26-5897-47dd-88d1-f77d1458ffa7,IS300032,CID-011,4a80fe26-5897-47dd-88d1-f77d1458ffa7,2023-07-05,2023-08-04,219.97,19.25,239.22,Paid,SampleGen
INV-4ea85bf2-709d-4dc9-b3bd-d74bf1d8cde1,IS300033,CID-011,4ea85bf2-709d-4dc9-b3bd-d74bf1d8cde1,2023-05-03,2023-06-02,2389.96,209.12,2599.08,Paid,SampleGen
INV-b7865066-4b27-4ed5-89ce-ef5e504c2c75,IS300034,CID-012,b7865066-4b27-4ed5-89ce-ef5e504c2c75,2021-01-23,2021-02-22,2599.98,227.5,2827.48,Paid,SampleGen
INV-cfe2d42d-7067-4ea5-8e55-03af11bcaa03,IS300035,CID-012,cfe2d42d-7067-4ea5-8e55-03af11bcaa03,2025-06-12,2025-07-12,629.96,55.12,685.08,Paid,SampleGen
INV-cdea81e0-21aa-414a-92b2-17949824c161,IS300036,CID-013,cdea81e0-21aa-414a-92b2-17949824c161,2023-04-15,2023-05-15,1379.97,120.75,1500.72,Paid,SampleGen
INV-cfb39dfa-283c-4f57-aa69-2b51839963be,IS300037,CID-013,cfb39dfa-283c-4f57-aa69-2b51839963be,2023-12-08,2024-01-07,749.97,65.62,815.59,Paid,SampleGen
INV-1e4c71db-125e-4b49-b37c-ccb705304a31,IS300038,CID-013,1e4c71db-125e-4b49-b37c-ccb705304a31,2025-10-14,2025-11-13,2499.93,218.75,2718.68,Paid,SampleGen
INV-599cba47-4146-4ba0-90bf-07d09bd83fc3,IS300039,CID-014,599cba47-4146-4ba0-90bf-07d09bd83fc3,2025-08-16,2025-09-15,1074.95,94.06,1169.01,Paid,SampleGen
INV-4e15b9cd-634d-4c62-91d6-8cea7c0dbc71,IS300040,CID-014,4e15b9cd-634d-4c62-91d6-8cea7c0dbc71,2024-08-17,2024-09-16,2179.94,190.74,2370.68,Paid,SampleGen
INV-21896dfa-25db-4c9e-9c95-a0a3d3522288,IS300041,CID-015,21896dfa-25db-4c9e-9c95-a0a3d3522288,2025-08-19,2025-09-18,1059.92,92.75,1152.67,Paid,SampleGen
INV-0ffa35cc-3c6f-4aaa-8d07-33ec9c1d1d92,IS300042,CID-015,0ffa35cc-3c6f-4aaa-8d07-33ec9c1d1d92,2025-08-31,2025-09-30,2099.97,183.75,2283.72,Paid,SampleGen
INV-eb03fd84-5832-406b-840f-c15ceed5905f,IS300043,CID-016,eb03fd84-5832-406b-840f-c15ceed5905f,2022-04-26,2022-05-26,1399.98,122.5,1522.48,Paid,SampleGen
INV-48243a64-2730-4a0b-9e73-ad30a0e711a3,IS300044,CID-016,48243a64-2730-4a0b-9e73-ad30a0e711a3,2024-12-01,2024-12-31,1099.97,96.25,1196.22,Paid,SampleGen
INV-34add744-eeab-4932-829e-840a03f62715,IS300045,CID-017,34add744-eeab-4932-829e-840a03f62715,2025-12-30,2026-01-29,2429.95,212.62,2642.57,Paid,SampleGen
INV-10b9c3f6-733e-499e-9775-82c448200994,IS300046,CID-017,10b9c3f6-733e-499e-9775-82c448200994,2026-10-16,2026-11-15,3059.94,267.75,3327.69,Paid,SampleGen
INV-7cd7485e-ff76-4132-b217-61db6576c3d0,IS300047,CID-017,7cd7485e-ff76-4132-b217-61db6576c3d0,2024-04-02,2024-05-02,319.98,28.0,347.98,Paid,SampleGen
INV-f7197948-6424-44f5-b6cc-7f5ac4cd3a55,IS300048,CID-017,f7197948-6424-44f5-b6cc-7f5ac4cd3a55,2025-09-21,2025-10-21,2309.95,202.12,2512.07,Paid,SampleGen
INV-01f89be9-7401-406b-9abf-ce366b46ddfe,IS300049,CID-017,01f89be9-7401-406b-9abf-ce366b46ddfe,2025-06-27,2025-07-27,499.98,43.75,543.73,Paid,SampleGen
INV-e55447c9-f93e-467c-8c0a-004814797ede,IS300050,CID-018,e55447c9-f93e-467c-8c0a-004814797ede,2025-09-04,2025-10-04,1299.98,113.75,1413.73,Paid,SampleGen
INV-77571c14-ce0e-404f-9e8f-1030b40c6469,IS300051,CID-018,77571c14-ce0e-404f-9e8f-1030b40c6469,2026-07-07,2026-08-06,1654.95,144.8,1799.75,Paid,SampleGen
INV-23292c58-826f-4f04-bdfb-1e872ac219a8,IS300052,CID-019,23292c58-826f-4f04-bdfb-1e872ac219a8,2024-04-07,2024-05-07,1009.96,88.37,1098.33,Paid,SampleGen
INV-ab9f151d-b3a4-4220-bee3-99a381ea493b,IS300053,CID-019,ab9f151d-b3a4-4220-bee3-99a381ea493b,2021-01-26,2021-02-25,899.98,78.75,978.73,Paid,SampleGen
INV-2c89e079-1f32-408e-b2c8-aacac53c0269,IS300054,CID-019,2c89e079-1f32-408e-b2c8-aacac53c0269,2025-01-30,2025-03-01,1099.97,96.25,1196.22,Paid,SampleGen
INV-ae371c13-f775-4203-88ea-1b1f40d34003,IS300055,CID-019,ae371c13-f775-4203-88ea-1b1f40d34003,2026-06-20,2026-07-20,264.98,23.18,288.16,Paid,SampleGen
INV-7cd509f0-4e31-48c2-8cc8-061d3f8c5217,IS300056,CID-020,7cd509f0-4e31-48c2-8cc8-061d3f8c5217,2022-01-13,2022-02-12,2659.94,232.74,2892.68,Paid,SampleGen
INV-767106a5-f9b6-400d-98cd-6389587827a1,IS300057,CID-020,767106a5-f9b6-400d-98cd-6389587827a1,2023-09-08,2023-10-08,1184.94,103.68,1288.62,Paid,SampleGen
INV-c6a7bbf1-65bc-42d9-84d8-148836e1cccd,IS300058,CID-020,c6a7bbf1-65bc-42d9-84d8-148836e1cccd,2024-08-25,2024-09-24,2329.94,203.87,2533.81,Paid,SampleGen
INV-c6efbd83-dbee-4514-90c6-7e75b655886b,IS300059,CID-020,c6efbd83-dbee-4514-90c6-7e75b655886b,2022-07-20,2022-08-19,1149.95,100.62,1250.57,Paid,SampleGen
INV-e1d9b691-4fbe-4dfd-959b-f05c749466d2,IS300060,CID-020,e1d9b691-4fbe-4dfd-959b-f05c749466d2,2022-05-04,2022-06-03,379.98,33.25,413.23,Paid,SampleGen
INV-f7d693de-33aa-4361-b07b-3a24bf1f4a2b,IS300061,CID-020,f7d693de-33aa-4361-b07b-3a24bf1f4a2b,2023-02-26,2023-03-28,3709.94,324.62,4034.56,Paid,SampleGen
INV-cc09216f-a9e2-4040-ac88-c6ac9c11fe24,IS300062,CID-021,cc09216f-a9e2-4040-ac88-c6ac9c11fe24,2024-05-24,2024-06-23,879.95,77.0,956.95,Paid,SampleGen
INV-75bb403f-b83e-4614-965a-db6978f0bf5e,IS300063,CID-021,75bb403f-b83e-4614-965a-db6978f0bf5e,2026-01-26,2026-02-25,3499.96,306.25,3806.21,Paid,SampleGen
INV-b8314ecc-fec1-49a0-89c2-b1d226ad87aa,IS300064,CID-021,b8314ecc-fec1-49a0-89c2-b1d226ad87aa,2025-10-27,2025-11-26,1729.95,151.37,1881.32,Paid,SampleGen
INV-c56b9da6-a548-4dd7-8d70-d4f53b4d7429,IS300065,CID-021,c56b9da6-a548-4dd7-8d70-d4f53b4d7429,2024-07-30,2024-08-29,1339.96,117.25,1457.21,Paid,SampleGen
INV-3819fedb-eda4-4aea-b32d-2eca020e56f6,IS300066,CID-022,3819fedb-eda4-4aea-b32d-2eca020e56f6,2024-04-02,2024-05-02,1609.97,140.87,1750.84,Paid,SampleGen
INV-f8e29aa4-523e-44cf-9266-9d56f4b4171d,IS300067,CID-022,f8e29aa4-523e-44cf-9266-9d56f4b4171d,2025-02-08,2025-03-10,1949.97,170.62,2120.59,Paid,SampleGen
INV-dcc52891-05a4-4446-9911-f236a2b3c927,IS300068,CID-022,dcc52891-05a4-4446-9911-f236a2b3c927,2021-08-06,2021-09-05,3339.94,292.25,3632.19,Paid,SampleGen
INV-fcc37031-9991-4c18-aebd-f551e7f75c14,IS300069,CID-022,fcc37031-9991-4c18-aebd-f551e7f75c14,2024-01-15,2024-02-14,259.98,22.75,282.73,Paid,SampleGen
INV-c419664c-f6d7-447b-96d8-3a5cf02fc694,IS300070,CID-023,c419664c-f6d7-447b-96d8-3a5cf02fc694,2023-08-03,2023-09-02,189.99,16.62,206.61,Paid,SampleGen
INV-d189b883-12f1-44ec-a58c-d88225165934,IS300071,CID-023,d189b883-12f1-44ec-a58c-d88225165934,2025-09-22,2025-10-22,1299.99,113.75,1413.74,Paid,SampleGen
INV-0435cd46-0975-4706-8bd9-e887954c1b6b,IS300072,CID-023,0435cd46-0975-4706-8bd9-e887954c1b6b,2026-05-06,2026-06-05,3289.95,287.87,3577.82,Paid,SampleGen
