ForecastID,ProductID,ProductName,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,2027-01-01,Monthly,245,82.77,1.0,Growing,227,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-05
2,1521,Adventurer Pro Backpack,2027-01-01,Weekly,56,84.96,1.0,Growing,227,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-06
3,1521,Adventurer Pro Backpack,2027-01-08,Weekly,56,81.4,1.0,Growing,227,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-19
4,1521,Adventurer Pro Backpack,2027-01-15,Weekly,56,84.22,1.0,Growing,227,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-19
5,1521,Adventurer Pro Backpack,2027-01-22,Weekly,56,83.02,1.0,Growing,227,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-27
6,1521,Adventurer Pro Backpack,2027-02-01,Monthly,264,82.77,1.0,Growing,227,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-08
7,1521,Adventurer Pro Backpack,2027-03-01,Monthly,285,82.77,1.0,Growing,227,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-20
8,1531,Summit Breeze Jacket,2027-01-01,Monthly,183,94.73,1.0,Growing,170,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-17
9,1531,Summit Breeze Jacket,2027-01-01,Weekly,42,90.88,1.0,Growing,170,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-03
10,1531,Summit Breeze Jacket,2027-01-08,Weekly,42,92.69,1.0,Growing,170,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-13
11,1531,Summit Breeze Jacket,2027-01-15,Weekly,42,95.6,1.0,Growing,170,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-28
12,1531,Summit Breeze Jacket,2027-01-22,Weekly,42,93.43,1.0,Growing,170,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-11
13,1531,Summit Breeze Jacket,2027-02-01,Monthly,198,94.73,1.0,Growing,170,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-26
14,1531,Summit Breeze Jacket,2027-03-01,Monthly,214,94.73,1.0,Growing,170,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-02
15,1541,TrekReady Hiking Boots,2027-01-01,Monthly,140,75.77,1.0,Growing,130,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-27
16,1541,TrekReady Hiking Boots,2027-01-01,Weekly,32,72.4,1.0,Growing,130,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-28
17,1541,TrekReady Hiking Boots,2027-01-08,Weekly,32,72.43,1.0,Growing,130,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-24
18,1541,TrekReady Hiking Boots,2027-01-15,Weekly,32,74.94,1.0,Growing,130,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-23
19,1541,TrekReady Hiking Boots,2027-01-22,Weekly,32,79.41,1.0,Growing,130,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-26
20,1541,TrekReady Hiking Boots,2027-02-01,Monthly,151,75.77,1.0,Growing,130,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-15
21,1541,TrekReady Hiking Boots,2027-03-01,Monthly,163,75.77,1.0,Growing,130,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-25
