PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,2012,Espresso Machine,2,2.0,274.97,549.94,Received,2026-12-14,2026-12-15,Supplier SKU: ALT-2012,system,2026-11-19
2,2,PO-2026-0002,3052,Thermal Base Layer Set - Women's,15,,79.81,1197.15,Pending,2027-01-07,,Supplier SKU: WIN-3052,system,2026-12-25
3,3,PO-2026-0003,1533,RainGuard Hiking Jacket,8,8.0,107.78,862.24,Received,2026-12-23,2026-12-25,Supplier SKU: CON-1533,system,2026-12-13
4,3,PO-2026-0003,1563,CompactCook Camping Stove,4,4.0,59.37,237.48,Received,2026-12-23,2026-12-25,Supplier SKU: CON-1563,system,2026-12-13
5,5,PO-2026-0005,3033,Women's Performance Ski Boots,5,,407.14,2035.7,Shipped,2027-01-05,,Supplier SKU: WIN-3033,system,2026-12-23
6,5,PO-2026-0005,3012,Mountain Master All-Terrain Skis - 165cm,8,,560.67,4485.36,Shipped,2027-01-05,,Supplier SKU: WIN-3012,system,2026-12-23
7,6,PO-2026-0006,3082,Edge Tuning Tool Set,15,,59.43,891.45,Shipped,2027-01-01,,Supplier SKU: WIN-3082,system,2026-12-16
8,6,PO-2026-0006,3041,Carbon Fiber Racing Poles - 120cm,4,,114.35,457.4,Shipped,2027-01-01,,Supplier SKU: WIN-3041,system,2026-12-16
9,8,PO-2026-0008,3011,Alpine Pro Racing Skis - 170cm,8,8.0,805.99,6447.92,Received,2026-11-06,2026-11-09,Supplier SKU: ALT-3011,system,2026-10-14
10,8,PO-2026-0008,1512,SkyView 2-Person Tent,5,5.0,210.91,1054.55,Received,2026-11-06,2026-11-09,Supplier SKU: ALT-1512,system,2026-10-14
11,8,PO-2026-0008,1522,SummitClimber Backpack,8,8.0,132.76,1062.08,Received,2026-11-06,2026-11-09,Supplier SKU: ALT-1522,system,2026-10-14
12,10,PO-2026-0010,2121,Bamboo Cutting Board Set,4,4.0,29.56,118.24,Received,2026-12-13,2026-12-16,Supplier SKU: PRO-2121,system,2026-11-30
13,12,PO-2026-0012,2012,Espresso Machine,10,10.0,281.0,2810.0,Received,2026-12-27,2026-12-29,Supplier SKU: PRO-2012,system,2026-12-17
14,13,PO-2026-0013,1581,LED Headlamp - Rechargeable,13,13.0,44.25,575.25,Received,2026-12-06,2026-12-08,Supplier SKU: CON-1581,system,2026-11-25
15,13,PO-2026-0013,1533,RainGuard Hiking Jacket,9,9.0,107.78,970.02,Received,2026-12-06,2026-12-08,Supplier SKU: CON-1533,system,2026-11-25
16,13,PO-2026-0013,1511,Alpine Explorer Tent,6,6.0,281.53,1689.18,Received,2026-12-06,2026-12-08,Supplier SKU: CON-1511,system,2026-11-25
17,13,PO-2026-0013,1553,Adventure Dining Table,14,14.0,87.23,1221.22,Received,2026-12-06,2026-12-08,Supplier SKU: CON-1553,system,2026-11-25
