OrderID,ProductLineName,OrderNumber,CustomerID,CustomerAccountID,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
d9518876-ccf7-4780-8e22-41ba62a5a0ea,Camping,F100000,CID-001,CA-0001,2021-01-12,Completed,1849.93,161.87,2011.8,MC,USD,SampleGen
8e45a5ca-0868-417d-9851-5ec26e759d2a,Camping,F100001,CID-001,CA-0001,2021-02-05,Shipped,859.94,75.24,935.18,MC,USD,SampleGen
365b9b7a-adad-4883-85b8-179872508dc3,Camping,F100002,CID-001,CA-0001,2021-03-22,Pending,1499.91,131.24,1631.15,PayPal,USD,SampleGen
e475af2c-4bf6-4b5f-ae8f-a99cf69f6a4e,Camping,F100003,CID-001,CA-0001,2021-04-11,Completed,1149.95,100.62,1250.57,PayPal,USD,SampleGen
a5d61c3b-1040-4101-8ac3-52a4df43a646,Camping,F100004,CID-001,CA-0001,2021-05-30,Shipped,769.93,67.37,837.3,VISA,USD,SampleGen
bfd26784-1ecd-4ef0-bb7e-17b80c15a51c,Camping,F100005,CID-001,CA-0001,2021-06-09,Completed,1034.95,90.56,1125.51,MC,USD,SampleGen
87c24d21-c653-4a76-9f02-bd833edd9f35,Camping,F100006,CID-001,CA-0001,2021-07-22,Cancelled,1419.94,124.24,1544.18,MC,USD,SampleGen
5b9eea0e-0c50-4e94-82cb-f949b8fa20c4,Camping,F100007,CID-001,CA-0001,2021-08-08,Completed,1229.9,107.61,1337.51,VISA,USD,SampleGen
34b79170-b4ce-42e2-9294-2ca153575add,Camping,F100008,CID-001,CA-0001,2021-09-24,Completed,1544.9,135.17,1680.07,PayPal,USD,SampleGen
ae9521a0-fc73-4ba8-ba65-9f63e18f9837,Camping,F100009,CID-001,CA-0001,2021-10-24,Completed,299.97,26.24,326.21,MC,USD,SampleGen
1d7f5825-df82-4a10-9a2e-32afa692102b,Camping,F100010,CID-001,CA-0001,2021-11-15,Completed,659.97,57.75,717.72,VISA,USD,SampleGen
c4cca588-b50e-4bdc-a4ac-e10f7f1680b5,Camping,F100011,CID-001,CA-0001,2021-12-24,Completed,449.97,39.37,489.34,MC,USD,SampleGen
4d65f57f-5da5-48ea-a4c9-c578d3f7a32c,Camping,F100012,CID-001,CA-0001,2022-01-05,Completed,1189.92,104.11,1294.03,MC,USD,SampleGen
b57837c2-b708-475e-a91f-69b267ae794a,Camping,F100013,CID-001,CA-0001,2022-02-10,Completed,1469.92,128.62,1598.54,AmEx,USD,SampleGen
12b745ab-e4cc-42fd-a6e3-df7d36147664,Camping,F100014,CID-001,CA-0001,2022-03-09,Completed,629.97,55.12,685.09,VISA,USD,SampleGen
1f770ee8-56cf-4c60-9f3c-5bbefa04545e,Camping,F100015,CID-001,CA-0001,2022-04-09,Completed,269.97,23.62,293.59,MC,USD,SampleGen
99af8d22-0398-40f6-803e-9117db59cf41,Camping,F100016,CID-001,CA-0001,2022-05-31,Completed,449.97,39.37,489.34,MC,USD,SampleGen
eba10ffd-4a21-4ada-ad69-e4a450e48c03,Camping,F100017,CID-001,CA-0001,2022-06-29,Completed,644.96,56.43,701.39,MC,USD,SampleGen
d592d3dc-4d29-456d-a861-33e6b09b9a7f,Camping,F100018,CID-001,CA-0001,2022-07-13,Completed,1389.92,121.62,1511.54,MC,USD,SampleGen
6435cb06-8dd1-4aa7-9975-467b37862bfd,Camping,F100019,CID-001,CA-0001,2022-08-07,Completed,1689.92,147.86,1837.78,MC,USD,SampleGen
095943a2-f7c5-4302-93ca-91f0b110d568,Camping,F100020,CID-001,CA-0001,2022-09-07,Completed,1679.96,146.99,1826.95,VISA,USD,SampleGen
b2558226-c910-4acf-8793-a03a5dd192a5,Camping,F100021,CID-001,CA-0001,2022-10-09,Completed,2109.9,184.62,2294.52,Discover,USD,SampleGen
36d3dc4e-f606-4ec6-bcbb-5a39177d5aee,Camping,F100022,CID-001,CA-0001,2022-11-27,Pending,1819.91,159.24,1979.15,MC,USD,SampleGen
63944ea5-df3b-4e3c-b281-c4d61f1b6f17,Camping,F100023,CID-001,CA-0001,2022-12-16,Completed,1399.93,122.49,1522.42,MC,USD,SampleGen
2628049c-2a6e-4312-bb07-71b5109a9832,Camping,F100024,CID-001,CA-0001,2023-01-28,Completed,829.93,72.61,902.54,VISA,USD,SampleGen
61a3c947-ec4d-467a-8739-c017c0e0c760,Camping,F100025,CID-001,CA-0001,2023-02-11,Completed,1119.93,97.99,1217.92,VISA,USD,SampleGen
db678186-ad73-4f0b-8407-a521a49fc20f,Camping,F100026,CID-001,CA-0001,2023-03-15,Pending,754.93,66.05,820.98,AmEx,USD,SampleGen
33fc4ac4-2b77-440a-a339-721ce2dcdbdf,Camping,F100027,CID-001,CA-0001,2023-04-15,Completed,1249.91,109.37,1359.28,PayPal,USD,SampleGen
45559d66-ee47-4bd0-8a27-ad913588dbbc,Camping,F100028,CID-001,CA-0001,2023-05-23,Completed,179.98,15.75,195.73,VISA,USD,SampleGen
937e5db9-fd9b-402e-9636-daa9e3ffc49f,Camping,F100029,CID-001,CA-0001,2023-06-08,Completed,674.94,59.05,733.99,Discover,USD,SampleGen
3a72e800-4e55-41e0-bb7a-0e1c0ee7afc6,Camping,F100030,CID-001,CA-0001,2023-07-16,Completed,1899.91,166.24,2066.15,VISA,USD,SampleGen
496ff46b-9c39-41d5-a263-dbbd7ba59bbe,Camping,F100031,CID-001,CA-0001,2023-08-12,Completed,239.97,21.0,260.97,MC,USD,SampleGen
8ca0c5d9-4c9f-4ed3-82af-bae5f0f536e8,Camping,F100032,CID-001,CA-0001,2023-09-25,Completed,989.93,86.61,1076.54,VISA,USD,SampleGen
3c32ea9c-4b7c-40a3-80dd-069f0a47d27f,Camping,F100033,CID-001,CA-0001,2023-10-10,Shipped,259.98,22.75,282.73,VISA,USD,SampleGen
07cd26c9-8942-4412-851a-4012b970f2d4,Camping,F100034,CID-001,CA-0001,2023-11-19,Completed,379.98,33.25,413.23,VISA,USD,SampleGen
76c237fc-29d0-4a77-ad86-c1203926be1c,Camping,F100035,CID-001,CA-0001,2023-12-20,Shipped,1539.91,134.74,1674.65,VISA,USD,SampleGen
371eb8de-3ee3-4072-b39b-5c1a55b5b794,Camping,F100036,CID-001,CA-0001,2024-01-23,Completed,959.93,83.98,1043.91,VISA,USD,SampleGen
f480e6bc-0b54-497e-8334-cf64e7130871,Camping,F100037,CID-001,CA-0001,2024-02-17,Completed,1074.92,94.06,1168.98,VISA,USD,SampleGen
eed0af2c-5dca-407e-a37d-da0e20ee29b3,Camping,F100038,CID-001,CA-0001,2024-03-28,Completed,449.99,39.37,489.36,MC,USD,SampleGen
b3cc8539-b8fe-49f7-ba3f-9804512847b1,Camping,F100039,CID-001,CA-0001,2024-04-28,Completed,1549.92,135.61,1685.53,Discover,USD,SampleGen
c4c08516-757d-4da9-80a2-f9dd68d3bb07,Camping,F100040,CID-001,CA-0001,2024-05-28,Completed,2139.92,187.24,2327.16,PayPal,USD,SampleGen
cb652059-2548-466c-8269-4c141cb47c39,Camping,F100041,CID-001,CA-0001,2024-06-03,Completed,879.94,76.99,956.93,VISA,USD,SampleGen
3b48b415-41fd-4119-ad8a-2c319be09133,Camping,F100042,CID-001,CA-0001,2024-07-11,Completed,449.97,39.37,489.34,Discover,USD,SampleGen
c5a47e5a-db7a-4a28-b735-58777b8deecd,Camping,F100043,CID-001,CA-0001,2024-08-28,Completed,909.97,79.62,989.59,MC,USD,SampleGen
8cf4ceaa-da7f-4829-a685-2caca850d1ec,Camping,F100044,CID-001,CA-0001,2024-09-14,Completed,579.96,50.74,630.7,MC,USD,SampleGen
456acce5-f272-4278-a964-785b68a28aa3,Camping,F100045,CID-001,CA-0001,2024-10-29,Completed,1659.91,145.24,1805.15,MC,USD,SampleGen
89950dc3-531b-43e8-84e2-eda76a904770,Camping,F100046,CID-001,CA-0001,2024-11-17,Completed,1114.93,97.56,1212.49,VISA,USD,SampleGen
79488105-c6cd-4586-8529-36f0110e34ad,Camping,F100047,CID-001,CA-0001,2024-12-08,Completed,344.98,30.19,375.17,PayPal,USD,SampleGen
9eea6ada-422a-4571-93f0-ad84ca65b8ac,Camping,F100048,CID-001,CA-0001,2025-01-22,Completed,539.94,47.24,587.18,Discover,USD,SampleGen
6f91de16-dbd7-4051-a0ed-564d37994f36,Camping,F100049,CID-001,CA-0001,2025-02-22,Completed,1329.95,116.37,1446.32,VISA,USD,SampleGen
3d6a40be-d402-4072-8895-fe01bb9f438d,Camping,F100050,CID-001,CA-0001,2025-03-20,Completed,464.96,40.68,505.64,VISA,USD,SampleGen
9a2f1df2-306f-489a-b240-630c450de107,Camping,F100051,CID-001,CA-0001,2025-04-16,Completed,389.97,34.12,424.09,Discover,USD,SampleGen
e2a41649-7d41-4aa0-bc35-0c3f0942d596,Camping,F100052,CID-001,CA-0001,2025-05-01,Completed,539.96,47.24,587.2,VISA,USD,SampleGen
4c5ee998-213a-45a8-85fb-664f4f52ceea,Camping,F100053,CID-001,CA-0001,2025-06-13,Completed,1124.92,98.43,1223.35,VISA,USD,SampleGen
8d061edc-b9b0-4ef3-b8f8-1cc8facb0e3b,Camping,F100054,CID-001,CA-0001,2025-07-11,Completed,289.99,25.37,315.36,AmEx,USD,SampleGen
c0e0154f-17a9-48ea-9915-ad3109476b21,Camping,F100055,CID-001,CA-0001,2025-08-21,Completed,804.93,70.43,875.36,Discover,USD,SampleGen
310bc481-1c59-418b-9bf0-ca0c6ebcef68,Camping,F100056,CID-001,CA-0001,2025-09-03,Shipped,519.97,45.5,565.47,MC,USD,SampleGen
74c938ff-fa8b-438f-8219-d5e266ba305e,Camping,F100057,CID-001,CA-0001,2025-10-12,Completed,479.97,42.0,521.97,MC,USD,SampleGen
6b052936-b9e4-4509-af43-342838f1647a,Camping,F100058,CID-001,CA-0001,2025-11-14,Completed,1719.92,150.49,1870.41,PayPal,USD,SampleGen
94d174fa-8f13-4bc6-8cb4-e11551d15d6a,Camping,F100059,CID-001,CA-0001,2025-12-05,Pending,829.95,72.62,902.57,AmEx,USD,SampleGen
4ff4d6e7-22dd-4713-9cf5-264a5a3a5d01,Camping,F100060,CID-001,CA-0001,2026-01-24,Completed,1349.97,118.12,1468.09,AmEx,USD,SampleGen
45636f18-323a-4853-a001-e62328274a5e,Camping,F100061,CID-001,CA-0001,2026-02-03,Completed,659.97,57.75,717.72,VISA,USD,SampleGen
f40f9e6f-424a-4dbe-baf8-840536b08ebc,Camping,F100062,CID-001,CA-0001,2026-03-23,Completed,989.97,86.62,1076.59,VISA,USD,SampleGen
d475f392-2b58-4a94-ba03-fc624c53323b,Camping,F100063,CID-001,CA-0001,2026-04-28,Completed,379.98,33.25,413.23,VISA,USD,SampleGen
a86c524e-4062-444c-97c0-f7c78368cd06,Camping,F100064,CID-001,CA-0001,2026-05-06,Pending,239.98,21.0,260.98,AmEx,USD,SampleGen
c5af2258-185a-4ca0-b84e-077c8a9887b6,Camping,F100065,CID-001,CA-0001,2026-06-08,Completed,839.95,73.49,913.44,AmEx,USD,SampleGen
337d0423-2c17-4bad-9378-7336504e1c46,Camping,F100066,CID-001,CA-0001,2026-07-07,Completed,1584.9,138.67,1723.57,MC,USD,SampleGen
45553240-c9b2-44d4-a886-f79b85c58bd1,Camping,F100067,CID-001,CA-0001,2026-08-28,Completed,1699.94,148.74,1848.68,VISA,USD,SampleGen
ab76b14b-699b-45b4-8e02-0e8e22749ff1,Camping,F100068,CID-001,CA-0001,2026-09-25,Completed,979.94,85.74,1065.68,AmEx,USD,SampleGen
a14fe3cd-9f97-4a63-873a-a02b4e08e432,Camping,F100069,CID-001,CA-0001,2026-10-10,Completed,1799.9,157.49,1957.39,VISA,USD,SampleGen
22116306-147a-4d64-aac8-adb98954868e,Camping,F100070,CID-001,CA-0001,2026-11-11,Completed,739.95,64.74,804.69,MC,USD,SampleGen
87d39213-1c06-4214-8a3d-3500352e2429,Camping,F100071,CID-001,CA-0001,2026-12-12,Completed,1469.91,128.62,1598.53,VISA,USD,SampleGen
389c7d6b-4b42-4d41-bc81-b41dac855aac,Camping,F100072,CID-002,CA-0003,2021-01-07,Completed,289.99,25.37,315.36,MC,USD,SampleGen
6cef99a5-b2d2-4b6b-ae12-93ec64320be6,Camping,F100073,CID-002,CA-0003,2021-02-01,Completed,834.95,73.06,908.01,MC,USD,SampleGen
04aef3f0-8587-47c4-b1bc-f5abf248b387,Camping,F100074,CID-002,CA-0003,2021-03-10,Pending,659.98,57.75,717.73,AmEx,USD,SampleGen
